phylum	genus	abundance
Proteobacteria	Ferribacterium	0.0006055101422948834
Proteobacteria	Legionella	0.0015137753557372085
Proteobacteria	Sulfuritalea	0.0015137753557372085
Proteobacteria	Polynucleobacter	0.1792310021192855
Firmicutes	ClostridiumIII	0.0018165304268846503
Proteobacteria	Methylotenera	0.009385407205570693
Proteobacteria	Methylocystis	0.0
Proteobacteria	Variovorax	0.12806539509536785
Proteobacteria	Rhodoferax	0.002119285498032092
Bacteroidetes	Ferruginibacter	0.007871631849833485
Proteobacteria	Polynucleobacter	0.1074780502573418
Proteobacteria	Brevundimonas	0.00696336663639116
Proteobacteria	Aquincola	0.004541326067211626
Proteobacteria	Methylobacillus	0.0003027550711474417
Proteobacteria	Anaeromyxobacter	0.0006055101422948834
Proteobacteria	Geobacter	0.0003027550711474417
Actinobacteria	Rhodoluna	0.01574326369966697
Proteobacteria	Pantoea	0.003935815924916743
Proteobacteria	Rhizobium	0.0003027550711474417
Proteobacteria	Curvibacter	0.2591583409022101
Proteobacteria	Mitsuaria	0.0
Proteobacteria	Legionella	0.002119285498032092
Proteobacteria	Legionella	0.0003027550711474417
Proteobacteria	Anaeromyxobacter	0.0006055101422948834
Proteobacteria	Janthinobacterium	0.010293672419013019
Proteobacteria	Geobacter	0.0003027550711474417
Proteobacteria	Limnohabitans	0.0003027550711474417
Proteobacteria	Limnohabitans	0.0003027550711474417
Bacteroidetes	Flavobacterium	0.003330305782621859
Firmicutes	ClostridiumXlVa	0.0024220405691795337
Firmicutes	Clostridiumsensustricto	0.0018165304268846503
Proteobacteria	Chelativorans	0.0006055101422948834
Microgenomates	Microgenomates	0.0006055101422948834
Proteobacteria	Dechloromonas	0.0015137753557372085
Proteobacteria	Geobacter	0.0
Proteobacteria	Rhodocyclus	0.0006055101422948834
Actinobacteria	Agrococcus	0.036027853466545565
Proteobacteria	Limnohabitans	0.14411141386618226
Proteobacteria	Methylotenera	0.0024220405691795337
Proteobacteria	Methylocystis	0.0003027550711474417
Firmicutes	Clostridiumsensustricto	0.0018165304268846503
Firmicutes	Clostridiumsensustricto	0.0003027550711474417
Proteobacteria	Sphingomonas	0.003027550711474417
Actinobacteria	Rhodoluna	0.0003027550711474417
Proteobacteria	Methylocystis	0.0015137753557372085
Proteobacteria	Limnohabitans	0.0036330608537693005
Proteobacteria	Dechloromonas	0.0
Proteobacteria	Polynucleobacter	0.0003027550711474417
Proteobacteria	Sphingomonas	0.004844081138359067
Proteobacteria	Methylocystis	0.0003027550711474417
Proteobacteria	Polynucleobacter	0.0009082652134423251
Proteobacteria	Rhodoferax	0.0
Proteobacteria	Methylocystis	0.0
Proteobacteria	Dokdonella	0.0
Cyanobacteria	Streptophyta	0.0
Proteobacteria	Aquincola	0.0003027550711474417
Bacteroidetes	Mucilaginibacter	0.0012110202845897668
Proteobacteria	Legionella	0.0
Bacteroidetes	Pseudarcicella	0.0
Proteobacteria	Pelobacter	0.0
Proteobacteria	Propionivibrio	0.0
Bacteroidetes	Solitalea	0.035422343324250684
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Pleomorphomonas	0.0
Proteobacteria	Propionivibrio	0.0
Proteobacteria	Hyphomicrobium	0.0
Proteobacteria	Rivibacter	0.0003027550711474417
Proteobacteria	Propionivibrio	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Limnohabitans	0.0006055101422948834
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Aquisalimonas	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Ectothiorhodospira	0.0
Proteobacteria	Polynucleobacter	0.0006055101422948834
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Limnohabitans	0.0
Actinobacteria	Microbacterium	0.0003027550711474417
Proteobacteria	Limnohabitans	0.0027247956403269754
Bacteroidetes	Pseudarcicella	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Limnohabitans	0.0003027550711474417
Proteobacteria	Limnohabitans	0.0018165304268846503
Proteobacteria	Ferribacterium	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Methylotenera	0.0
Proteobacteria	Polynucleobacter	0.0
