phylum	genus	abundance
Proteobacteria	Ferribacterium	0.05296343001261034
Proteobacteria	Legionella	0.015762925598991173
Proteobacteria	Sulfuritalea	0.01828499369482976
Proteobacteria	Polynucleobacter	0.07187894073139975
Firmicutes	ClostridiumIII	0.058638083228247165
Proteobacteria	Methylotenera	0.1021437578814628
Proteobacteria	Methylocystis	0.006305170239596469
Proteobacteria	Variovorax	0.06242118537200504
Proteobacteria	Rhodoferax	0.004413619167717529
Bacteroidetes	Ferruginibacter	0.014501891551071878
Proteobacteria	Polynucleobacter	0.05926860025220681
Proteobacteria	Brevundimonas	0.043505674653215635
Proteobacteria	Aquincola	0.005674653215636823
Proteobacteria	Methylobacillus	0.01197982345523329
Proteobacteria	Anaeromyxobacter	0.03720050441361917
Proteobacteria	Geobacter	0.03278688524590164
Actinobacteria	Rhodoluna	0.06998738965952081
Proteobacteria	Pantoea	0.005044136191677175
Proteobacteria	Rhizobium	0.014501891551071878
Proteobacteria	Curvibacter	0.0012610340479192938
Proteobacteria	Mitsuaria	0.0025220680958385876
Proteobacteria	Legionella	0.031525851197982346
Proteobacteria	Legionella	0.009457755359394703
Proteobacteria	Anaeromyxobacter	0.0018915510718789407
Proteobacteria	Janthinobacterium	0.00819672131147541
Proteobacteria	Geobacter	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Limnohabitans	0.0006305170239596469
Bacteroidetes	Flavobacterium	0.017023959646910468
Firmicutes	ClostridiumXlVa	0.033417402269861285
Firmicutes	Clostridiumsensustricto	0.03720050441361917
Proteobacteria	Chelativorans	0.007566204287515763
Microgenomates	Microgenomates	0.02648171500630517
Proteobacteria	Dechloromonas	0.0018915510718789407
Proteobacteria	Geobacter	0.0
Proteobacteria	Rhodocyclus	0.0037831021437578815
Actinobacteria	Agrococcus	0.004413619167717529
Proteobacteria	Limnohabitans	0.0006305170239596469
Proteobacteria	Methylotenera	0.005044136191677175
Proteobacteria	Methylocystis	0.0031525851197982345
Firmicutes	Clostridiumsensustricto	0.03215636822194199
Firmicutes	Clostridiumsensustricto	0.0006305170239596469
Proteobacteria	Sphingomonas	0.01639344262295082
Actinobacteria	Rhodoluna	0.01639344262295082
Proteobacteria	Methylocystis	0.012610340479192938
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Dechloromonas	0.0006305170239596469
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Sphingomonas	0.005044136191677175
Proteobacteria	Methylocystis	0.0031525851197982345
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Rhodoferax	0.0
Proteobacteria	Methylocystis	0.0012610340479192938
Proteobacteria	Dokdonella	0.006305170239596469
Cyanobacteria	Streptophyta	0.0025220680958385876
Proteobacteria	Aquincola	0.0037831021437578815
Bacteroidetes	Mucilaginibacter	0.0025220680958385876
Proteobacteria	Legionella	0.0
Bacteroidetes	Pseudarcicella	0.0
Proteobacteria	Pelobacter	0.0
Proteobacteria	Propionivibrio	0.0
Bacteroidetes	Solitalea	0.0025220680958385876
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Pleomorphomonas	0.0012610340479192938
Proteobacteria	Propionivibrio	0.0
Proteobacteria	Hyphomicrobium	0.0037831021437578815
Proteobacteria	Rivibacter	0.0006305170239596469
Proteobacteria	Propionivibrio	0.0006305170239596469
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Limnohabitans	0.0006305170239596469
Proteobacteria	Polynucleobacter	0.0006305170239596469
Proteobacteria	Aquisalimonas	0.0025220680958385876
Proteobacteria	Polynucleobacter	0.0006305170239596469
Proteobacteria	Ectothiorhodospira	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Limnohabitans	0.0
Actinobacteria	Microbacterium	0.0
Proteobacteria	Limnohabitans	0.0
Bacteroidetes	Pseudarcicella	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Ferribacterium	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Methylotenera	0.0
Proteobacteria	Polynucleobacter	0.0
