phylum	genus	abundance
Proteobacteria	Ferribacterium	0.000628356
Proteobacteria	Legionella	0.010910545
Proteobacteria	Sulfuritalea	0.00017137
Proteobacteria	Polynucleobacter	0.00594082
Firmicutes	ClostridiumIII	0.009368217
Proteobacteria	Methylotenera	0.004112876
Proteobacteria	Methylocystis	0.000114247
Proteobacteria	Variovorax	0.003827259
Proteobacteria	Rhodoferax	0.007083286
Bacteroidetes	Ferruginibacter	0.00314178
Proteobacteria	Polynucleobacter	0.003713013
Proteobacteria	Brevundimonas	0.007426025
Proteobacteria	Aquincola	0.005883697
Proteobacteria	Methylobacillus	0.000228493
Proteobacteria	Anaeromyxobacter	0.000971096
Proteobacteria	Geobacter	0.002227808
Actinobacteria	Rhodoluna	0.004398492
Proteobacteria	Pantoea	0.00348452
Proteobacteria	Rhizobium	0.008111505
Proteobacteria	Curvibacter	0.00034274
Proteobacteria	Mitsuaria	5.7123272021021365e-05
Proteobacteria	Legionella	0.008682737
Proteobacteria	Legionella	0.000514109
Proteobacteria	Anaeromyxobacter	0.000685479
Proteobacteria	Janthinobacterium	0.016908488518222325
Proteobacteria	Geobacter	0.00017137
Proteobacteria	Limnohabitans	0.000228493
Proteobacteria	Limnohabitans	0.001656575
Bacteroidetes	Flavobacterium	0.006797669
Firmicutes	ClostridiumXlVa	0.003770136
Firmicutes	Clostridiumsensustricto	0.002227808
Proteobacteria	Chelativorans	0.001199589
Microgenomates	Microgenomates	0.000685479
Proteobacteria	Dechloromonas	0.000514109
Proteobacteria	Geobacter	0.00017137
Proteobacteria	Rhodocyclus	0.000742603
Actinobacteria	Agrococcus	0.000742603
Proteobacteria	Limnohabitans	0.000285616
Proteobacteria	Methylotenera	0.000799726
Proteobacteria	Methylocystis	0.000228493
Firmicutes	Clostridiumsensustricto	0.010796298411973038
Firmicutes	Clostridiumsensustricto	0.00034274
Proteobacteria	Sphingomonas	0.001542328
Actinobacteria	Rhodoluna	0.001999315
Proteobacteria	Methylocystis	0.00348452
Proteobacteria	Limnohabitans	0
Proteobacteria	Dechloromonas	5.7123272021021365e-05
Proteobacteria	Polynucleobacter	0
Proteobacteria	Sphingomonas	0.006854793
Proteobacteria	Methylocystis	0.000856849
Proteobacteria	Polynucleobacter	0
Proteobacteria	Rhodoferax	0.000228493
Proteobacteria	Methylocystis	5.7123272021021365e-05
Proteobacteria	Dokdonella	0.000628356
Cyanobacteria	Streptophyta	0
Proteobacteria	Aquincola	0.00017137
Bacteroidetes	Mucilaginibacter	0.005826574
Proteobacteria	Legionella	0.000742603
Bacteroidetes	Pseudarcicella	0
Proteobacteria	Pelobacter	0.000228493
Proteobacteria	Propionivibrio	0
Bacteroidetes	Solitalea	0.000456986
Proteobacteria	Limnohabitans	0
Proteobacteria	Pleomorphomonas	0.000228493
Proteobacteria	Propionivibrio	0
Proteobacteria	Hyphomicrobium	0.00034274
Proteobacteria	Rivibacter	0.000399863
Proteobacteria	Propionivibrio	0
Proteobacteria	Limnohabitans	0
Proteobacteria	Limnohabitans	0.000114247
Proteobacteria	Polynucleobacter	0
Proteobacteria	Aquisalimonas	0.00017137
Proteobacteria	Polynucleobacter	5.7123272021021365e-05
Proteobacteria	Ectothiorhodospira	0
Proteobacteria	Polynucleobacter	0
Proteobacteria	Limnohabitans	0
Proteobacteria	Limnohabitans	0
Proteobacteria	Limnohabitans	0
Proteobacteria	Limnohabitans	5.7123272021021365e-05
Actinobacteria	Microbacterium	0.00017137
Proteobacteria	Limnohabitans	5.7123272021021365e-05
Bacteroidetes	Pseudarcicella	5.7123272021021365e-05
Proteobacteria	Polynucleobacter	5.7123272021021365e-05
Proteobacteria	Limnohabitans	5.7123272021021365e-05
Proteobacteria	Limnohabitans	5.7123272021021365e-05
Proteobacteria	Ferribacterium	5.7123272021021365e-05
Proteobacteria	Polynucleobacter	0
Proteobacteria	Methylotenera	0
Proteobacteria	Polynucleobacter	0
Unmapped	Unmapped	0.8346852507711642
