phylum	genus	abundance
Proteobacteria	Ferribacterium	0.001496446
Proteobacteria	Legionella	0.000888515
Proteobacteria	Sulfuritalea	0.000701459
Proteobacteria	Polynucleobacter	0.012579498690609802
Firmicutes	ClostridiumIII	0.003507295
Proteobacteria	Methylotenera	0.003320239
Proteobacteria	Methylocystis	0
Proteobacteria	Variovorax	0.007949869
Proteobacteria	Rhodoferax	0.001356154
Bacteroidetes	Ferruginibacter	0.001870557
Proteobacteria	Polynucleobacter	0.007528994
Proteobacteria	Brevundimonas	0.002946128
Proteobacteria	Aquincola	0.001683502
Proteobacteria	Methylobacillus	0.00023382
Proteobacteria	Anaeromyxobacter	0.000701459
Proteobacteria	Geobacter	0.001169098
Actinobacteria	Rhodoluna	0.012813318368873925
Proteobacteria	Pantoea	0.001917321
Proteobacteria	Rhizobium	0.001636738
Proteobacteria	Curvibacter	0.000420875
Proteobacteria	Mitsuaria	4.676393565282454e-05
Proteobacteria	Legionella	0.000794987
Proteobacteria	Legionella	0.000888515
Proteobacteria	Anaeromyxobacter	0.000374111
Proteobacteria	Janthinobacterium	0.007996633
Proteobacteria	Geobacter	4.676393565282454e-05
Proteobacteria	Limnohabitans	0
Proteobacteria	Limnohabitans	0.000841751
Bacteroidetes	Flavobacterium	0.004536102
Firmicutes	ClostridiumXlVa	0.002384961
Firmicutes	Clostridiumsensustricto	0.002291433
Proteobacteria	Chelativorans	0.000187056
Microgenomates	Microgenomates	0.000888515
Proteobacteria	Dechloromonas	0.00023382
Proteobacteria	Geobacter	0.000140292
Proteobacteria	Rhodocyclus	0.001262626
Actinobacteria	Agrococcus	0.004302282
Proteobacteria	Limnohabitans	0.001823793
Proteobacteria	Methylotenera	0.000187056
Proteobacteria	Methylocystis	4.676393565282454e-05
Firmicutes	Clostridiumsensustricto	0.001823793
Firmicutes	Clostridiumsensustricto	0.000187056
Proteobacteria	Sphingomonas	0.002572016
Actinobacteria	Rhodoluna	0.001075571
Proteobacteria	Methylocystis	0.000607931
Proteobacteria	Limnohabitans	9.352787130564908e-05
Proteobacteria	Dechloromonas	4.676393565282454e-05
Proteobacteria	Polynucleobacter	9.352787130564908e-05
Proteobacteria	Sphingomonas	0.002010849
Proteobacteria	Methylocystis	9.352787130564908e-05
Proteobacteria	Polynucleobacter	0
Proteobacteria	Rhodoferax	0
Proteobacteria	Methylocystis	4.676393565282454e-05
Proteobacteria	Dokdonella	0.000841751
Cyanobacteria	Streptophyta	0.000140292
Proteobacteria	Aquincola	0.002431725
Bacteroidetes	Mucilaginibacter	0.000374111
Proteobacteria	Legionella	4.676393565282454e-05
Bacteroidetes	Pseudarcicella	0
Proteobacteria	Pelobacter	4.676393565282454e-05
Proteobacteria	Propionivibrio	0
Bacteroidetes	Solitalea	0.000187056
Proteobacteria	Limnohabitans	4.676393565282454e-05
Proteobacteria	Pleomorphomonas	0
Proteobacteria	Propionivibrio	0
Proteobacteria	Hyphomicrobium	0
Proteobacteria	Rivibacter	0.000187056
Proteobacteria	Propionivibrio	0
Proteobacteria	Limnohabitans	4.676393565282454e-05
Proteobacteria	Limnohabitans	0
Proteobacteria	Polynucleobacter	0
Proteobacteria	Aquisalimonas	0
Proteobacteria	Polynucleobacter	4.676393565282454e-05
Proteobacteria	Ectothiorhodospira	0
Proteobacteria	Polynucleobacter	0
Proteobacteria	Limnohabitans	4.676393565282454e-05
Proteobacteria	Limnohabitans	0
Proteobacteria	Limnohabitans	0
Proteobacteria	Limnohabitans	0
Actinobacteria	Microbacterium	0.000140292
Proteobacteria	Limnohabitans	4.676393565282454e-05
Bacteroidetes	Pseudarcicella	0
Proteobacteria	Polynucleobacter	0
Proteobacteria	Limnohabitans	0
Proteobacteria	Limnohabitans	9.352787130564908e-05
Proteobacteria	Ferribacterium	0
Proteobacteria	Polynucleobacter	4.676393565282454e-05
Proteobacteria	Methylotenera	0.000140292
Proteobacteria	Polynucleobacter	4.676393565282454e-05
Unmapped	Unmapped	0.8923961840628507
