phylum	genus	abundance
Proteobacteria	Ferribacterium	0.007078233
Proteobacteria	Legionella	0.002820649
Proteobacteria	Sulfuritalea	0.009952102
Proteobacteria	Polynucleobacter	0.003193188
Firmicutes	ClostridiumIII	0.009526344
Proteobacteria	Methylotenera	0.002448111
Proteobacteria	Methylocystis	0.000266099
Proteobacteria	Variovorax	0.001862693
Proteobacteria	Rhodoferax	0.002075572
Bacteroidetes	Ferruginibacter	0.004310804
Proteobacteria	Polynucleobacter	0.001862693
Proteobacteria	Brevundimonas	0.011921234699308142
Proteobacteria	Aquincola	0.00532198
Proteobacteria	Methylobacillus	0.010484300159659394
Proteobacteria	Anaeromyxobacter	0.005055881
Proteobacteria	Geobacter	0.006067057
Actinobacteria	Rhodoluna	0.000425758
Proteobacteria	Pantoea	0.003885045
Proteobacteria	Rhizobium	0.001224055
Proteobacteria	Curvibacter	0.000957956
Proteobacteria	Mitsuaria	0.000319319
Proteobacteria	Legionella	0.003725386
Proteobacteria	Legionella	0.003459287
Proteobacteria	Anaeromyxobacter	0.001543374
Proteobacteria	Janthinobacterium	0.001862693
Proteobacteria	Geobacter	0.00010644
Proteobacteria	Limnohabitans	0.00010644
Proteobacteria	Limnohabitans	0.001277275
Bacteroidetes	Flavobacterium	0.000532198
Firmicutes	ClostridiumXlVa	0.003246408
Firmicutes	Clostridiumsensustricto	0.003459287
Proteobacteria	Chelativorans	0.000478978
Microgenomates	Microgenomates	0.009473124
Proteobacteria	Dechloromonas	0.000957956
Proteobacteria	Geobacter	0.00010644
Proteobacteria	Rhodocyclus	0.017509313464608836
Actinobacteria	Agrococcus	0.000159659
Proteobacteria	Limnohabitans	0.001330495
Proteobacteria	Methylotenera	5.321979776476849e-05
Proteobacteria	Methylocystis	0.000478978
Firmicutes	Clostridiumsensustricto	0.003086748
Firmicutes	Clostridiumsensustricto	0.000266099
Proteobacteria	Sphingomonas	0.001703034
Actinobacteria	Rhodoluna	0.000638638
Proteobacteria	Methylocystis	0.004417243
Proteobacteria	Limnohabitans	0
Proteobacteria	Dechloromonas	0.000266099
Proteobacteria	Polynucleobacter	5.321979776476849e-05
Proteobacteria	Sphingomonas	0.001224055
Proteobacteria	Methylocystis	0.000372539
Proteobacteria	Polynucleobacter	0
Proteobacteria	Rhodoferax	0.00010644
Proteobacteria	Methylocystis	5.321979776476849e-05
Proteobacteria	Dokdonella	0.000319319
Cyanobacteria	Streptophyta	0
Proteobacteria	Aquincola	0.001969133
Bacteroidetes	Mucilaginibacter	0.000904737
Proteobacteria	Legionella	0.003885045
Bacteroidetes	Pseudarcicella	0
Proteobacteria	Pelobacter	5.321979776476849e-05
Proteobacteria	Propionivibrio	0
Bacteroidetes	Solitalea	0.000372539
Proteobacteria	Limnohabitans	0
Proteobacteria	Pleomorphomonas	0
Proteobacteria	Propionivibrio	5.321979776476849e-05
Proteobacteria	Hyphomicrobium	0.00010644
Proteobacteria	Rivibacter	0.000425758
Proteobacteria	Propionivibrio	0
Proteobacteria	Limnohabitans	0
Proteobacteria	Limnohabitans	0
Proteobacteria	Polynucleobacter	0
Proteobacteria	Aquisalimonas	0.000212879
Proteobacteria	Polynucleobacter	0
Proteobacteria	Ectothiorhodospira	0
Proteobacteria	Polynucleobacter	0
Proteobacteria	Limnohabitans	0
Proteobacteria	Limnohabitans	0
Proteobacteria	Limnohabitans	0
Proteobacteria	Limnohabitans	0.00010644
Actinobacteria	Microbacterium	0
Proteobacteria	Limnohabitans	0
Bacteroidetes	Pseudarcicella	0
Proteobacteria	Polynucleobacter	0
Proteobacteria	Limnohabitans	0.000159659
Proteobacteria	Limnohabitans	0
Proteobacteria	Ferribacterium	0
Proteobacteria	Polynucleobacter	0
Proteobacteria	Methylotenera	0
Proteobacteria	Polynucleobacter	0
Unmapped	Unmapped	0.8383182543906333
