phylum	genus	abundance
Proteobacteria	Ferribacterium	0.013134446571183421
Proteobacteria	Legionella	0.001584054
Proteobacteria	Sulfuritalea	0.008052274
Proteobacteria	Polynucleobacter	0.014784502673090885
Firmicutes	ClostridiumIII	0.007194245
Proteobacteria	Methylotenera	0.007128242
Proteobacteria	Methylocystis	0.00059402
Proteobacteria	Variovorax	0.010362352319978878
Proteobacteria	Rhodoferax	0.001980067
Bacteroidetes	Ferruginibacter	0.004092139
Proteobacteria	Polynucleobacter	0.010692363540360373
Proteobacteria	Brevundimonas	0.006798231
Proteobacteria	Aquincola	0.00264009
Proteobacteria	Methylobacillus	0.003498119
Proteobacteria	Anaeromyxobacter	0.002574088
Proteobacteria	Geobacter	0.002838096
Actinobacteria	Rhodoluna	0.005478186
Proteobacteria	Pantoea	0.002772094
Proteobacteria	Rhizobium	0.001254043
Proteobacteria	Curvibacter	0.001320045
Proteobacteria	Mitsuaria	0.000264009
Proteobacteria	Legionella	0.00204607
Proteobacteria	Legionella	0.001716058
Proteobacteria	Anaeromyxobacter	0.000264009
Proteobacteria	Janthinobacterium	0.000660022
Proteobacteria	Geobacter	6.60022440762986e-05
Proteobacteria	Limnohabitans	6.60022440762986e-05
Proteobacteria	Limnohabitans	6.60022440762986e-05
Bacteroidetes	Flavobacterium	0.002112072
Firmicutes	ClostridiumXlVa	0.003630123
Firmicutes	Clostridiumsensustricto	0.001914065
Proteobacteria	Chelativorans	0.000660022
Microgenomates	Microgenomates	0.003102105
Proteobacteria	Dechloromonas	0.00059402
Proteobacteria	Geobacter	6.60022440762986e-05
Proteobacteria	Rhodocyclus	0.001650056
Actinobacteria	Agrococcus	0.001584054
Proteobacteria	Limnohabitans	0.001320045
Proteobacteria	Methylotenera	0.000792027
Proteobacteria	Methylocystis	0.000660022
Firmicutes	Clostridiumsensustricto	0.002244076
Firmicutes	Clostridiumsensustricto	6.60022440762986e-05
Proteobacteria	Sphingomonas	0.001386047
Actinobacteria	Rhodoluna	0.000660022
Proteobacteria	Methylocystis	0.000858029
Proteobacteria	Limnohabitans	6.60022440762986e-05
Proteobacteria	Dechloromonas	6.60022440762986e-05
Proteobacteria	Polynucleobacter	6.60022440762986e-05
Proteobacteria	Sphingomonas	0.000858029
Proteobacteria	Methylocystis	0.000330011
Proteobacteria	Polynucleobacter	6.60022440762986e-05
Proteobacteria	Rhodoferax	6.60022440762986e-05
Proteobacteria	Methylocystis	0.000132004
Proteobacteria	Dokdonella	0.000198007
Cyanobacteria	Streptophyta	0.000132004
Proteobacteria	Aquincola	0.000264009
Bacteroidetes	Mucilaginibacter	0.000396013
Proteobacteria	Legionella	0.000132004
Bacteroidetes	Pseudarcicella	6.60022440762986e-05
Proteobacteria	Pelobacter	6.60022440762986e-05
Proteobacteria	Propionivibrio	6.60022440762986e-05
Bacteroidetes	Solitalea	0.000132004
Proteobacteria	Limnohabitans	6.60022440762986e-05
Proteobacteria	Pleomorphomonas	6.60022440762986e-05
Proteobacteria	Propionivibrio	6.60022440762986e-05
Proteobacteria	Hyphomicrobium	0.000132004
Proteobacteria	Rivibacter	6.60022440762986e-05
Proteobacteria	Propionivibrio	6.60022440762986e-05
Proteobacteria	Limnohabitans	6.60022440762986e-05
Proteobacteria	Limnohabitans	0
Proteobacteria	Polynucleobacter	0
Proteobacteria	Aquisalimonas	0
Proteobacteria	Polynucleobacter	0
Proteobacteria	Ectothiorhodospira	0
Proteobacteria	Polynucleobacter	0
Proteobacteria	Limnohabitans	0
Proteobacteria	Limnohabitans	0
Proteobacteria	Limnohabitans	0
Proteobacteria	Limnohabitans	0
Actinobacteria	Microbacterium	0
Proteobacteria	Limnohabitans	0
Bacteroidetes	Pseudarcicella	0
Proteobacteria	Polynucleobacter	0
Proteobacteria	Limnohabitans	0
Proteobacteria	Limnohabitans	0
Proteobacteria	Ferribacterium	0
Proteobacteria	Polynucleobacter	0
Proteobacteria	Methylotenera	0
Proteobacteria	Polynucleobacter	0
Unmapped	Unmapped	0.8591512111411788
