phylum	genus	abundance
Proteobacteria	Ferribacterium	0.00012119
Proteobacteria	Legionella	0.000302975
Proteobacteria	Sulfuritalea	0.000302975
Proteobacteria	Polynucleobacter	0.035872266
Firmicutes	ClostridiumIII	0.00036357
Proteobacteria	Methylotenera	0.001878446
Proteobacteria	Methylocystis	0
Proteobacteria	Variovorax	0.025631703
Proteobacteria	Rhodoferax	0.000424165
Bacteroidetes	Ferruginibacter	0.001575471
Proteobacteria	Polynucleobacter	0.021511240380536874
Proteobacteria	Brevundimonas	0.001393686
Proteobacteria	Aquincola	0.000908926
Proteobacteria	Methylobacillus	6.059504332545598e-05
Proteobacteria	Anaeromyxobacter	0.00012119
Proteobacteria	Geobacter	6.059504332545598e-05
Actinobacteria	Rhodoluna	0.003150942
Proteobacteria	Pantoea	0.000787736
Proteobacteria	Rhizobium	6.059504332545598e-05
Proteobacteria	Curvibacter	0.051869357086590316
Proteobacteria	Mitsuaria	0
Proteobacteria	Legionella	0.000424165
Proteobacteria	Legionella	6.059504332545598e-05
Proteobacteria	Anaeromyxobacter	0.00012119
Proteobacteria	Janthinobacterium	0.002060231
Proteobacteria	Geobacter	6.059504332545598e-05
Proteobacteria	Limnohabitans	6.059504332545598e-05
Proteobacteria	Limnohabitans	6.059504332545598e-05
Bacteroidetes	Flavobacterium	0.000666545
Firmicutes	ClostridiumXlVa	0.00048476
Firmicutes	Clostridiumsensustricto	0.00036357
Proteobacteria	Chelativorans	0.00012119
Microgenomates	Microgenomates	0.00012119
Proteobacteria	Dechloromonas	0.000302975
Proteobacteria	Geobacter	0
Proteobacteria	Rhodocyclus	0.00012119
Actinobacteria	Agrococcus	0.00721081
Proteobacteria	Limnohabitans	0.028843240622917047
Proteobacteria	Methylotenera	0.00048476
Proteobacteria	Methylocystis	6.059504332545598e-05
Firmicutes	Clostridiumsensustricto	0.00036357
Firmicutes	Clostridiumsensustricto	6.059504332545598e-05
Proteobacteria	Sphingomonas	0.00060595
Actinobacteria	Rhodoluna	6.059504332545598e-05
Proteobacteria	Methylocystis	0.000302975
Proteobacteria	Limnohabitans	0.000727141
Proteobacteria	Dechloromonas	0
Proteobacteria	Polynucleobacter	6.059504332545598e-05
Proteobacteria	Sphingomonas	0.000969521
Proteobacteria	Methylocystis	6.059504332545598e-05
Proteobacteria	Polynucleobacter	0.000181785
Proteobacteria	Rhodoferax	0
Proteobacteria	Methylocystis	0
Proteobacteria	Dokdonella	0
Cyanobacteria	Streptophyta	0
Proteobacteria	Aquincola	6.059504332545598e-05
Bacteroidetes	Mucilaginibacter	0.00024238
Proteobacteria	Legionella	0
Bacteroidetes	Pseudarcicella	0
Proteobacteria	Pelobacter	0
Proteobacteria	Propionivibrio	0
Bacteroidetes	Solitalea	0.00708962
Proteobacteria	Limnohabitans	0
Proteobacteria	Pleomorphomonas	0
Proteobacteria	Propionivibrio	0
Proteobacteria	Hyphomicrobium	0
Proteobacteria	Rivibacter	6.059504332545598e-05
Proteobacteria	Propionivibrio	0
Proteobacteria	Limnohabitans	0
Proteobacteria	Limnohabitans	0.00012119
Proteobacteria	Polynucleobacter	0
Proteobacteria	Aquisalimonas	0
Proteobacteria	Polynucleobacter	0
Proteobacteria	Ectothiorhodospira	0
Proteobacteria	Polynucleobacter	0.00012119
Proteobacteria	Limnohabitans	0
Proteobacteria	Limnohabitans	0
Proteobacteria	Limnohabitans	0
Proteobacteria	Limnohabitans	0
Actinobacteria	Microbacterium	6.059504332545598e-05
Proteobacteria	Limnohabitans	0.000545355
Bacteroidetes	Pseudarcicella	0
Proteobacteria	Polynucleobacter	0
Proteobacteria	Limnohabitans	6.059504332545598e-05
Proteobacteria	Limnohabitans	0.00036357
Proteobacteria	Ferribacterium	0
Proteobacteria	Polynucleobacter	0
Proteobacteria	Methylotenera	0
Proteobacteria	Polynucleobacter	0
Unmapped	Unmapped	0.7998545718960189
		
