phylum	genus	abundance
Proteobacteria	Ferribacterium	0.006886939
Proteobacteria	Legionella	0.002049684
Proteobacteria	Sulfuritalea	0.002377634
Proteobacteria	Polynucleobacter	0.009346561
Firmicutes	ClostridiumIII	0.007624826
Proteobacteria	Methylotenera	0.013281954578994835
Proteobacteria	Methylocystis	0.000819874
Proteobacteria	Variovorax	0.00811675
Proteobacteria	Rhodoferax	0.000573912
Bacteroidetes	Ferruginibacter	0.00188571
Proteobacteria	Polynucleobacter	0.007706813
Proteobacteria	Brevundimonas	0.005657129
Proteobacteria	Aquincola	0.000737886
Proteobacteria	Methylobacillus	0.00155776
Proteobacteria	Anaeromyxobacter	0.004837255
Proteobacteria	Geobacter	0.004263343
Actinobacteria	Rhodoluna	0.009100599
Proteobacteria	Pantoea	0.000655899
Proteobacteria	Rhizobium	0.00188571
Proteobacteria	Curvibacter	0.000163975
Proteobacteria	Mitsuaria	0.000327949
Proteobacteria	Legionella	0.004099369
Proteobacteria	Legionella	0.001229811
Proteobacteria	Anaeromyxobacter	0.000245962
Proteobacteria	Janthinobacterium	0.001065836
Proteobacteria	Geobacter	0
Proteobacteria	Limnohabitans	0
Proteobacteria	Limnohabitans	8.198737394441256e-05
Bacteroidetes	Flavobacterium	0.002213659
Firmicutes	ClostridiumXlVa	0.004345331
Firmicutes	Clostridiumsensustricto	0.004837255
Proteobacteria	Chelativorans	0.000983848
Microgenomates	Microgenomates	0.00344347
Proteobacteria	Dechloromonas	0.000245962
Proteobacteria	Geobacter	0
Proteobacteria	Rhodocyclus	0.000491924
Actinobacteria	Agrococcus	0.000573912
Proteobacteria	Limnohabitans	8.198737394441256e-05
Proteobacteria	Methylotenera	0.000655899
Proteobacteria	Methylocystis	0.000409937
Firmicutes	Clostridiumsensustricto	0.004181356
Firmicutes	Clostridiumsensustricto	8.198737394441256e-05
Proteobacteria	Sphingomonas	0.002131672
Actinobacteria	Rhodoluna	0.002131672
Proteobacteria	Methylocystis	0.001639747
Proteobacteria	Limnohabitans	0
Proteobacteria	Dechloromonas	8.198737394441256e-05
Proteobacteria	Polynucleobacter	0
Proteobacteria	Sphingomonas	0.000655899
Proteobacteria	Methylocystis	0.000409937
Proteobacteria	Polynucleobacter	0
Proteobacteria	Rhodoferax	0
Proteobacteria	Methylocystis	0.000163975
Proteobacteria	Dokdonella	0.000819874
Cyanobacteria	Streptophyta	0.000327949
Proteobacteria	Aquincola	0.000491924
Bacteroidetes	Mucilaginibacter	0.000327949
Proteobacteria	Legionella	0
Bacteroidetes	Pseudarcicella	0
Proteobacteria	Pelobacter	0
Proteobacteria	Propionivibrio	0
Bacteroidetes	Solitalea	0.000327949
Proteobacteria	Limnohabitans	0
Proteobacteria	Pleomorphomonas	0.000163975
Proteobacteria	Propionivibrio	0
Proteobacteria	Hyphomicrobium	0.000491924
Proteobacteria	Rivibacter	8.198737394441256e-05
Proteobacteria	Propionivibrio	8.198737394441256e-05
Proteobacteria	Limnohabitans	0
Proteobacteria	Limnohabitans	8.198737394441256e-05
Proteobacteria	Polynucleobacter	8.198737394441256e-05
Proteobacteria	Aquisalimonas	0.000327949
Proteobacteria	Polynucleobacter	8.198737394441256e-05
Proteobacteria	Ectothiorhodospira	0
Proteobacteria	Polynucleobacter	0
Proteobacteria	Limnohabitans	0
Proteobacteria	Limnohabitans	0
Proteobacteria	Limnohabitans	0
Proteobacteria	Limnohabitans	0
Actinobacteria	Microbacterium	0
Proteobacteria	Limnohabitans	0
Bacteroidetes	Pseudarcicella	0
Proteobacteria	Polynucleobacter	0
Proteobacteria	Limnohabitans	0
Proteobacteria	Limnohabitans	0
Proteobacteria	Ferribacterium	0
Proteobacteria	Polynucleobacter	0
Proteobacteria	Methylotenera	0
Proteobacteria	Polynucleobacter	0
Unmapped	Unmapped	0.8699680249241617
