centroid	identity	tax_id	species	genus	family	order	class	phylum	clade	superkingdom	subspecies	species subgroup	species group	abundance
0c75594b-b3b7-495d-a709-ee7ce09398e4	90.8	323423	Limnohabitans curvus	Limnohabitans	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.2966062296606229
1095445c-876a-4249-a697-4279fff7b1cc	93.0	1678129	Limnohabitans sp. 103DPR2	Limnohabitans	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.1139005113900511
6491c51a-d61a-42a3-9769-5a2e9a3efcad	93.6	1484693	Rhodoferax saidenbachensis	Rhodoferax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0174337517433751
ec0624cd-7bfd-466e-9815-e53ebad3ef0d	94.2	576610	Polynucleobacter necessarius	Polynucleobacter	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0676429567642956
5a294483-b01d-4adb-a81c-ccb054668396	93.6	158847	Megamonas hypermegale	Megamonas	Selenomonadaceae	Selenomonadales	Negativicutes	Firmicutes	Terrabacteria group	Bacteria				0.000232450023245
5bfb316c-437e-4fbc-b433-0bab51fe1afa	91.0	450200	Legionella dresdenensis	Legionella	Legionellaceae	Legionellales	Gammaproteobacteria	Proteobacteria		Bacteria				0.00092980009298
c504419b-cef3-4afe-bd02-68f45700c722	92.1	2045208	Massilia violaceinigra	Massilia	Oxalobacteraceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.00232450023245
c7981fde-7ac9-4c1c-a454-372f74a63f35	93.6	192843	Rhodoferax ferrireducens	Rhodoferax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0113900511390051
e39f9dd4-db98-4a9f-b6d4-4a6e06dc5e12	92.6	862126	Mucilaginibacter ginsenosidivorax	Mucilaginibacter	Sphingobacteriaceae	Sphingobacteriales	Sphingobacteriia	Bacteroidetes	FCB group	Bacteria				0.00092980009298
aa6661b9-333d-41f2-b5d0-a9d48a9a19df	91.0	28068	Rubrivivax gelatinosus	Rubrivivax		Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.001627150162715
90501977-cecf-4774-8e9c-00b6b3d3f235	94.3	544681	Limnohabitans australis	Limnohabitans	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0274291027429102
da8cc926-54cc-43c7-886f-8404a75f14a4	92.9	576611	Polynucleobacter asymbioticus	Polynucleobacter	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0822873082287308
5555f436-6dbe-4aec-ab04-1fbbe77a1e00	93.7	944547	Arcobacter sp. L		Campylobacteraceae	Campylobacterales	Epsilonproteobacteria	Proteobacteria		Bacteria				0.000697350069735
