centroid	identity	tax_id	species	genus	family	order	class	phylum	clade	superkingdom	subspecies	species subgroup	species group	abundance
a38beb2d-04d9-49a4-9209-f0dd135cdfab	93.5	1678129	Limnohabitans sp. 103DPR2	Limnohabitans	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0562009875108916
1450af57-66c2-402f-80ab-fdb145b2c0b1	93.2	1842533	Acidovorax sp. RAC01	Acidovorax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0004356665698518
df19f77e-98fa-42db-9f4b-458e81d5f875	94.5	576610	Polynucleobacter necessarius	Polynucleobacter	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.2294510601219866
8d8f6fee-69f2-4753-b81d-1f11d92fd250	94.1	1581557	Candidatus Methylopumilus planktonicus	Candidatus Methylopumilus	Methylophilaceae	Nitrosomonadales	Betaproteobacteria	Proteobacteria		Bacteria				0.0004356665698518
33edaa24-81d6-4273-9525-685c1ded4bf0	93.4	323423	Limnohabitans curvus	Limnohabitans	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.1176299738600058
b1052abd-57ca-4dd3-ac99-c8c57c1b46b4	93.1	2527691	Rhodoferax sp. Gr-4	Rhodoferax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0045018878884693
70dc403f-f5ab-479b-9a8d-179cc6d58ce2	94.8	543913	beta proteobacterium CB				Betaproteobacteria	Proteobacteria		Bacteria				0.0836479814115596
19a60b36-cbb4-4e27-adaf-4a6e97862c6e	91.7	2268024	Ephemeroptericola cinctiostellae	Ephemeroptericola	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0002904443799012
551f439f-7556-4aa9-8c08-dfe537a9e167	94.8	576611	Polynucleobacter asymbioticus	Polynucleobacter	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.2823119372640139
79e35d2b-7463-46e5-b3e7-b7e9d1e543d5	90.6	964	Herbaspirillum seropedicae	Herbaspirillum	Oxalobacteraceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0008713331397037
9f3ec577-1dcb-4023-8d8a-8203de0f8397	90.2	755731	Clostridium sp. BNL1100	Clostridium	Clostridiaceae	Clostridiales	Clostridia	Firmicutes	Terrabacteria group	Bacteria				0.0001452221899506
a9e670a7-fa45-4951-8ae7-e3efeef73ae9	92.0	2478552	Flavobacterium sp. 140616W15	Flavobacterium	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidetes	FCB group	Bacteria				0.0010165553296543
d3693811-9cc7-40f9-bd9f-6122a4895a38	90.3	279113	Collimonas pratensis	Collimonas	Oxalobacteraceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0001452221899506
5b107c72-b570-4454-be1f-6e1c3090af53	90.8	1397	Bacillus circulans	Bacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	Terrabacteria group	Bacteria				0.0001452221899506
c66d7c43-2719-44e3-bf7c-91b35c014888	92.6	192843	Rhodoferax ferrireducens	Rhodoferax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.010020331106593
7229de3c-09f1-470d-a1fb-a51fec4f4854	94.7	1843368	Sphingobium sp. RAC03	Sphingobium	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Proteobacteria		Bacteria				0.0011617775196049
0f4271fd-e809-493d-909a-c95e4e58db49	94.3	1344950	Undibacterium seohonense	Undibacterium	Oxalobacteraceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0008713331397037
11cfaeac-8b68-4c8a-8cde-24b2a4b02d6e	95.2	540061	Limnohabitans parvus	Limnohabitans	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0029044437990124
ec6366df-6da2-4289-ac8a-db8f6df7a71c	91.6	337779	Dechloromonas hortensis	Dechloromonas	Azonexaceae	Rhodocyclales	Betaproteobacteria	Proteobacteria		Bacteria				0.0001452221899506
cba3ecae-0e75-4d7b-a9a4-0f5e44e2779d	91.0	1484693	Rhodoferax saidenbachensis	Rhodoferax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0046471100784199
8729fe88-f7c5-4846-878d-52640d631a58	90.4	995037	Cryobacterium aureum	Cryobacterium	Microbacteriaceae	Micrococcales	Actinobacteria	Actinobacteria	Terrabacteria group	Bacteria				0.0001452221899506
25b9c747-a9c5-412c-8a9a-7e61c7e3f7c2	93.5	2527775	Polynucleobacter paneuropaeus	Polynucleobacter	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0196049956433343
5a85944b-8d70-45d5-8f04-2bb11ce1e54b	93.7	544681	Limnohabitans australis	Limnohabitans	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0212024397327911
18699c0b-4305-477e-a2aa-26f466a5b29c	93.5	1678128	Limnohabitans sp. 63ED37-2	Limnohabitans	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0014522218995062
2940ec02-72f6-4584-9b27-5b654804f42c	94.0	2603856	Lacisediminimonas profundi	Lacisediminimonas	Oxalobacteraceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0014522218995062
040aa700-16b5-4155-916f-a99035b66a90	90.0	341045	Herbaspirillum hiltneri	Herbaspirillum	Oxalobacteraceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0001452221899506
1993a838-d8b5-4bb6-af9f-cd7945453901	92.8	2518177	Flavobacterium sangjuense	Flavobacterium	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidetes	FCB group	Bacteria				0.0010165553296543
b8576fcd-8b24-4424-90a6-7e3eec28b1ab	91.3	346179	Herbaspirillum rhizosphaerae	Herbaspirillum	Oxalobacteraceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0004356665698518
6baf1253-8cb6-4a77-a6be-a6c08d5f3dfc	95.6	28037	Streptococcus mitis	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Terrabacteria group	Bacteria				0.0002904443799012
e8a3db49-a249-4e9e-8b82-a96a541a5470	92.0	1301100	[Clostridium] dakarense	Romboutsia	Peptostreptococcaceae	Clostridiales	Clostridia	Firmicutes	Terrabacteria group	Bacteria				0.0002904443799012
5bc1055c-cb7d-494b-99bb-f5d13dce5275	94.8	1835254	Polynucleobacter duraquae	Polynucleobacter	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0020331106593087
c5cee528-5bad-418a-a47c-b6c940a0642d	92.1	40214	Acinetobacter johnsonii	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria		Bacteria				0.0085681092070868
9389f44f-e79b-4de0-b11d-70dd864ec2da	90.8	213312	Herbaspirillum lusitanum	Herbaspirillum	Oxalobacteraceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0001452221899506
e8a9e858-9a3d-44d3-816a-d79a35a7ff25	96.0	2516559	Aquirufa antheringensis	Aquirufa	Cytophagaceae	Cytophagales	Cytophagia	Bacteroidetes	FCB group	Bacteria				0.0171362184141736
f031de4f-4a3c-4ca6-9822-30be43794240	94.3	1867851	Terrimonas crocea	Terrimonas	Chitinophagaceae	Chitinophagales	Chitinophagia	Bacteroidetes	FCB group	Bacteria				0.0001452221899506
59ceba06-7601-4ec1-a902-37ad0fafe5fd	90.3	80879	Curvibacter delicatus	Curvibacter	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0029044437990124
01d34c4c-35c4-46f2-839c-45cc0680e8bd	92.0	238834	Clostridium estertheticum	Clostridium	Clostridiaceae	Clostridiales	Clostridia	Firmicutes	Terrabacteria group	Bacteria				0.0001452221899506
1518501c-59f0-422a-969f-0a6a3dcb8f38	92.5	45393	Methylophilus leisingeri	Methylophilus	Methylophilaceae	Nitrosomonadales	Betaproteobacteria	Proteobacteria		Bacteria				0.0004356665698518
