centroid	identity	tax_id	species	genus	family	order	class	phylum	clade	superkingdom	subspecies	species subgroup	species group	abundance
712d6dc9-e3d0-4522-872e-075c1f2a2439	90.0	2507160	Aminipila sp. JN-18	Aminipila	Clostridiales Family XIII. Incertae Sedis	Clostridiales	Clostridia	Firmicutes	Terrabacteria group	Bacteria				0.0002929973630237
fa3ba9a5-59c4-4a65-86f9-79f320b59434	90.9	345632	Geobacter pickeringii	Geobacter	Geobacteraceae	Desulfuromonadales	Deltaproteobacteria	Proteobacteria		Bacteria				0.0158218576032815
0d71373b-4e66-48ae-ab54-437abdfbf835	90.4	1678129	Limnohabitans sp. 103DPR2	Limnohabitans	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.029592733665397
2ca43139-1453-48b4-ac9d-a6e84449c80f	95.2	2527775	Polynucleobacter paneuropaeus	Polynucleobacter	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.016407852329329
9975ccad-6c79-4b34-ad86-d7465be21aeb	93.7	576610	Polynucleobacter necessarius	Polynucleobacter	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.1573395839437445
a455a435-3143-4fdd-8867-dbd674c0141f	93.0	1548	Clostridium scatologenes	Clostridium	Clostridiaceae	Clostridiales	Clostridia	Firmicutes	Terrabacteria group	Bacteria				0.0002929973630237
5495f657-3f4d-4e1e-a67d-c18657233de3	95.4	323423	Limnohabitans curvus	Limnohabitans	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0430706123644887
53023b7b-2bab-4bd9-a684-de523556b09f	92.7	1678128	Limnohabitans sp. 63ED37-2	Limnohabitans	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0020509815411661
36a9940d-0bee-4b80-b09d-0d4b66a79661	90.4	63	Vitreoscilla filiformis	Vitreoscilla	Neisseriaceae	Neisseriales	Betaproteobacteria	Proteobacteria		Bacteria				0.0002929973630237
189101a9-2d2e-4396-aa09-c12feb2495f3	93.0	424218	Georgfuchsia toluolica	Georgfuchsia	Sterolibacteriaceae	Nitrosomonadales	Betaproteobacteria	Proteobacteria		Bacteria				0.0008789920890711
e17f986b-da65-4291-98bc-b7f3fb90581c	90.9	60036	Geobacter pelophilus	Geobacter	Geobacteraceae	Desulfuromonadales	Deltaproteobacteria	Proteobacteria		Bacteria				0.0632874304131262
d8dc7d72-ce39-4106-bbde-7c054c8b487a	94.6	576611	Polynucleobacter asymbioticus	Polynucleobacter	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.1646645180193378
e0ad1398-d596-41f1-adb6-436178ef03ed	91.9	487318	Roseomonas frigidaquae	Roseomonas	Acetobacteraceae	Rhodospirillales	Alphaproteobacteria	Proteobacteria		Bacteria				0.0002929973630237
d7dab7ab-3cc7-49c1-a686-712af38be4d5	90.6	748811	Sulfuritalea hydrogenivorans	Sulfuritalea	Sterolibacteriaceae	Nitrosomonadales	Betaproteobacteria	Proteobacteria		Bacteria				0.0026369762672135
643a6e4d-abe5-4686-8ba1-d266fbd54f20	91.0	676517	Diplorickettsia massiliensis	Diplorickettsia	Coxiellaceae	Legionellales	Gammaproteobacteria	Proteobacteria		Bacteria				0.0002929973630237
