centroid	identity	tax_id	species	genus	family	order	class	phylum	clade	superkingdom	subspecies	species subgroup	species group	abundance
74c6b64a-b7e2-4460-a914-5f1ff7061185	93.6	323423	Limnohabitans curvus	Limnohabitans	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.4989888776541961
ac6a6347-7db6-4326-8127-635fb7d76976	92.1	1864941	Terrimonas terrae	Terrimonas	Chitinophagaceae	Chitinophagales	Chitinophagia	Bacteroidetes	FCB group	Bacteria				0.0005055611729019
471ad63b-c92f-4b0f-b04c-7b3dfa413fb3	92.3	1678129	Limnohabitans sp. 103DPR2	Limnohabitans	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0902426693629929
d6e2870b-4e28-4d35-9ed0-3fd91c7c129d	90.2	1813879	Sphingomonas sp. HKS19	Sphingomonas	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Proteobacteria		Bacteria				0.0002527805864509
6a75a3c4-7bfc-432f-8b52-c329338d310f	90.5	1572859	Gellertiella hungarica	Gellertiella	Rhizobiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria		Bacteria				0.0002527805864509
abd7d20c-cc27-49d3-a7e7-4f6134f9c700	91.5	576610	Polynucleobacter necessarius	Polynucleobacter	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0199696663296258
64379e18-4f5e-4512-bb5c-ad0325755b2f	94.7	576611	Polynucleobacter asymbioticus	Polynucleobacter	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0561172901921132
e60ad596-2e02-4a98-8635-e19890f4eb77	90.5	376815	Variovorax soli	Variovorax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0007583417593528
7164929d-f9ca-43d3-a5ea-c81cc61ae251	94.7	134	Methylocystis parvus	Methylocystis	Methylocystaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria		Bacteria				0.012639029322548
bbc0d202-742e-48cc-b875-a67ee9e26a5f	90.6	1484693	Rhodoferax saidenbachensis	Rhodoferax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0101112234580384
0d6f7d84-fc10-4773-9fbf-dde48407b093	90.9	80879	Curvibacter delicatus	Curvibacter	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.006066734074823
172b8398-47fc-42af-bc49-3e5b157ed286	93.3	544681	Limnohabitans australis	Limnohabitans	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.089737108190091
52b03ce3-df67-4a6e-96e3-3d290a6a4580	95.3	29394	Dolosigranulum pigrum	Dolosigranulum	Carnobacteriaceae	Lactobacillales	Bacilli	Firmicutes	Terrabacteria group	Bacteria				0.0002527805864509
7318f104-16a8-4717-8c95-ca7c0207fc7d	96.1	2025714	Hydrogenophaga soli	Hydrogenophaga	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0007583417593528
095eb580-893b-4ba2-9cee-6c3c461ab3ba	90.3	1202716	Rhodomicrobium udaipurense	Rhodomicrobium	Hyphomicrobiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria		Bacteria				0.0005055611729019
0d06a42c-5b8e-4003-bfa3-857414bcc1b8	92.5	28068	Rubrivivax gelatinosus	Rubrivivax		Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0015166835187057
50700d58-69f4-4de0-9f02-522f6c7eb183	92.7	556053	Polynucleobacter acidiphobus	Polynucleobacter	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0007583417593528
276b47b2-6880-4473-9deb-8ac299ff9fbd	93.2	2527775	Polynucleobacter paneuropaeus	Polynucleobacter	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0118806875631951
43c52228-0f18-4ca6-a45f-3761d31dfd43	90.2	293387	Bacillus altitudinis	Bacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	Terrabacteria group	Bacteria			Bacillus altitudinis complex	0.0015166835187057
e62a243c-a606-42ae-b933-fe6195f55a63	93.3	543913	beta proteobacterium CB				Betaproteobacteria	Proteobacteria		Bacteria				0.018705763397371
82b9d1dc-3c61-49ca-ab00-35b17fe131f9	91.6	1678128	Limnohabitans sp. 63ED37-2	Limnohabitans	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0025278058645096
1e474d41-9719-405a-8278-47c49e56fe70	94.4	2029864	Silanimonas algicola	Silanimonas	Xanthomonadaceae	Xanthomonadales	Gammaproteobacteria	Proteobacteria		Bacteria				0.0005055611729019
ed2c1e50-73d1-4aae-a0bf-6c85af57d09f	90.4	1076	Rhodopseudomonas palustris	Rhodopseudomonas	Bradyrhizobiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria		Bacteria				0.0022750252780586
d3a9ab60-ac5d-45d2-86f0-76b6b74fef33	93.0	540061	Limnohabitans parvus	Limnohabitans	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0012639029322548
7598f093-f430-4e1b-9aba-a2f9c84f20d7	91.1	585423	Synechococcus sp. KORDI-49	Synechococcus	Synechococcaceae	Synechococcales		Cyanobacteria	Terrabacteria group	Bacteria				0.0002527805864509
00ac887d-170a-4427-a24f-4f0d1d69d555	92.6	249410	Hydrogenophaga defluvii	Hydrogenophaga	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0007583417593528
2f238728-a319-4a32-8a74-4d36c07855d7	93.8	1925548	Candidatus Fonsibacter ubiquis	Candidatus Fonsibacter		Pelagibacterales	Alphaproteobacteria	Proteobacteria		Bacteria				0.0078361981799797
a36aed8e-1441-4907-b2a9-3aa722095078	90.3	1549638	Quisquiliibacterium transsilvanicum	Quisquiliibacterium	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0002527805864509
5f0a0bd8-10c4-4844-a8a8-2ce8e197eaac	90.8	2500532	Paracoccus sp. Arc7-R13	Paracoccus	Rhodobacteraceae	Rhodobacterales	Alphaproteobacteria	Proteobacteria		Bacteria				0.0010111223458038
133763fc-8f38-495f-9d55-65a1e2d11da6	90.7	230310	Curvibacter gracilis	Curvibacter	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0022750252780586
6a2ac36e-44cb-478f-9cea-c2a11db45594	96.3	2079575	Aurantimicrobium sp. MWH-Uga1	Aurantimicrobium	Microbacteriaceae	Micrococcales	Actinobacteria	Actinobacteria	Terrabacteria group	Bacteria				0.0012639029322548
59eabdf0-b5e4-4383-b340-cfd4ea2c2847	90.3	1743157	Polynucleobacter sinensis	Polynucleobacter	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0040444893832153
caf0434a-dfb5-42df-8946-ddacb96c6793	92.2	1035707	Massilia namucuonensis	Massilia	Oxalobacteraceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0002527805864509
b2beda9a-2d9b-4f5e-9806-80ed511ae341	90.3	286698	Geobacter psychrophilus	Geobacter	Geobacteraceae	Desulfuromonadales	Deltaproteobacteria	Proteobacteria		Bacteria				0.0015166835187057
433bbc09-1056-4899-9f73-1e383b481728	90.7	29369	Clostridium sardiniense	Clostridium	Clostridiaceae	Clostridiales	Clostridia	Firmicutes	Terrabacteria group	Bacteria				0.0002527805864509
eff80f3c-ad1b-4f38-b225-efd5447f5c7b	92.8	2231055	Dechloromonas sp. HYN0024	Dechloromonas	Azonexaceae	Rhodocyclales	Betaproteobacteria	Proteobacteria		Bacteria				0.0010111223458038
4ea6f0b4-9ab9-4777-9c47-e722a20873ba	90.6	426	Methylosinus trichosporium	Methylosinus	Methylocystaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria		Bacteria				0.0017694641051567
712e16d6-2e5b-4742-94ff-d3b75aee551a	95.5	1433513	Streptococcus gwangjuense	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Terrabacteria group	Bacteria				0.0002527805864509
5a32ce37-e0f2-4c34-a523-ba91dbf6d86e	93.3	80878	Acidovorax temperans	Acidovorax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0005055611729019
f115b68f-af16-495e-bace-d6639cb4a915	93.2	1835254	Polynucleobacter duraquae	Polynucleobacter	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0010111223458038
fc105863-db40-40a5-81e2-0547a71226b9	90.7	192843	Rhodoferax ferrireducens	Rhodoferax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0050556117290192
b1918077-f149-42e1-9c1a-0f3c71e91e8f	92.8	70584	Aquabacterium parvum	Aquabacterium		Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0005055611729019
162a49b9-a141-4005-b9b5-785eefb6b3ec	90.7	146938	Azovibrio restrictus	Azovibrio	Rhodocyclaceae	Rhodocyclales	Betaproteobacteria	Proteobacteria		Bacteria				0.0002527805864509
6b195871-7255-4d74-9a5a-3cd89d144325	90.3	1706829	Sediminibacterium aquarii	Sediminibacterium	Chitinophagaceae	Chitinophagales	Chitinophagia	Bacteroidetes	FCB group	Bacteria				0.0002527805864509
20604203-112b-43ec-bb1f-4b46fe55d6d7	90.1	424218	Georgfuchsia toluolica	Georgfuchsia	Sterolibacteriaceae	Nitrosomonadales	Betaproteobacteria	Proteobacteria		Bacteria				0.0012639029322548
4639f099-cf50-44b8-a0d0-df768a81c0b1	93.2	370976	Hydrogenophaga caeni	Hydrogenophaga	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0007583417593528
a2ecad51-3925-404d-abe1-9f74dd25cde5	92.5	328692	Deinococcus aquaticus	Deinococcus	Deinococcaceae	Deinococcales	Deinococci	Deinococcus-Thermus	Terrabacteria group	Bacteria				0.0096056622851365
6cd1a348-10a4-4046-9399-6cbb246b0f76	92.6	442526	Massilia brevitalea	Massilia	Oxalobacteraceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0007583417593528
16402d5d-3aec-4ebd-bf11-4569b564d804	91.0	340221	Alsobacter metallidurans	Alsobacter		Rhizobiales	Alphaproteobacteria	Proteobacteria		Bacteria				0.0002527805864509
