centroid	identity	tax_id	species	genus	family	order	class	phylum	clade	superkingdom	subspecies	species subgroup	species group	abundance
95b9a455-0055-4a68-8656-3acae6f32340	94.3	576610	Polynucleobacter necessarius	Polynucleobacter	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.2384626799228372
c8a60286-15a2-4375-ba47-09d5b6e3ddfa	90.4	1609758	Novosphingobium sp. P6W	Novosphingobium	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Proteobacteria		Bacteria				0.0007419498441905
e0595bf5-6025-4336-a92e-53369be57f26	92.1	576611	Polynucleobacter asymbioticus	Polynucleobacter	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.161596676064698
1a58e1bb-48eb-45e8-bd3e-28c5851cc23f	90.0	376815	Variovorax soli	Variovorax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0004451699065143
d85f0514-a3ab-4bb7-bb78-67a49b720269	93.4	1484693	Rhodoferax saidenbachensis	Rhodoferax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0243359548894494
5455f6c0-f9fe-4a9b-bc8d-ecb121991373	93.3	1678129	Limnohabitans sp. 103DPR2	Limnohabitans	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0381362219913933
0404e343-0143-4b5f-b83e-fac520290765	90.4	1842533	Acidovorax sp. RAC01	Acidovorax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0008903398130286
60815c8a-d89b-4d05-87ab-4aa0009fc491	90.8	748811	Sulfuritalea hydrogenivorans	Sulfuritalea	Sterolibacteriaceae	Nitrosomonadales	Betaproteobacteria	Proteobacteria		Bacteria				0.004303309096305
99e5f8b2-77a1-49d2-a270-931b19ec6495	95.3	323423	Limnohabitans curvus	Limnohabitans	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0681109956966909
ff0502de-dc3c-4539-9f4f-da0a4651641b	95.6	2527775	Polynucleobacter paneuropaeus	Polynucleobacter	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0350200326457931
8e9bfdf0-46e2-4773-8b51-f142eea203d0	91.9	396504	Ruminiclostridium sufflavum	Ruminiclostridium	Hungateiclostridiaceae	Clostridiales	Clostridia	Firmicutes	Terrabacteria group	Bacteria				0.0001483899688381
92ab32c5-eeaa-453d-ab3c-d574f6fdb45c	94.4	2527691	Rhodoferax sp. Gr-4	Rhodoferax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.032052233269031
4456d4bb-7ee2-4d11-88a7-aba958132955	90.1	34103	Sphaerotilus natans	Sphaerotilus		Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0007419498441905
8e7b1a4a-afbe-46e8-8e22-faf8fb225ab5	93.1	2662614	Terrimonas suqianensis	Terrimonas	Chitinophagaceae	Chitinophagales	Chitinophagia	Bacteroidetes	FCB group	Bacteria				0.0004451699065143
baaccffa-ae10-43d9-bc06-3759c7460ee4	93.1	426	Methylosinus trichosporium	Methylosinus	Methylocystaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria		Bacteria				0.0117228075382104
0d5d6405-22a1-4c68-a3b6-3ea9687da7bc	91.7	2496871	Geomonas soli	'Geomonas' Khan et al. 2020	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0010387297818667
75ce86cf-3b10-437d-a561-9622608b0d8c	90.1	192843	Rhodoferax ferrireducens	Rhodoferax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0382846119602314
