centroid	identity	tax_id	species	genus	family	order	class	phylum	clade	superkingdom	subspecies	species subgroup	species group	abundance
d2ae41aa-92a1-4852-a951-4b757b24fdf2	92.5	1678129	Limnohabitans sp. 103DPR2	Limnohabitans	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0623240097615918
3cbf7db7-2839-4221-992a-5c3e86d65033	94.8	576611	Polynucleobacter asymbioticus	Polynucleobacter	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.1396658532006758
c2a25705-2f5a-43fa-a638-f044cf936517	93.9	323423	Limnohabitans curvus	Limnohabitans	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.2363431574995307
011c3c55-49ea-4406-9f16-39685950fc9a	90.7	2527691	Rhodoferax sp. Gr-4	Rhodoferax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0011263375258119
e12f143f-0d9e-45be-85ec-c80e9c3bf032	94.8	576610	Polynucleobacter necessarius	Polynucleobacter	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.090670170827858
5f6469cb-310b-403d-9b79-5800f42e6b66	93.7	1581680	Candidatus Methylopumilus turicensis	Candidatus Methylopumilus	Methylophilaceae	Nitrosomonadales	Betaproteobacteria	Proteobacteria		Bacteria				0.0009386146048432
5b8b0609-3cec-4a9c-b173-4f294a62318e	90.4	1781167	Ramlibacter rhizophilus	Ramlibacter	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0018772292096865
404f9cf3-ef64-4be4-9a23-e8a9cddc068b	92.4	543913	beta proteobacterium CB				Betaproteobacteria	Proteobacteria		Bacteria				0.0546273700018772
f11a0fed-295f-4b54-b11b-2709721e4e5a	92.6	1678128	Limnohabitans sp. 63ED37-2	Limnohabitans	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0125774357048995
e1a98742-1031-42d5-83e8-fe6b77d569f0	91.6	94132	Ramlibacter tataouinensis	Ramlibacter	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0123897127839309
