centroid	identity	tax_id	species	genus	family	order	class	phylum	clade	superkingdom	subspecies	species subgroup	species group	abundance
48a57061-c3e6-48e9-adc0-9511c110adad	92.3	576611	Polynucleobacter asymbioticus	Polynucleobacter	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.1990825688073394
492e0108-c659-4daa-b001-c14fbc796860	91.7	2579977	Brevundimonas sp. SGAir0440	Brevundimonas	Caulobacteraceae	Caulobacterales	Alphaproteobacteria	Proteobacteria		Bacteria				0.0012844036697247
eba1c8a5-7b21-469e-bf58-4e05c32be5a9	94.0	2527691	Rhodoferax sp. Gr-4	Rhodoferax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0361467889908256
21fc2101-59d1-4fbf-85d5-5974141597c9	94.6	576610	Polynucleobacter necessarius	Polynucleobacter	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.2289908256880733
06e8b681-4943-4718-b927-4bb3711e2589	94.4	1678129	Limnohabitans sp. 103DPR2	Limnohabitans	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0321100917431192
0258734c-ae14-4a12-a2ae-57015d79e763	91.0	311182	Denitratisoma oestradiolicum	Denitratisoma	Sterolibacteriaceae	Nitrosomonadales	Betaproteobacteria	Proteobacteria		Bacteria				0.0001834862385321
2bfbe743-5c18-4c34-b65d-0994b07113a8	95.0	2527775	Polynucleobacter paneuropaeus	Polynucleobacter	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0262385321100917
c870e0b0-1767-48aa-8f83-cf75aee59837	93.8	323423	Limnohabitans curvus	Limnohabitans	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0504587155963302
6bebfdf0-2ef6-42b1-bef2-ce98837552fd	93.4	1076	Rhodopseudomonas palustris	Rhodopseudomonas	Bradyrhizobiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria		Bacteria				0.0003669724770642
f96f5e2d-9325-4a7a-9d80-8c813fdde5ea	94.8	1715860	Staphylococcus sp. AntiMn-1	Staphylococcus	Staphylococcaceae	Bacillales	Bacilli	Firmicutes	Terrabacteria group	Bacteria				0.0011009174311926
4cee9d52-1b4d-439c-b215-c6a0b3180da8	93.1	192843	Rhodoferax ferrireducens	Rhodoferax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0568807339449541
5dd0ada8-072b-4670-bc94-d39e79de15b5	94.7	1484693	Rhodoferax saidenbachensis	Rhodoferax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0337614678899082
e4a0ea44-b8df-4ad9-9acc-6bef58c5a90e	94.2	1069	Rhodomicrobium vannielii	Rhodomicrobium	Hyphomicrobiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria		Bacteria				0.0060550458715596
0062735b-184d-4485-aaf1-f575d4899969	95.2	543913	beta proteobacterium CB				Betaproteobacteria	Proteobacteria		Bacteria				0.0779816513761468
babd5eb7-635a-491f-b79c-fec831dccb7b	92.1	556054	Polynucleobacter difficilis	Polynucleobacter	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0003669724770642
eaa71da6-77f8-4804-8817-882ddd4337b9	91.5	1581557	Candidatus Methylopumilus planktonicus	Candidatus Methylopumilus	Methylophilaceae	Nitrosomonadales	Betaproteobacteria	Proteobacteria		Bacteria				0.0022018348623853
e6e0c6e5-8630-48e7-80ce-24597714329b	90.4	28068	Rubrivivax gelatinosus	Rubrivivax		Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0009174311926605
e5185d10-97e9-453b-b98e-536fef2c73c2	95.4	134	Methylocystis parvus	Methylocystis	Methylocystaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria		Bacteria				0.0225688073394495
550b28aa-2174-4c0a-b69d-d2fe6bedf16c	95.5	180400	Sphingopyxis chilensis	Sphingopyxis	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Proteobacteria		Bacteria				0.0001834862385321
5dcc3423-8041-49f4-b881-1073e467e2a2	94.2	1446479	Arenimonas maotaiensis	Arenimonas	Xanthomonadaceae	Xanthomonadales	Gammaproteobacteria	Proteobacteria		Bacteria				0.0033027522935779
4dccf380-31b3-438a-957d-aff98e014cb9	94.3	238834	Clostridium estertheticum	Clostridium	Clostridiaceae	Clostridiales	Clostridia	Firmicutes	Terrabacteria group	Bacteria				0.0011009174311926
66511b00-04bb-44ef-9694-07886add5a83	92.0	426	Methylosinus trichosporium	Methylosinus	Methylocystaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria		Bacteria				0.0155963302752293
6d713077-2f59-4b04-bd39-6859e3d67846	92.1	1055487	Methylotenera versatilis	Methylotenera	Methylophilaceae	Nitrosomonadales	Betaproteobacteria	Proteobacteria		Bacteria				0.0031192660550458
603295b1-0ff6-4de2-85d9-6318617bb14c	92.9	1835254	Polynucleobacter duraquae	Polynucleobacter	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0014678899082568
4a1882a4-ed6c-4e60-afce-0fa1ebca8fd3	90.5	535712	Candidatus Rhodoluna planktonica	Rhodoluna	Microbacteriaceae	Micrococcales	Actinobacteria	Actinobacteria	Terrabacteria group	Bacteria				0.0033027522935779
693eaf6c-3648-4b4e-badd-dac203cf1ccd	91.1	414	Methylococcus capsulatus	Methylococcus	Methylococcaceae	Methylococcales	Gammaproteobacteria	Proteobacteria		Bacteria				0.0001834862385321
11720fad-f808-4089-9685-8f84c31028f0	93.8	1581680	Candidatus Methylopumilus turicensis	Candidatus Methylopumilus	Methylophilaceae	Nitrosomonadales	Betaproteobacteria	Proteobacteria		Bacteria				0.0115596330275229
9723b32a-db2c-4a39-a61a-c994b37aa085	97.7	2516559	Aquirufa antheringensis	Aquirufa	Cytophagaceae	Cytophagales	Cytophagia	Bacteroidetes	FCB group	Bacteria				0.0111926605504587
45ac30cc-c01e-4d5a-9760-fc3d3605a251	94.2	2049319	Polynucleobacter victoriensis	Polynucleobacter	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0113761467889908
9f057bc4-88c2-4f62-8fe9-bab530415faf	90.5	676517	Diplorickettsia massiliensis	Diplorickettsia	Coxiellaceae	Legionellales	Gammaproteobacteria	Proteobacteria		Bacteria				0.0003669724770642
0c43050c-4216-4b93-ae8f-8c0ca6ac8ecf	90.2	446	Legionella pneumophila	Legionella	Legionellaceae	Legionellales	Gammaproteobacteria	Proteobacteria		Bacteria				0.0009174311926605
068669fc-08da-4796-b937-14f76772046f	95.6	500017	Candidatus Planktoluna difficilis	Candidatus Planktoluna	Microbacteriaceae	Micrococcales	Actinobacteria	Actinobacteria	Terrabacteria group	Bacteria				0.0069724770642201
aa8306cc-9bac-42a7-b9bd-46778067e7af	92.5	998844	Allopseudarcicella aquatilis	Allopseudarcicella	Cytophagaceae	Cytophagales	Cytophagia	Bacteroidetes	FCB group	Bacteria				0.0012844036697247
