phylum	genus	abundance
Proteobacteria	Rhodoferax	0.10424879544459045
Proteobacteria	Propionivibrio	0.004818221638195357
Proteobacteria	Limnohabitans	0.0030661410424879547
Bacteroidetes	Solitalea	0.06657906263688129
Proteobacteria	Curvibacter	0.016206745510293472
Proteobacteria	Limnohabitans	0.022339027595269383
Proteobacteria	Limnohabitans	0.004818221638195357
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Herbaspirillum	0.11695137976346912
Bacteroidetes	Mucilaginibacter	0.04248795444590451
Proteobacteria	Sphingorhabdus	0.0004380201489268506
Proteobacteria	Rhodoferax	0.010074463425317565
Proteobacteria	Sphingorhabdus	0.0017520805957074025
Proteobacteria	Curvibacter	0.002190100744634253
Proteobacteria	Aquabacterium	0.03591765221200175
Proteobacteria	Polynucleobacter	0.0017520805957074025
Actinobacteria	Tetrasphaera	0.04248795444590451
Proteobacteria	Polynucleobacter	0.0004380201489268506
Proteobacteria	Limnohabitans	0.00788436268068331
Proteobacteria	Vasilyevaea	0.004380201489268506
Proteobacteria	Methylotenera	0.011826544021024968
Proteobacteria	Limnohabitans	0.0008760402978537013
Firmicutes	Bacillus	0.016644765659220323
Proteobacteria	Rhodoferax	0.002628120893561104
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Limnohabitans	0.0008760402978537013
Bacteroidetes	Flavobacterium	0.003942181340341655
Proteobacteria	Legionella	0.09636443276390715
Actinobacteria	Rhodoluna	0.025405168637757335
Proteobacteria	Limnohabitans	0.0004380201489268506
Proteobacteria	Xanthomonas	0.0004380201489268506
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Variovorax	0.0
Proteobacteria	Limnohabitans	0.002628120893561104
Proteobacteria	Polynucleobacter	0.0
Bacteroidetes	Pseudarcicella	0.0008760402978537013
Firmicutes	Clostridiumsensustricto	0.017958826106000875
Proteobacteria	Rubrivivax	0.0
Proteobacteria	Lentilitoribacter	0.009198423127463863
Firmicutes	Clostridiumsensustricto	0.001314060446780552
Actinobacteria	Rhodoluna	0.0017520805957074025
Proteobacteria	Polynucleobacter	0.0004380201489268506
Actinobacteria	Rhodoluna	0.0
Proteobacteria	Limnohabitans	0.002190100744634253
Proteobacteria	Methylocystis	0.006570302233902759
Actinobacteria	Ilumatobacter	0.07928164695575997
Proteobacteria	Rhodanobacter	0.002628120893561104
Firmicutes	Romboutsia	0.01445466491458607
Proteobacteria	Rhodoferax	0.002628120893561104
Proteobacteria	Shinella	0.010512483574244415
Proteobacteria	Methylotenera	0.07314936487078405
Proteobacteria	Polynucleobacter	0.0
Verrucomicrobia	Cerasicoccus	0.003942181340341655
Proteobacteria	Methylocystis	0.004818221638195357
Proteobacteria	Methylocystis	0.0
Proteobacteria	Methylotenera	0.0008760402978537013
Proteobacteria	Chelativorans	0.001314060446780552
Proteobacteria	Chelativorans	0.0
Proteobacteria	Limnohabitans	0.002628120893561104
Proteobacteria	Mesorhizobium	0.0056942619360490585
Proteobacteria	Methylotenera	0.0017520805957074025
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Limnohabitans	0.0004380201489268506
Proteobacteria	Limnohabitans	0.0008760402978537013
Proteobacteria	Polynucleobacter	0.0
Bacteroidetes	Flavobacterium	0.003504161191414805
Firmicutes	Intestinibacter	0.002628120893561104
Actinobacteria	Streptomyces	0.005256241787122208
Proteobacteria	Sphingomonas	0.0
Proteobacteria	Methylocystis	0.006132282084975909
Proteobacteria	Limnohabitans	0.0
Actinobacteria	Streptomyces	0.0008760402978537013
Proteobacteria	Curvibacter	0.0030661410424879547
Proteobacteria	Rhodoferax	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Rhodoligotrophos	0.0
Proteobacteria	Methylotenera	0.0004380201489268506
Proteobacteria	Curvibacter	0.002190100744634253
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Methylotenera	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Curvibacter	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Devosia	0.031099430573806396
Proteobacteria	Sphingorhabdus	0.01401664476565922
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Bradyrhizobium	0.004818221638195357
Proteobacteria	Curvibacter	0.002190100744634253
Bacteroidetes	Arcicella	0.0004380201489268506
Bacteroidetes	Pseudarcicella	0.0
Proteobacteria	Polynucleobacter	0.0
Verrucomicrobia	Pelagicoccus	0.025405168637757335
Proteobacteria	Devosia	0.0004380201489268506
Proteobacteria	Limnohabitans	0.0004380201489268506
Proteobacteria	Methylotenera	0.0008760402978537013
Bacteroidetes	Arcicella	0.0
Proteobacteria	Polynucleobacter	0.0
Bacteroidetes	Pseudarcicella	0.0
Bacteroidetes	Pseudarcicella	0.0
Bacteroidetes	Pseudarcicella	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Rubrivivax	0.0
