phylum	genus	abundance
Proteobacteria	Rhodoferax	0.10311640696608616
Proteobacteria	Propionivibrio	0.012832263978001834
Proteobacteria	Limnohabitans	0.0009165902841429881
Bacteroidetes	Solitalea	0.045829514207149404
Proteobacteria	Curvibacter	0.005499541704857928
Proteobacteria	Limnohabitans	0.01833180568285976
Proteobacteria	Limnohabitans	0.005041246562786435
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Herbaspirillum	0.18973418881759854
Bacteroidetes	Mucilaginibacter	0.06324472960586618
Proteobacteria	Sphingorhabdus	0.002749770852428964
Proteobacteria	Rhodoferax	0.008707607699358386
Proteobacteria	Sphingorhabdus	0.005041246562786435
Proteobacteria	Curvibacter	0.0009165902841429881
Proteobacteria	Aquabacterium	0.07561869844179651
Proteobacteria	Polynucleobacter	0.0009165902841429881
Actinobacteria	Tetrasphaera	0.024289642529789185
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Limnohabitans	0.005041246562786435
Proteobacteria	Vasilyevaea	0.004124656278643446
Proteobacteria	Methylotenera	0.022456461961503207
Proteobacteria	Limnohabitans	0.002749770852428964
Firmicutes	Bacillus	0.022456461961503207
Proteobacteria	Rhodoferax	0.0009165902841429881
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Limnohabitans	0.00045829514207149406
Proteobacteria	Limnohabitans	0.0009165902841429881
Bacteroidetes	Flavobacterium	0.01008249312557287
Proteobacteria	Legionella	0.10174152153987168
Actinobacteria	Rhodoluna	0.03666361136571952
Proteobacteria	Limnohabitans	0.00045829514207149406
Proteobacteria	Xanthomonas	0.00045829514207149406
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Variovorax	0.0
Proteobacteria	Limnohabitans	0.002749770852428964
Proteobacteria	Polynucleobacter	0.0
Bacteroidetes	Pseudarcicella	0.00045829514207149406
Firmicutes	Clostridiumsensustricto	0.0384967919340055
Proteobacteria	Rubrivivax	0.0
Proteobacteria	Lentilitoribacter	0.006416131989000917
Firmicutes	Clostridiumsensustricto	0.0036663611365719525
Actinobacteria	Rhodoluna	0.00229147571035747
Proteobacteria	Polynucleobacter	0.0
Actinobacteria	Rhodoluna	0.0
Proteobacteria	Limnohabitans	0.00045829514207149406
Proteobacteria	Methylocystis	0.008249312557286892
Actinobacteria	Ilumatobacter	0.031164069660861594
Proteobacteria	Rhodanobacter	0.002749770852428964
Firmicutes	Romboutsia	0.013290559120073327
Proteobacteria	Rhodoferax	0.0
Proteobacteria	Shinella	0.010999083409715857
Proteobacteria	Methylotenera	0.021998166819431713
Proteobacteria	Polynucleobacter	0.00045829514207149406
Verrucomicrobia	Cerasicoccus	0.0018331805682859762
Proteobacteria	Methylocystis	0.002749770852428964
Proteobacteria	Methylocystis	0.0
Proteobacteria	Methylotenera	0.00229147571035747
Proteobacteria	Chelativorans	0.001374885426214482
Proteobacteria	Chelativorans	0.00045829514207149406
Proteobacteria	Limnohabitans	0.00045829514207149406
Proteobacteria	Mesorhizobium	0.007332722273143905
Proteobacteria	Methylotenera	0.0009165902841429881
Proteobacteria	Limnohabitans	0.001374885426214482
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Limnohabitans	0.0009165902841429881
Proteobacteria	Polynucleobacter	0.0009165902841429881
Bacteroidetes	Flavobacterium	0.008249312557286892
Firmicutes	Intestinibacter	0.004124656278643446
Actinobacteria	Streptomyces	0.00458295142071494
Proteobacteria	Sphingomonas	0.0
Proteobacteria	Methylocystis	0.0068744271310724105
Proteobacteria	Limnohabitans	0.0
Actinobacteria	Streptomyces	0.001374885426214482
Proteobacteria	Curvibacter	0.001374885426214482
Proteobacteria	Rhodoferax	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Rhodoligotrophos	0.0
Proteobacteria	Methylotenera	0.0
Proteobacteria	Curvibacter	0.0009165902841429881
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Methylotenera	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Curvibacter	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Devosia	0.012832263978001834
Proteobacteria	Sphingorhabdus	0.011915673693858845
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Bradyrhizobium	0.0009165902841429881
Proteobacteria	Curvibacter	0.0
Bacteroidetes	Arcicella	0.0
Bacteroidetes	Pseudarcicella	0.0
Proteobacteria	Polynucleobacter	0.0
Verrucomicrobia	Pelagicoccus	0.00916590284142988
Proteobacteria	Devosia	0.0
Proteobacteria	Limnohabitans	0.00045829514207149406
Proteobacteria	Methylotenera	0.0009165902841429881
Bacteroidetes	Arcicella	0.0
Proteobacteria	Polynucleobacter	0.0
Bacteroidetes	Pseudarcicella	0.0
Bacteroidetes	Pseudarcicella	0.0
Bacteroidetes	Pseudarcicella	0.00045829514207149406
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Polynucleobacter	0.00045829514207149406
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Rubrivivax	0.0
