phylum	genus	abundance
Proteobacteria	Rhodoferax	0.06838365896980461
Proteobacteria	Propionivibrio	0.019538188277087035
Proteobacteria	Limnohabitans	0.015985790408525755
Bacteroidetes	Solitalea	0.012433392539964476
Proteobacteria	Curvibacter	0.018650088809946713
Proteobacteria	Limnohabitans	0.028419182948490232
Proteobacteria	Limnohabitans	0.03019538188277087
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Herbaspirillum	0.0541740674955595
Bacteroidetes	Mucilaginibacter	0.016873889875666074
Proteobacteria	Sphingorhabdus	0.0008880994671403197
Proteobacteria	Rhodoferax	0.108348134991119
Proteobacteria	Sphingorhabdus	0.027531083481349913
Proteobacteria	Curvibacter	0.021314387211367674
Proteobacteria	Aquabacterium	0.022202486678507993
Proteobacteria	Polynucleobacter	0.012433392539964476
Actinobacteria	Tetrasphaera	0.108348134991119
Proteobacteria	Polynucleobacter	0.0008880994671403197
Proteobacteria	Limnohabitans	0.004440497335701598
Proteobacteria	Vasilyevaea	0.007992895204262877
Proteobacteria	Methylotenera	0.0008880994671403197
Proteobacteria	Limnohabitans	0.015097690941385435
Firmicutes	Bacillus	0.011545293072824156
Proteobacteria	Rhodoferax	0.019538188277087035
Proteobacteria	Limnohabitans	0.003552397868561279
Proteobacteria	Limnohabitans	0.0008880994671403197
Proteobacteria	Limnohabitans	0.0008880994671403197
Bacteroidetes	Flavobacterium	0.0017761989342806395
Proteobacteria	Legionella	0.03374777975133215
Actinobacteria	Rhodoluna	0.05772646536412078
Proteobacteria	Limnohabitans	0.0008880994671403197
Proteobacteria	Xanthomonas	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Variovorax	0.0
Proteobacteria	Limnohabitans	0.02486678507992895
Proteobacteria	Polynucleobacter	0.0
Bacteroidetes	Pseudarcicella	0.0026642984014209592
Firmicutes	Clostridiumsensustricto	0.018650088809946713
Proteobacteria	Rubrivivax	0.0
Proteobacteria	Lentilitoribacter	0.013321492007104795
Firmicutes	Clostridiumsensustricto	0.0026642984014209592
Actinobacteria	Rhodoluna	0.0
Proteobacteria	Polynucleobacter	0.0008880994671403197
Actinobacteria	Rhodoluna	0.0
Proteobacteria	Limnohabitans	0.0053285968028419185
Proteobacteria	Methylocystis	0.0026642984014209592
Actinobacteria	Ilumatobacter	0.011545293072824156
Proteobacteria	Rhodanobacter	0.003552397868561279
Firmicutes	Romboutsia	0.0026642984014209592
Proteobacteria	Rhodoferax	0.0026642984014209592
Proteobacteria	Shinella	0.006216696269982238
Proteobacteria	Methylotenera	0.02664298401420959
Proteobacteria	Polynucleobacter	0.003552397868561279
Verrucomicrobia	Cerasicoccus	0.0
Proteobacteria	Methylocystis	0.003552397868561279
Proteobacteria	Methylocystis	0.0
Proteobacteria	Methylotenera	0.0
Proteobacteria	Chelativorans	0.0017761989342806395
Proteobacteria	Chelativorans	0.0
Proteobacteria	Limnohabitans	0.007992895204262877
Proteobacteria	Mesorhizobium	0.007992895204262877
Proteobacteria	Methylotenera	0.0
Proteobacteria	Limnohabitans	0.0026642984014209592
Proteobacteria	Limnohabitans	0.0008880994671403197
Proteobacteria	Limnohabitans	0.003552397868561279
Proteobacteria	Polynucleobacter	0.0026642984014209592
Bacteroidetes	Flavobacterium	0.003552397868561279
Firmicutes	Intestinibacter	0.003552397868561279
Actinobacteria	Streptomyces	0.0008880994671403197
Proteobacteria	Sphingomonas	0.0
Proteobacteria	Methylocystis	0.0026642984014209592
Proteobacteria	Limnohabitans	0.0017761989342806395
Actinobacteria	Streptomyces	0.0008880994671403197
Proteobacteria	Curvibacter	0.0017761989342806395
Proteobacteria	Rhodoferax	0.0
Proteobacteria	Polynucleobacter	0.0008880994671403197
Proteobacteria	Rhodoligotrophos	0.0017761989342806395
Proteobacteria	Methylotenera	0.0
Proteobacteria	Curvibacter	0.0017761989342806395
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Methylotenera	0.0008880994671403197
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Curvibacter	0.0008880994671403197
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Devosia	0.018650088809946713
Proteobacteria	Sphingorhabdus	0.06838365896980461
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Bradyrhizobium	0.0017761989342806395
Proteobacteria	Curvibacter	0.0
Bacteroidetes	Arcicella	0.0
Bacteroidetes	Pseudarcicella	0.0
Proteobacteria	Polynucleobacter	0.0
Verrucomicrobia	Pelagicoccus	0.0
Proteobacteria	Devosia	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Methylotenera	0.0
Bacteroidetes	Arcicella	0.0008880994671403197
Proteobacteria	Polynucleobacter	0.0008880994671403197
Bacteroidetes	Pseudarcicella	0.0008880994671403197
Bacteroidetes	Pseudarcicella	0.0008880994671403197
Bacteroidetes	Pseudarcicella	0.0008880994671403197
Proteobacteria	Limnohabitans	0.0008880994671403197
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Rubrivivax	0.0
