phylum	genus	abundance
Proteobacteria	Rhodoferax	0.05845070422535211
Proteobacteria	Propionivibrio	0.01267605633802817
Proteobacteria	Limnohabitans	0.014788732394366197
Bacteroidetes	Solitalea	0.015492957746478873
Proteobacteria	Curvibacter	0.011971830985915493
Proteobacteria	Limnohabitans	0.027464788732394368
Proteobacteria	Limnohabitans	0.028873239436619718
Proteobacteria	Limnohabitans	0.0007042253521126761
Proteobacteria	Herbaspirillum	0.08873239436619719
Bacteroidetes	Mucilaginibacter	0.0028169014084507044
Proteobacteria	Sphingorhabdus	0.0014084507042253522
Proteobacteria	Rhodoferax	0.08450704225352113
Proteobacteria	Sphingorhabdus	0.02464788732394366
Proteobacteria	Curvibacter	0.01619718309859155
Proteobacteria	Aquabacterium	0.03169014084507042
Proteobacteria	Polynucleobacter	0.011267605633802818
Actinobacteria	Tetrasphaera	0.09647887323943662
Proteobacteria	Polynucleobacter	0.0007042253521126761
Proteobacteria	Limnohabitans	0.007746478873239437
Proteobacteria	Vasilyevaea	0.004929577464788733
Proteobacteria	Methylotenera	0.0
Proteobacteria	Limnohabitans	0.007042253521126761
Firmicutes	Bacillus	0.007042253521126761
Proteobacteria	Rhodoferax	0.03028169014084507
Proteobacteria	Limnohabitans	0.0035211267605633804
Proteobacteria	Limnohabitans	0.0007042253521126761
Proteobacteria	Limnohabitans	0.0007042253521126761
Bacteroidetes	Flavobacterium	0.004929577464788733
Proteobacteria	Legionella	0.030985915492957747
Actinobacteria	Rhodoluna	0.04788732394366197
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Xanthomonas	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Variovorax	0.0
Proteobacteria	Limnohabitans	0.028169014084507043
Proteobacteria	Polynucleobacter	0.0007042253521126761
Bacteroidetes	Pseudarcicella	0.002112676056338028
Firmicutes	Clostridiumsensustricto	0.011267605633802818
Proteobacteria	Rubrivivax	0.0
Proteobacteria	Lentilitoribacter	0.014084507042253521
Firmicutes	Clostridiumsensustricto	0.002112676056338028
Actinobacteria	Rhodoluna	0.0014084507042253522
Proteobacteria	Polynucleobacter	0.0007042253521126761
Actinobacteria	Rhodoluna	0.0
Proteobacteria	Limnohabitans	0.0014084507042253522
Proteobacteria	Methylocystis	0.002112676056338028
Actinobacteria	Ilumatobacter	0.004225352112676056
Proteobacteria	Rhodanobacter	0.0028169014084507044
Firmicutes	Romboutsia	0.0028169014084507044
Proteobacteria	Rhodoferax	0.0035211267605633804
Proteobacteria	Shinella	0.018309859154929577
Proteobacteria	Methylotenera	0.05985915492957746
Proteobacteria	Polynucleobacter	0.0007042253521126761
Verrucomicrobia	Cerasicoccus	0.0007042253521126761
Proteobacteria	Methylocystis	0.002112676056338028
Proteobacteria	Methylocystis	0.0
Proteobacteria	Methylotenera	0.0
Proteobacteria	Chelativorans	0.0014084507042253522
Proteobacteria	Chelativorans	0.0007042253521126761
Proteobacteria	Limnohabitans	0.004225352112676056
Proteobacteria	Mesorhizobium	0.009154929577464789
Proteobacteria	Methylotenera	0.0028169014084507044
Proteobacteria	Limnohabitans	0.0014084507042253522
Proteobacteria	Limnohabitans	0.0007042253521126761
Proteobacteria	Limnohabitans	0.0007042253521126761
Proteobacteria	Polynucleobacter	0.0007042253521126761
Bacteroidetes	Flavobacterium	0.007746478873239437
Firmicutes	Intestinibacter	0.0007042253521126761
Actinobacteria	Streptomyces	0.0
Proteobacteria	Sphingomonas	0.0007042253521126761
Proteobacteria	Methylocystis	0.0014084507042253522
Proteobacteria	Limnohabitans	0.0
Actinobacteria	Streptomyces	0.0
Proteobacteria	Curvibacter	0.0
Proteobacteria	Rhodoferax	0.0007042253521126761
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Rhodoligotrophos	0.0
Proteobacteria	Methylotenera	0.0
Proteobacteria	Curvibacter	0.0014084507042253522
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Methylotenera	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Curvibacter	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Limnohabitans	0.0007042253521126761
Proteobacteria	Devosia	0.06901408450704226
Proteobacteria	Sphingorhabdus	0.04154929577464789
Proteobacteria	Polynucleobacter	0.002112676056338028
Proteobacteria	Bradyrhizobium	0.014788732394366197
Proteobacteria	Curvibacter	0.0014084507042253522
Bacteroidetes	Arcicella	0.0007042253521126761
Bacteroidetes	Pseudarcicella	0.0007042253521126761
Proteobacteria	Polynucleobacter	0.0007042253521126761
Verrucomicrobia	Pelagicoccus	0.0
Proteobacteria	Devosia	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Methylotenera	0.0
Bacteroidetes	Arcicella	0.0
Proteobacteria	Polynucleobacter	0.0
Bacteroidetes	Pseudarcicella	0.0
Bacteroidetes	Pseudarcicella	0.0
Bacteroidetes	Pseudarcicella	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Rubrivivax	0.0
