phylum	genus	abundance
Proteobacteria	Rhodoferax	0.025055268975681652
Proteobacteria	Propionivibrio	0.0655858511422255
Proteobacteria	Limnohabitans	0.09874723655121592
Bacteroidetes	Solitalea	0.1709653647752395
Proteobacteria	Curvibacter	0.04863669859985262
Proteobacteria	Limnohabitans	0.07811348563006633
Proteobacteria	Limnohabitans	0.01915991156963891
Proteobacteria	Limnohabitans	0.002210759027266028
Proteobacteria	Herbaspirillum	0.06927044952100221
Bacteroidetes	Mucilaginibacter	0.022844509948415623
Proteobacteria	Sphingorhabdus	0.0014738393515106854
Proteobacteria	Rhodoferax	0.05600589535740604
Proteobacteria	Sphingorhabdus	0.02431834929992631
Proteobacteria	Curvibacter	0.050110537951363304
Proteobacteria	Aquabacterium	0.008843036109064112
Proteobacteria	Polynucleobacter	0.008106116433308769
Actinobacteria	Tetrasphaera	0.039056742815033164
Proteobacteria	Polynucleobacter	0.0014738393515106854
Proteobacteria	Limnohabitans	0.011790714812085483
Proteobacteria	Vasilyevaea	0.011790714812085483
Proteobacteria	Methylotenera	0.011790714812085483
Proteobacteria	Limnohabitans	0.010316875460574797
Firmicutes	Bacillus	0.005158437730287398
Proteobacteria	Rhodoferax	0.011790714812085483
Proteobacteria	Limnohabitans	0.002210759027266028
Proteobacteria	Limnohabitans	0.0007369196757553427
Proteobacteria	Limnohabitans	0.0036845983787767134
Bacteroidetes	Flavobacterium	0.0007369196757553427
Proteobacteria	Legionella	0.020633750921149593
Actinobacteria	Rhodoluna	0.025792188651436992
Proteobacteria	Limnohabitans	0.0014738393515106854
Proteobacteria	Xanthomonas	0.0007369196757553427
Proteobacteria	Polynucleobacter	0.004421518054532056
Proteobacteria	Variovorax	0.0014738393515106854
Proteobacteria	Limnohabitans	0.012527634487840826
Proteobacteria	Polynucleobacter	0.0007369196757553427
Bacteroidetes	Pseudarcicella	0.0014738393515106854
Firmicutes	Clostridiumsensustricto	0.014738393515106854
Proteobacteria	Rubrivivax	0.0007369196757553427
Proteobacteria	Lentilitoribacter	0.008843036109064112
Firmicutes	Clostridiumsensustricto	0.0007369196757553427
Actinobacteria	Rhodoluna	0.0014738393515106854
Proteobacteria	Polynucleobacter	0.0014738393515106854
Actinobacteria	Rhodoluna	0.0014738393515106854
Proteobacteria	Limnohabitans	0.0014738393515106854
Proteobacteria	Methylocystis	0.0014738393515106854
Actinobacteria	Ilumatobacter	0.0014738393515106854
Proteobacteria	Rhodanobacter	0.0029476787030213707
Firmicutes	Romboutsia	0.005158437730287398
Proteobacteria	Rhodoferax	0.0014738393515106854
Proteobacteria	Shinella	0.0036845983787767134
Proteobacteria	Methylotenera	0.0014738393515106854
Proteobacteria	Polynucleobacter	0.0007369196757553427
Verrucomicrobia	Cerasicoccus	0.0058953574060427415
Proteobacteria	Methylocystis	0.0014738393515106854
Proteobacteria	Methylocystis	0.0007369196757553427
Proteobacteria	Methylotenera	0.002210759027266028
Proteobacteria	Chelativorans	0.0007369196757553427
Proteobacteria	Chelativorans	0.0014738393515106854
Proteobacteria	Limnohabitans	0.0007369196757553427
Proteobacteria	Mesorhizobium	0.002210759027266028
Proteobacteria	Methylotenera	0.0007369196757553427
Proteobacteria	Limnohabitans	0.0007369196757553427
Proteobacteria	Limnohabitans	0.0007369196757553427
Proteobacteria	Limnohabitans	0.0007369196757553427
Proteobacteria	Polynucleobacter	0.0014738393515106854
Bacteroidetes	Flavobacterium	0.0007369196757553427
Firmicutes	Intestinibacter	0.0007369196757553427
Actinobacteria	Streptomyces	0.0
Proteobacteria	Sphingomonas	0.0
Proteobacteria	Methylocystis	0.0
Proteobacteria	Limnohabitans	0.0
Actinobacteria	Streptomyces	0.0
Proteobacteria	Curvibacter	0.0
Proteobacteria	Rhodoferax	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Rhodoligotrophos	0.0
Proteobacteria	Methylotenera	0.0
Proteobacteria	Curvibacter	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Methylotenera	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Curvibacter	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Devosia	0.0
Proteobacteria	Sphingorhabdus	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Bradyrhizobium	0.0
Proteobacteria	Curvibacter	0.0
Bacteroidetes	Arcicella	0.0
Bacteroidetes	Pseudarcicella	0.0
Proteobacteria	Polynucleobacter	0.0
Verrucomicrobia	Pelagicoccus	0.0
Proteobacteria	Devosia	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Methylotenera	0.0
Bacteroidetes	Arcicella	0.0
Proteobacteria	Polynucleobacter	0.0
Bacteroidetes	Pseudarcicella	0.0
Bacteroidetes	Pseudarcicella	0.0
Bacteroidetes	Pseudarcicella	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Rubrivivax	0.0
