phylum	genus	abundance
Proteobacteria	Rhodoferax	0.020600858369098713
Proteobacteria	Propionivibrio	0.055793991416309016
Proteobacteria	Limnohabitans	0.1424892703862661
Bacteroidetes	Solitalea	0.030901287553648068
Proteobacteria	Curvibacter	0.08755364806866953
Proteobacteria	Limnohabitans	0.09527896995708154
Proteobacteria	Limnohabitans	0.01888412017167382
Proteobacteria	Limnohabitans	0.002575107296137339
Proteobacteria	Herbaspirillum	0.08068669527896996
Bacteroidetes	Mucilaginibacter	0.014592274678111588
Proteobacteria	Sphingorhabdus	0.0017167381974248926
Proteobacteria	Rhodoferax	0.05751072961373391
Proteobacteria	Sphingorhabdus	0.026609442060085836
Proteobacteria	Curvibacter	0.07124463519313305
Proteobacteria	Aquabacterium	0.01630901287553648
Proteobacteria	Polynucleobacter	0.008583690987124463
Actinobacteria	Tetrasphaera	0.045493562231759654
Proteobacteria	Polynucleobacter	0.0008583690987124463
Proteobacteria	Limnohabitans	0.01201716738197425
Proteobacteria	Vasilyevaea	0.0068669527896995704
Proteobacteria	Methylotenera	0.0034334763948497852
Proteobacteria	Limnohabitans	0.005150214592274678
Firmicutes	Bacillus	0.015450643776824034
Proteobacteria	Rhodoferax	0.013733905579399141
Proteobacteria	Limnohabitans	0.0008583690987124463
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Limnohabitans	0.0034334763948497852
Bacteroidetes	Flavobacterium	0.0
Proteobacteria	Legionella	0.02317596566523605
Actinobacteria	Rhodoluna	0.02575107296137339
Proteobacteria	Limnohabitans	0.0008583690987124463
Proteobacteria	Xanthomonas	0.0
Proteobacteria	Polynucleobacter	0.004291845493562232
Proteobacteria	Variovorax	0.0008583690987124463
Proteobacteria	Limnohabitans	0.029184549356223177
Proteobacteria	Polynucleobacter	0.0017167381974248926
Bacteroidetes	Pseudarcicella	0.0
Firmicutes	Clostridiumsensustricto	0.015450643776824034
Proteobacteria	Rubrivivax	0.0
Proteobacteria	Lentilitoribacter	0.0068669527896995704
Firmicutes	Clostridiumsensustricto	0.0
Actinobacteria	Rhodoluna	0.0017167381974248926
Proteobacteria	Polynucleobacter	0.0017167381974248926
Actinobacteria	Rhodoluna	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Methylocystis	0.002575107296137339
Actinobacteria	Ilumatobacter	0.0
Proteobacteria	Rhodanobacter	0.0017167381974248926
Firmicutes	Romboutsia	0.005150214592274678
Proteobacteria	Rhodoferax	0.002575107296137339
Proteobacteria	Shinella	0.006008583690987125
Proteobacteria	Methylotenera	0.0034334763948497852
Proteobacteria	Polynucleobacter	0.0034334763948497852
Verrucomicrobia	Cerasicoccus	0.0017167381974248926
Proteobacteria	Methylocystis	0.0008583690987124463
Proteobacteria	Methylocystis	0.0
Proteobacteria	Methylotenera	0.0
Proteobacteria	Chelativorans	0.0008583690987124463
Proteobacteria	Chelativorans	0.0
Proteobacteria	Limnohabitans	0.0008583690987124463
Proteobacteria	Mesorhizobium	0.002575107296137339
Proteobacteria	Methylotenera	0.0017167381974248926
Proteobacteria	Limnohabitans	0.0008583690987124463
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Limnohabitans	0.0008583690987124463
Proteobacteria	Polynucleobacter	0.0008583690987124463
Bacteroidetes	Flavobacterium	0.0008583690987124463
Firmicutes	Intestinibacter	0.0017167381974248926
Actinobacteria	Streptomyces	0.0008583690987124463
Proteobacteria	Sphingomonas	0.0
Proteobacteria	Methylocystis	0.0017167381974248926
Proteobacteria	Limnohabitans	0.0
Actinobacteria	Streptomyces	0.0
Proteobacteria	Curvibacter	0.0
Proteobacteria	Rhodoferax	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Rhodoligotrophos	0.0008583690987124463
Proteobacteria	Methylotenera	0.0017167381974248926
Proteobacteria	Curvibacter	0.0008583690987124463
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Methylotenera	0.0008583690987124463
Proteobacteria	Polynucleobacter	0.0008583690987124463
Proteobacteria	Curvibacter	0.0
Proteobacteria	Limnohabitans	0.0008583690987124463
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Devosia	0.0017167381974248926
Proteobacteria	Sphingorhabdus	0.0
Proteobacteria	Polynucleobacter	0.0008583690987124463
Proteobacteria	Bradyrhizobium	0.0
Proteobacteria	Curvibacter	0.0
Bacteroidetes	Arcicella	0.0
Bacteroidetes	Pseudarcicella	0.0
Proteobacteria	Polynucleobacter	0.0
Verrucomicrobia	Pelagicoccus	0.0
Proteobacteria	Devosia	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Methylotenera	0.0
Bacteroidetes	Arcicella	0.0
Proteobacteria	Polynucleobacter	0.0
Bacteroidetes	Pseudarcicella	0.0
Bacteroidetes	Pseudarcicella	0.0
Bacteroidetes	Pseudarcicella	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Rubrivivax	0.0
