phylum	genus	abundance
Proteobacteria	Rhodoferax	0.02734375
Proteobacteria	Propionivibrio	0.0703125
Proteobacteria	Limnohabitans	0.095703125
Bacteroidetes	Solitalea	0.00390625
Proteobacteria	Curvibacter	0.09375
Proteobacteria	Limnohabitans	0.00390625
Proteobacteria	Limnohabitans	0.068359375
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Herbaspirillum	0.08203125
Bacteroidetes	Mucilaginibacter	0.005859375
Proteobacteria	Sphingorhabdus	0.001953125
Proteobacteria	Rhodoferax	0.0859375
Proteobacteria	Sphingorhabdus	0.00390625
Proteobacteria	Curvibacter	0.12890625
Proteobacteria	Aquabacterium	0.0078125
Proteobacteria	Polynucleobacter	0.009765625
Actinobacteria	Tetrasphaera	0.0234375
Proteobacteria	Polynucleobacter	0.001953125
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Vasilyevaea	0.005859375
Proteobacteria	Methylotenera	0.013671875
Proteobacteria	Limnohabitans	0.0078125
Firmicutes	Bacillus	0.009765625
Proteobacteria	Rhodoferax	0.017578125
Proteobacteria	Limnohabitans	0.001953125
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Limnohabitans	0.001953125
Bacteroidetes	Flavobacterium	0.00390625
Proteobacteria	Legionella	0.037109375
Actinobacteria	Rhodoluna	0.013671875
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Xanthomonas	0.0
Proteobacteria	Polynucleobacter	0.01171875
Proteobacteria	Variovorax	0.001953125
Proteobacteria	Limnohabitans	0.03515625
Proteobacteria	Polynucleobacter	0.001953125
Bacteroidetes	Pseudarcicella	0.0
Firmicutes	Clostridiumsensustricto	0.015625
Proteobacteria	Rubrivivax	0.0
Proteobacteria	Lentilitoribacter	0.005859375
Firmicutes	Clostridiumsensustricto	0.0
Actinobacteria	Rhodoluna	0.0
Proteobacteria	Polynucleobacter	0.0
Actinobacteria	Rhodoluna	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Methylocystis	0.01171875
Actinobacteria	Ilumatobacter	0.001953125
Proteobacteria	Rhodanobacter	0.001953125
Firmicutes	Romboutsia	0.0
Proteobacteria	Rhodoferax	0.00390625
Proteobacteria	Shinella	0.015625
Proteobacteria	Methylotenera	0.0
Proteobacteria	Polynucleobacter	0.00390625
Verrucomicrobia	Cerasicoccus	0.0
Proteobacteria	Methylocystis	0.001953125
Proteobacteria	Methylocystis	0.0
Proteobacteria	Methylotenera	0.001953125
Proteobacteria	Chelativorans	0.0
Proteobacteria	Chelativorans	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Mesorhizobium	0.00390625
Proteobacteria	Methylotenera	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Polynucleobacter	0.0
Bacteroidetes	Flavobacterium	0.0
Firmicutes	Intestinibacter	0.00390625
Actinobacteria	Streptomyces	0.0
Proteobacteria	Sphingomonas	0.0
Proteobacteria	Methylocystis	0.001953125
Proteobacteria	Limnohabitans	0.0
Actinobacteria	Streptomyces	0.0
Proteobacteria	Curvibacter	0.0
Proteobacteria	Rhodoferax	0.00390625
Proteobacteria	Polynucleobacter	0.001953125
Proteobacteria	Rhodoligotrophos	0.0
Proteobacteria	Methylotenera	0.021484375
Proteobacteria	Curvibacter	0.0
Proteobacteria	Polynucleobacter	0.00390625
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Polynucleobacter	0.001953125
Proteobacteria	Methylotenera	0.00390625
Proteobacteria	Polynucleobacter	0.001953125
Proteobacteria	Curvibacter	0.001953125
Proteobacteria	Limnohabitans	0.001953125
Proteobacteria	Polynucleobacter	0.001953125
Proteobacteria	Limnohabitans	0.001953125
Proteobacteria	Devosia	0.0
Proteobacteria	Sphingorhabdus	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Bradyrhizobium	0.0
Proteobacteria	Curvibacter	0.0
Bacteroidetes	Arcicella	0.0
Bacteroidetes	Pseudarcicella	0.0
Proteobacteria	Polynucleobacter	0.0
Verrucomicrobia	Pelagicoccus	0.0
Proteobacteria	Devosia	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Methylotenera	0.0
Bacteroidetes	Arcicella	0.0
Proteobacteria	Polynucleobacter	0.0
Bacteroidetes	Pseudarcicella	0.0
Bacteroidetes	Pseudarcicella	0.0
Bacteroidetes	Pseudarcicella	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Rubrivivax	0.0
