phylum	genus	abundance
Proteobacteria	Rhodoferax	0.024051803885291396
Proteobacteria	Propionivibrio	0.07770582793709528
Proteobacteria	Limnohabitans	0.15541165587419056
Bacteroidetes	Solitalea	0.0018501387604070306
Proteobacteria	Curvibacter	0.08788159111933395
Proteobacteria	Limnohabitans	0.0037002775208140612
Proteobacteria	Limnohabitans	0.037927844588344126
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Herbaspirillum	0.07770582793709528
Bacteroidetes	Mucilaginibacter	0.012950971322849213
Proteobacteria	Sphingorhabdus	0.0
Proteobacteria	Rhodoferax	0.06475485661424607
Proteobacteria	Sphingorhabdus	0.0027752081406105457
Proteobacteria	Curvibacter	0.11285846438482887
Proteobacteria	Aquabacterium	0.02960222016651249
Proteobacteria	Polynucleobacter	0.013876040703052728
Actinobacteria	Tetrasphaera	0.03330249768732655
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Vasilyevaea	0.0074005550416281225
Proteobacteria	Methylotenera	0.004625346901017576
Proteobacteria	Limnohabitans	0.0027752081406105457
Firmicutes	Bacillus	0.013876040703052728
Proteobacteria	Rhodoferax	0.012950971322849213
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Limnohabitans	0.0018501387604070306
Bacteroidetes	Flavobacterium	0.0
Proteobacteria	Legionella	0.041628122109158186
Actinobacteria	Rhodoluna	0.036077705827937095
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Xanthomonas	0.0
Proteobacteria	Polynucleobacter	0.004625346901017576
Proteobacteria	Variovorax	0.0
Proteobacteria	Limnohabitans	0.01572617946345976
Proteobacteria	Polynucleobacter	0.0
Bacteroidetes	Pseudarcicella	0.0
Firmicutes	Clostridiumsensustricto	0.024051803885291396
Proteobacteria	Rubrivivax	0.0
Proteobacteria	Lentilitoribacter	0.004625346901017576
Firmicutes	Clostridiumsensustricto	0.0018501387604070306
Actinobacteria	Rhodoluna	0.0018501387604070306
Proteobacteria	Polynucleobacter	0.0
Actinobacteria	Rhodoluna	0.0
Proteobacteria	Limnohabitans	0.0009250693802035153
Proteobacteria	Methylocystis	0.0074005550416281225
Actinobacteria	Ilumatobacter	0.0009250693802035153
Proteobacteria	Rhodanobacter	0.004625346901017576
Firmicutes	Romboutsia	0.005550416281221091
Proteobacteria	Rhodoferax	0.0009250693802035153
Proteobacteria	Shinella	0.030527289546716005
Proteobacteria	Methylotenera	0.0
Proteobacteria	Polynucleobacter	0.0009250693802035153
Verrucomicrobia	Cerasicoccus	0.0037002775208140612
Proteobacteria	Methylocystis	0.0
Proteobacteria	Methylocystis	0.0
Proteobacteria	Methylotenera	0.0
Proteobacteria	Chelativorans	0.0
Proteobacteria	Chelativorans	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Mesorhizobium	0.0037002775208140612
Proteobacteria	Methylotenera	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Limnohabitans	0.0009250693802035153
Proteobacteria	Polynucleobacter	0.0
Bacteroidetes	Flavobacterium	0.0009250693802035153
Firmicutes	Intestinibacter	0.0037002775208140612
Actinobacteria	Streptomyces	0.0
Proteobacteria	Sphingomonas	0.0
Proteobacteria	Methylocystis	0.0027752081406105457
Proteobacteria	Limnohabitans	0.0
Actinobacteria	Streptomyces	0.0018501387604070306
Proteobacteria	Curvibacter	0.0009250693802035153
Proteobacteria	Rhodoferax	0.0009250693802035153
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Rhodoligotrophos	0.0
Proteobacteria	Methylotenera	0.012950971322849213
Proteobacteria	Curvibacter	0.0009250693802035153
Proteobacteria	Polynucleobacter	0.0009250693802035153
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Methylotenera	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Curvibacter	0.0009250693802035153
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Polynucleobacter	0.0009250693802035153
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Devosia	0.0
Proteobacteria	Sphingorhabdus	0.0
Proteobacteria	Polynucleobacter	0.0009250693802035153
Proteobacteria	Bradyrhizobium	0.0
Proteobacteria	Curvibacter	0.0
Bacteroidetes	Arcicella	0.0
Bacteroidetes	Pseudarcicella	0.0
Proteobacteria	Polynucleobacter	0.0
Verrucomicrobia	Pelagicoccus	0.0009250693802035153
Proteobacteria	Devosia	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Methylotenera	0.0
Bacteroidetes	Arcicella	0.0
Proteobacteria	Polynucleobacter	0.0
Bacteroidetes	Pseudarcicella	0.0
Bacteroidetes	Pseudarcicella	0.0
Bacteroidetes	Pseudarcicella	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Rubrivivax	0.0
