phylum	genus	abundance
Proteobacteria	Rhodoferax	0.008271298593879239
Proteobacteria	Propionivibrio	0.02481389578163772
Proteobacteria	Limnohabitans	0.14557485525227462
Bacteroidetes	Solitalea	0.05459057071960298
Proteobacteria	Curvibacter	0.22332506203473945
Proteobacteria	Limnohabitans	0.011579818031430935
Proteobacteria	Limnohabitans	0.008271298593879239
Proteobacteria	Limnohabitans	0.0008271298593879239
Proteobacteria	Herbaspirillum	0.021505376344086023
Bacteroidetes	Mucilaginibacter	0.01240694789081886
Proteobacteria	Sphingorhabdus	0.0016542597187758478
Proteobacteria	Rhodoferax	0.04714640198511166
Proteobacteria	Sphingorhabdus	0.02481389578163772
Proteobacteria	Curvibacter	0.011579818031430935
Proteobacteria	Aquabacterium	0.010752688172043012
Proteobacteria	Polynucleobacter	0.007444168734491315
Actinobacteria	Tetrasphaera	0.09263854425144748
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Limnohabitans	0.0008271298593879239
Proteobacteria	Vasilyevaea	0.009925558312655087
Proteobacteria	Methylotenera	0.0016542597187758478
Proteobacteria	Limnohabitans	0.0024813895781637717
Firmicutes	Bacillus	0.010752688172043012
Proteobacteria	Rhodoferax	0.013234077750206782
Proteobacteria	Limnohabitans	0.0008271298593879239
Proteobacteria	Limnohabitans	0.0008271298593879239
Proteobacteria	Limnohabitans	0.004962779156327543
Bacteroidetes	Flavobacterium	0.0
Proteobacteria	Legionella	0.04714640198511166
Actinobacteria	Rhodoluna	0.08105872622001654
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Xanthomonas	0.0008271298593879239
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Variovorax	0.0008271298593879239
Proteobacteria	Limnohabitans	0.011579818031430935
Proteobacteria	Polynucleobacter	0.0
Bacteroidetes	Pseudarcicella	0.0024813895781637717
Firmicutes	Clostridiumsensustricto	0.02315963606286187
Proteobacteria	Rubrivivax	0.0
Proteobacteria	Lentilitoribacter	0.0024813895781637717
Firmicutes	Clostridiumsensustricto	0.004962779156327543
Actinobacteria	Rhodoluna	0.0016542597187758478
Proteobacteria	Polynucleobacter	0.0008271298593879239
Actinobacteria	Rhodoluna	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Methylocystis	0.011579818031430935
Actinobacteria	Ilumatobacter	0.014061207609594707
Proteobacteria	Rhodanobacter	0.0024813895781637717
Firmicutes	Romboutsia	0.0008271298593879239
Proteobacteria	Rhodoferax	0.0016542597187758478
Proteobacteria	Shinella	0.004962779156327543
Proteobacteria	Methylotenera	0.004962779156327543
Proteobacteria	Polynucleobacter	0.0016542597187758478
Verrucomicrobia	Cerasicoccus	0.0
Proteobacteria	Methylocystis	0.0016542597187758478
Proteobacteria	Methylocystis	0.0
Proteobacteria	Methylotenera	0.0
Proteobacteria	Chelativorans	0.0
Proteobacteria	Chelativorans	0.0008271298593879239
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Mesorhizobium	0.0016542597187758478
Proteobacteria	Methylotenera	0.0008271298593879239
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Polynucleobacter	0.0
Bacteroidetes	Flavobacterium	0.0
Firmicutes	Intestinibacter	0.0024813895781637717
Actinobacteria	Streptomyces	0.0016542597187758478
Proteobacteria	Sphingomonas	0.0
Proteobacteria	Methylocystis	0.009925558312655087
Proteobacteria	Limnohabitans	0.0
Actinobacteria	Streptomyces	0.0
Proteobacteria	Curvibacter	0.0
Proteobacteria	Rhodoferax	0.0008271298593879239
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Rhodoligotrophos	0.0008271298593879239
Proteobacteria	Methylotenera	0.004962779156327543
Proteobacteria	Curvibacter	0.0008271298593879239
Proteobacteria	Polynucleobacter	0.0008271298593879239
Proteobacteria	Polynucleobacter	0.0008271298593879239
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Methylotenera	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Curvibacter	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Devosia	0.0
Proteobacteria	Sphingorhabdus	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Bradyrhizobium	0.0
Proteobacteria	Curvibacter	0.0
Bacteroidetes	Arcicella	0.0
Bacteroidetes	Pseudarcicella	0.0
Proteobacteria	Polynucleobacter	0.0
Verrucomicrobia	Pelagicoccus	0.0
Proteobacteria	Devosia	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Methylotenera	0.0
Bacteroidetes	Arcicella	0.0
Proteobacteria	Polynucleobacter	0.0
Bacteroidetes	Pseudarcicella	0.0
Bacteroidetes	Pseudarcicella	0.0
Bacteroidetes	Pseudarcicella	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Rubrivivax	0.0
