phylum	genus	abundance
Proteobacteria	Rhodoferax	0.05089538171536286
Proteobacteria	Propionivibrio	0.23091423185673893
Proteobacteria	Limnohabitans	0.02639019792648445
Bacteroidetes	Solitalea	0.001885014137606032
Proteobacteria	Curvibacter	0.029217719132893498
Proteobacteria	Limnohabitans	0.003770028275212064
Proteobacteria	Limnohabitans	0.020735155513666354
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Herbaspirillum	0.0235626767200754
Bacteroidetes	Mucilaginibacter	0.015080113100848256
Proteobacteria	Sphingorhabdus	0.001885014137606032
Proteobacteria	Rhodoferax	0.04241281809613572
Proteobacteria	Sphingorhabdus	0.006597549481621112
Proteobacteria	Curvibacter	0.01885014137606032
Proteobacteria	Aquabacterium	0.016022620169651274
Proteobacteria	Polynucleobacter	0.003770028275212064
Actinobacteria	Tetrasphaera	0.02639019792648445
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Vasilyevaea	0.020735155513666354
Proteobacteria	Methylotenera	0.00942507068803016
Proteobacteria	Limnohabitans	0.005655042412818096
Firmicutes	Bacillus	0.07917059377945335
Proteobacteria	Rhodoferax	0.011310084825636193
Proteobacteria	Limnohabitans	0.001885014137606032
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Limnohabitans	0.0
Bacteroidetes	Flavobacterium	0.000942507068803016
Proteobacteria	Legionella	0.07445805843543826
Actinobacteria	Rhodoluna	0.05560791705937795
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Xanthomonas	0.0
Proteobacteria	Polynucleobacter	0.001885014137606032
Proteobacteria	Variovorax	0.000942507068803016
Proteobacteria	Limnohabitans	0.016965127238454288
Proteobacteria	Polynucleobacter	0.000942507068803016
Bacteroidetes	Pseudarcicella	0.0
Firmicutes	Clostridiumsensustricto	0.0527803958529689
Proteobacteria	Rubrivivax	0.0
Proteobacteria	Lentilitoribacter	0.007540056550424128
Firmicutes	Clostridiumsensustricto	0.002827521206409048
Actinobacteria	Rhodoluna	0.0
Proteobacteria	Polynucleobacter	0.001885014137606032
Actinobacteria	Rhodoluna	0.0
Proteobacteria	Limnohabitans	0.000942507068803016
Proteobacteria	Methylocystis	0.03298774740810556
Actinobacteria	Ilumatobacter	0.003770028275212064
Proteobacteria	Rhodanobacter	0.00942507068803016
Firmicutes	Romboutsia	0.007540056550424128
Proteobacteria	Rhodoferax	0.00471253534401508
Proteobacteria	Shinella	0.008482563619227144
Proteobacteria	Methylotenera	0.000942507068803016
Proteobacteria	Polynucleobacter	0.0
Verrucomicrobia	Cerasicoccus	0.0
Proteobacteria	Methylocystis	0.003770028275212064
Proteobacteria	Methylocystis	0.0
Proteobacteria	Methylotenera	0.000942507068803016
Proteobacteria	Chelativorans	0.0
Proteobacteria	Chelativorans	0.000942507068803016
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Mesorhizobium	0.002827521206409048
Proteobacteria	Methylotenera	0.001885014137606032
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Limnohabitans	0.000942507068803016
Proteobacteria	Polynucleobacter	0.0
Bacteroidetes	Flavobacterium	0.0
Firmicutes	Intestinibacter	0.002827521206409048
Actinobacteria	Streptomyces	0.008482563619227144
Proteobacteria	Sphingomonas	0.000942507068803016
Proteobacteria	Methylocystis	0.0235626767200754
Proteobacteria	Limnohabitans	0.0
Actinobacteria	Streptomyces	0.000942507068803016
Proteobacteria	Curvibacter	0.0
Proteobacteria	Rhodoferax	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Rhodoligotrophos	0.0
Proteobacteria	Methylotenera	0.00942507068803016
Proteobacteria	Curvibacter	0.003770028275212064
Proteobacteria	Polynucleobacter	0.001885014137606032
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Methylotenera	0.001885014137606032
Proteobacteria	Polynucleobacter	0.000942507068803016
Proteobacteria	Curvibacter	0.0
Proteobacteria	Limnohabitans	0.000942507068803016
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Devosia	0.0
Proteobacteria	Sphingorhabdus	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Bradyrhizobium	0.0
Proteobacteria	Curvibacter	0.0
Bacteroidetes	Arcicella	0.0
Bacteroidetes	Pseudarcicella	0.0
Proteobacteria	Polynucleobacter	0.0
Verrucomicrobia	Pelagicoccus	0.0
Proteobacteria	Devosia	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Methylotenera	0.000942507068803016
Bacteroidetes	Arcicella	0.0
Proteobacteria	Polynucleobacter	0.0
Bacteroidetes	Pseudarcicella	0.0
Bacteroidetes	Pseudarcicella	0.0
Bacteroidetes	Pseudarcicella	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Rubrivivax	0.0
