phylum	genus	abundance
Proteobacteria	Rhodoferax	0.006880733944954129
Proteobacteria	Propionivibrio	0.009174311926605505
Proteobacteria	Limnohabitans	0.0672782874617737
Bacteroidetes	Solitalea	0.017584097859327217
Proteobacteria	Curvibacter	0.022935779816513763
Proteobacteria	Limnohabitans	0.010703363914373088
Proteobacteria	Limnohabitans	0.0022935779816513763
Proteobacteria	Limnohabitans	0.0030581039755351682
Proteobacteria	Herbaspirillum	0.010703363914373088
Bacteroidetes	Mucilaginibacter	0.01452599388379205
Proteobacteria	Sphingorhabdus	0.0
Proteobacteria	Rhodoferax	0.01834862385321101
Proteobacteria	Sphingorhabdus	0.006880733944954129
Proteobacteria	Curvibacter	0.0022935779816513763
Proteobacteria	Aquabacterium	0.009938837920489297
Proteobacteria	Polynucleobacter	0.0061162079510703364
Actinobacteria	Tetrasphaera	0.06880733944954129
Proteobacteria	Polynucleobacter	0.0007645259938837921
Proteobacteria	Limnohabitans	0.0007645259938837921
Proteobacteria	Vasilyevaea	0.07492354740061162
Proteobacteria	Methylotenera	0.0
Proteobacteria	Limnohabitans	0.0045871559633027525
Firmicutes	Bacillus	0.039755351681957186
Proteobacteria	Rhodoferax	0.0030581039755351682
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Limnohabitans	0.0007645259938837921
Proteobacteria	Limnohabitans	0.0022935779816513763
Bacteroidetes	Flavobacterium	0.0007645259938837921
Proteobacteria	Legionella	0.08333333333333333
Actinobacteria	Rhodoluna	0.17889908256880735
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Xanthomonas	0.0007645259938837921
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Variovorax	0.0
Proteobacteria	Limnohabitans	0.0030581039755351682
Proteobacteria	Polynucleobacter	0.0015290519877675841
Bacteroidetes	Pseudarcicella	0.0
Firmicutes	Clostridiumsensustricto	0.14602446483180428
Proteobacteria	Rubrivivax	0.0
Proteobacteria	Lentilitoribacter	0.00764525993883792
Firmicutes	Clostridiumsensustricto	0.009174311926605505
Actinobacteria	Rhodoluna	0.009174311926605505
Proteobacteria	Polynucleobacter	0.0
Actinobacteria	Rhodoluna	0.0015290519877675841
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Methylocystis	0.0581039755351682
Actinobacteria	Ilumatobacter	0.016819571865443424
Proteobacteria	Rhodanobacter	0.0030581039755351682
Firmicutes	Romboutsia	0.008409785932721712
Proteobacteria	Rhodoferax	0.0
Proteobacteria	Shinella	0.012996941896024464
Proteobacteria	Methylotenera	0.0
Proteobacteria	Polynucleobacter	0.0
Verrucomicrobia	Cerasicoccus	0.0030581039755351682
Proteobacteria	Methylocystis	0.006880733944954129
Proteobacteria	Methylocystis	0.0007645259938837921
Proteobacteria	Methylotenera	0.0
Proteobacteria	Chelativorans	0.0007645259938837921
Proteobacteria	Chelativorans	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Mesorhizobium	0.0030581039755351682
Proteobacteria	Methylotenera	0.0007645259938837921
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Polynucleobacter	0.0
Bacteroidetes	Flavobacterium	0.0
Firmicutes	Intestinibacter	0.01529051987767584
Actinobacteria	Streptomyces	0.009174311926605505
Proteobacteria	Sphingomonas	0.0007645259938837921
Proteobacteria	Methylocystis	0.00764525993883792
Proteobacteria	Limnohabitans	0.0007645259938837921
Actinobacteria	Streptomyces	0.0030581039755351682
Proteobacteria	Curvibacter	0.0007645259938837921
Proteobacteria	Rhodoferax	0.0007645259938837921
Proteobacteria	Polynucleobacter	0.0007645259938837921
Proteobacteria	Rhodoligotrophos	0.0
Proteobacteria	Methylotenera	0.0
Proteobacteria	Curvibacter	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Methylotenera	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Curvibacter	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Devosia	0.0
Proteobacteria	Sphingorhabdus	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Bradyrhizobium	0.0
Proteobacteria	Curvibacter	0.0
Bacteroidetes	Arcicella	0.0
Bacteroidetes	Pseudarcicella	0.0
Proteobacteria	Polynucleobacter	0.0
Verrucomicrobia	Pelagicoccus	0.0
Proteobacteria	Devosia	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Methylotenera	0.0
Bacteroidetes	Arcicella	0.0
Proteobacteria	Polynucleobacter	0.0
Bacteroidetes	Pseudarcicella	0.0
Bacteroidetes	Pseudarcicella	0.0
Bacteroidetes	Pseudarcicella	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Rubrivivax	0.0
