phylum	genus	abundance
Proteobacteria	Rhodoferax	0.0029702970297029703
Proteobacteria	Propionivibrio	0.0029702970297029703
Proteobacteria	Limnohabitans	0.10792079207920792
Bacteroidetes	Solitalea	0.016831683168316833
Proteobacteria	Curvibacter	0.011881188118811881
Proteobacteria	Limnohabitans	0.0039603960396039604
Proteobacteria	Limnohabitans	0.0039603960396039604
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Herbaspirillum	0.01287128712871287
Bacteroidetes	Mucilaginibacter	0.006930693069306931
Proteobacteria	Sphingorhabdus	0.0049504950495049506
Proteobacteria	Rhodoferax	0.028712871287128714
Proteobacteria	Sphingorhabdus	0.00891089108910891
Proteobacteria	Curvibacter	0.0039603960396039604
Proteobacteria	Aquabacterium	0.005940594059405941
Proteobacteria	Polynucleobacter	0.01485148514851485
Actinobacteria	Tetrasphaera	0.08217821782178218
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Limnohabitans	0.0019801980198019802
Proteobacteria	Vasilyevaea	0.05841584158415842
Proteobacteria	Methylotenera	0.0
Proteobacteria	Limnohabitans	0.0029702970297029703
Firmicutes	Bacillus	0.0297029702970297
Proteobacteria	Rhodoferax	0.007920792079207921
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Limnohabitans	0.0009900990099009901
Proteobacteria	Limnohabitans	0.0009900990099009901
Bacteroidetes	Flavobacterium	0.0009900990099009901
Proteobacteria	Legionella	0.08217821782178218
Actinobacteria	Rhodoluna	0.23267326732673269
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Xanthomonas	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Variovorax	0.0
Proteobacteria	Limnohabitans	0.0049504950495049506
Proteobacteria	Polynucleobacter	0.0
Bacteroidetes	Pseudarcicella	0.0
Firmicutes	Clostridiumsensustricto	0.12475247524752475
Proteobacteria	Rubrivivax	0.0
Proteobacteria	Lentilitoribacter	0.007920792079207921
Firmicutes	Clostridiumsensustricto	0.01485148514851485
Actinobacteria	Rhodoluna	0.006930693069306931
Proteobacteria	Polynucleobacter	0.0019801980198019802
Actinobacteria	Rhodoluna	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Methylocystis	0.02574257425742574
Actinobacteria	Ilumatobacter	0.011881188118811881
Proteobacteria	Rhodanobacter	0.005940594059405941
Firmicutes	Romboutsia	0.0039603960396039604
Proteobacteria	Rhodoferax	0.0009900990099009901
Proteobacteria	Shinella	0.01089108910891089
Proteobacteria	Methylotenera	0.0019801980198019802
Proteobacteria	Polynucleobacter	0.0009900990099009901
Verrucomicrobia	Cerasicoccus	0.0009900990099009901
Proteobacteria	Methylocystis	0.007920792079207921
Proteobacteria	Methylocystis	0.0009900990099009901
Proteobacteria	Methylotenera	0.0
Proteobacteria	Chelativorans	0.0019801980198019802
Proteobacteria	Chelativorans	0.0009900990099009901
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Mesorhizobium	0.0049504950495049506
Proteobacteria	Methylotenera	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Polynucleobacter	0.0
Bacteroidetes	Flavobacterium	0.0
Firmicutes	Intestinibacter	0.0039603960396039604
Actinobacteria	Streptomyces	0.0009900990099009901
Proteobacteria	Sphingomonas	0.0
Proteobacteria	Methylocystis	0.005940594059405941
Proteobacteria	Limnohabitans	0.0
Actinobacteria	Streptomyces	0.0009900990099009901
Proteobacteria	Curvibacter	0.0
Proteobacteria	Rhodoferax	0.0029702970297029703
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Rhodoligotrophos	0.0029702970297029703
Proteobacteria	Methylotenera	0.0
Proteobacteria	Curvibacter	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Methylotenera	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Curvibacter	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Devosia	0.0
Proteobacteria	Sphingorhabdus	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Bradyrhizobium	0.0
Proteobacteria	Curvibacter	0.0
Bacteroidetes	Arcicella	0.0
Bacteroidetes	Pseudarcicella	0.0
Proteobacteria	Polynucleobacter	0.0
Verrucomicrobia	Pelagicoccus	0.0
Proteobacteria	Devosia	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Methylotenera	0.0
Bacteroidetes	Arcicella	0.0
Proteobacteria	Polynucleobacter	0.0
Bacteroidetes	Pseudarcicella	0.0
Bacteroidetes	Pseudarcicella	0.0
Bacteroidetes	Pseudarcicella	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Polynucleobacter	0.0009900990099009901
Proteobacteria	Rubrivivax	0.0009900990099009901
