phylum	genus	abundance
Proteobacteria	Rhodoferax	0.013219284603421462
Proteobacteria	Propionivibrio	0.000610975338813597
Proteobacteria	Limnohabitans	0.00038880248833592535
Bacteroidetes	Solitalea	0.008442568318151522
Proteobacteria	Curvibacter	0.0020550988669184624
Proteobacteria	Limnohabitans	0.0028327038435903133
Proteobacteria	Limnohabitans	0.000610975338813597
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Herbaspirillum	0.014830037769384581
Bacteroidetes	Mucilaginibacter	0.005387691624083537
Proteobacteria	Sphingorhabdus	5.554321261941791e-05
Proteobacteria	Rhodoferax	0.0012774938902466119
Proteobacteria	Sphingorhabdus	0.00022217285047767163
Proteobacteria	Curvibacter	0.0002777160630970895
Proteobacteria	Aquabacterium	0.0045545434347922685
Proteobacteria	Polynucleobacter	0.00022217285047767163
Actinobacteria	Tetrasphaera	0.005387691624083537
Proteobacteria	Polynucleobacter	5.554321261941791e-05
Proteobacteria	Limnohabitans	0.0009997778271495224
Proteobacteria	Vasilyevaea	0.000555432126194179
Proteobacteria	Methylotenera	0.0014996667407242835
Proteobacteria	Limnohabitans	0.00011108642523883582
Firmicutes	Bacillus	0.0021106420795378804
Proteobacteria	Rhodoferax	0.00033325927571650743
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Limnohabitans	0.00011108642523883582
Bacteroidetes	Flavobacterium	0.0004998889135747612
Proteobacteria	Legionella	0.012219506776271939
Actinobacteria	Rhodoluna	0.0032215063319262385
Proteobacteria	Limnohabitans	5.554321261941791e-05
Proteobacteria	Xanthomonas	5.554321261941791e-05
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Variovorax	0.0
Proteobacteria	Limnohabitans	0.00033325927571650743
Proteobacteria	Polynucleobacter	0.0
Bacteroidetes	Pseudarcicella	0.00011108642523883582
Firmicutes	Clostridiumsensustricto	0.0022772717173961342
Proteobacteria	Rubrivivax	0.0
Proteobacteria	Lentilitoribacter	0.0011664074650077762
Firmicutes	Clostridiumsensustricto	0.00016662963785825372
Actinobacteria	Rhodoluna	0.00022217285047767163
Proteobacteria	Polynucleobacter	5.554321261941791e-05
Actinobacteria	Rhodoluna	0.0
Proteobacteria	Limnohabitans	0.0002777160630970895
Proteobacteria	Methylocystis	0.0008331481892912686
Actinobacteria	Ilumatobacter	0.010053321484114641
Proteobacteria	Rhodanobacter	0.00033325927571650743
Firmicutes	Romboutsia	0.001832926016440791
Proteobacteria	Rhodoferax	0.00033325927571650743
Proteobacteria	Shinella	0.0013330371028660297
Proteobacteria	Methylotenera	0.00927571650744279
Proteobacteria	Polynucleobacter	0.0
Verrucomicrobia	Cerasicoccus	0.0004998889135747612
Proteobacteria	Methylocystis	0.000610975338813597
Proteobacteria	Methylocystis	0.0
Proteobacteria	Methylotenera	0.00011108642523883582
Proteobacteria	Chelativorans	0.00016662963785825372
Proteobacteria	Chelativorans	0.0
Proteobacteria	Limnohabitans	0.00033325927571650743
Proteobacteria	Mesorhizobium	0.0007220617640524328
Proteobacteria	Methylotenera	0.00022217285047767163
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Limnohabitans	5.554321261941791e-05
Proteobacteria	Limnohabitans	0.00011108642523883582
Proteobacteria	Polynucleobacter	0.0
Bacteroidetes	Flavobacterium	0.00044434570095534326
Firmicutes	Intestinibacter	0.00033325927571650743
Actinobacteria	Streptomyces	0.0006665185514330149
Proteobacteria	Sphingomonas	0.0
Proteobacteria	Methylocystis	0.0007776049766718507
Proteobacteria	Limnohabitans	0.0
Actinobacteria	Streptomyces	0.00011108642523883582
Proteobacteria	Curvibacter	0.00038880248833592535
Proteobacteria	Rhodoferax	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Rhodoligotrophos	0.0
Proteobacteria	Methylotenera	5.554321261941791e-05
Proteobacteria	Curvibacter	0.0002777160630970895
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Methylotenera	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Curvibacter	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Devosia	0.003943568095978672
Proteobacteria	Sphingorhabdus	0.001777382803821373
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Bradyrhizobium	0.000610975338813597
Proteobacteria	Curvibacter	0.0002777160630970895
Bacteroidetes	Arcicella	5.554321261941791e-05
Bacteroidetes	Pseudarcicella	0.0
Proteobacteria	Polynucleobacter	0.0
Verrucomicrobia	Pelagicoccus	0.0032215063319262385
Proteobacteria	Devosia	5.554321261941791e-05
Proteobacteria	Limnohabitans	5.554321261941791e-05
Proteobacteria	Methylotenera	0.00011108642523883582
Bacteroidetes	Arcicella	0.0
Proteobacteria	Polynucleobacter	0.0
Bacteroidetes	Pseudarcicella	0.0
Bacteroidetes	Pseudarcicella	0.0
Bacteroidetes	Pseudarcicella	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Rubrivivax	0.0
Unmapped	Unmapped	0.8731948455898689
