phylum	genus	abundance
Proteobacteria	Rhodoferax	0.010839194527411118
Proteobacteria	Propionivibrio	0.0013488775411889392
Proteobacteria	Limnohabitans	9.634839579920994e-05
Bacteroidetes	Solitalea	0.004817419789960497
Proteobacteria	Curvibacter	0.0005780903747952597
Proteobacteria	Limnohabitans	0.0019269679159841988
Proteobacteria	Limnohabitans	0.0005299161768956547
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Herbaspirillum	0.019944117930436458
Bacteroidetes	Mucilaginibacter	0.006648039310145486
Proteobacteria	Sphingorhabdus	0.00028904518739762984
Proteobacteria	Rhodoferax	0.0009153097600924945
Proteobacteria	Sphingorhabdus	0.0005299161768956547
Proteobacteria	Curvibacter	9.634839579920994e-05
Proteobacteria	Aquabacterium	0.00794874265343482
Proteobacteria	Polynucleobacter	9.634839579920994e-05
Actinobacteria	Tetrasphaera	0.0025532324886790637
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Limnohabitans	0.0005299161768956547
Proteobacteria	Vasilyevaea	0.00043356778109644473
Proteobacteria	Methylotenera	0.0023605356970806436
Proteobacteria	Limnohabitans	0.00028904518739762984
Firmicutes	Bacillus	0.0023605356970806436
Proteobacteria	Rhodoferax	9.634839579920994e-05
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Limnohabitans	4.817419789960497e-05
Proteobacteria	Limnohabitans	9.634839579920994e-05
Bacteroidetes	Flavobacterium	0.0010598323537913093
Proteobacteria	Legionella	0.010694671933712303
Actinobacteria	Rhodoluna	0.0038539358319683976
Proteobacteria	Limnohabitans	4.817419789960497e-05
Proteobacteria	Xanthomonas	4.817419789960497e-05
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Variovorax	0.0
Proteobacteria	Limnohabitans	0.00028904518739762984
Proteobacteria	Polynucleobacter	0.0
Bacteroidetes	Pseudarcicella	4.817419789960497e-05
Firmicutes	Clostridiumsensustricto	0.004046632623566818
Proteobacteria	Rubrivivax	0.0
Proteobacteria	Lentilitoribacter	0.0006744387705944696
Firmicutes	Clostridiumsensustricto	0.00038539358319683977
Actinobacteria	Rhodoluna	0.00024087098949802485
Proteobacteria	Polynucleobacter	0.0
Actinobacteria	Rhodoluna	0.0
Proteobacteria	Limnohabitans	4.817419789960497e-05
Proteobacteria	Methylocystis	0.0008671355621928895
Actinobacteria	Ilumatobacter	0.003275845457173138
Proteobacteria	Rhodanobacter	0.00028904518739762984
Firmicutes	Romboutsia	0.0013970517390885441
Proteobacteria	Rhodoferax	0.0
Proteobacteria	Shinella	0.0011561807495905194
Proteobacteria	Methylotenera	0.0023123614991810387
Proteobacteria	Polynucleobacter	4.817419789960497e-05
Verrucomicrobia	Cerasicoccus	0.00019269679159841988
Proteobacteria	Methylocystis	0.00028904518739762984
Proteobacteria	Methylocystis	0.0
Proteobacteria	Methylotenera	0.00024087098949802485
Proteobacteria	Chelativorans	0.00014452259369881492
Proteobacteria	Chelativorans	4.817419789960497e-05
Proteobacteria	Limnohabitans	4.817419789960497e-05
Proteobacteria	Mesorhizobium	0.0007707871663936795
Proteobacteria	Methylotenera	9.634839579920994e-05
Proteobacteria	Limnohabitans	0.00014452259369881492
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Limnohabitans	9.634839579920994e-05
Proteobacteria	Polynucleobacter	9.634839579920994e-05
Bacteroidetes	Flavobacterium	0.0008671355621928895
Firmicutes	Intestinibacter	0.00043356778109644473
Actinobacteria	Streptomyces	0.0004817419789960497
Proteobacteria	Sphingomonas	0.0
Proteobacteria	Methylocystis	0.0007226129684940746
Proteobacteria	Limnohabitans	0.0
Actinobacteria	Streptomyces	0.00014452259369881492
Proteobacteria	Curvibacter	0.00014452259369881492
Proteobacteria	Rhodoferax	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Rhodoligotrophos	0.0
Proteobacteria	Methylotenera	0.0
Proteobacteria	Curvibacter	9.634839579920994e-05
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Methylotenera	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Curvibacter	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Devosia	0.0013488775411889392
Proteobacteria	Sphingorhabdus	0.0012525291453897292
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Bradyrhizobium	9.634839579920994e-05
Proteobacteria	Curvibacter	0.0
Bacteroidetes	Arcicella	0.0
Bacteroidetes	Pseudarcicella	0.0
Proteobacteria	Polynucleobacter	0.0
Verrucomicrobia	Pelagicoccus	0.0009634839579920994
Proteobacteria	Devosia	0.0
Proteobacteria	Limnohabitans	4.817419789960497e-05
Proteobacteria	Methylotenera	9.634839579920994e-05
Bacteroidetes	Arcicella	0.0
Proteobacteria	Polynucleobacter	0.0
Bacteroidetes	Pseudarcicella	0.0
Bacteroidetes	Pseudarcicella	0.0
Bacteroidetes	Pseudarcicella	4.817419789960497e-05
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Polynucleobacter	4.817419789960497e-05
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Rubrivivax	0.0
Unmapped	Unmapped	0.894883900183062
