phylum	genus	abundance
Proteobacteria	Rhodoferax	0.0043969849246231155
Proteobacteria	Propionivibrio	0.001256281407035176
Proteobacteria	Limnohabitans	0.001027866605756053
Bacteroidetes	Solitalea	0.0007994518044769301
Proteobacteria	Curvibacter	0.0011991777067153952
Proteobacteria	Limnohabitans	0.001827318410232983
Proteobacteria	Limnohabitans	0.0019415258108725446
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Herbaspirillum	0.003483325719506624
Bacteroidetes	Mucilaginibacter	0.0010849703060758337
Proteobacteria	Sphingorhabdus	5.710370031978072e-05
Proteobacteria	Rhodoferax	0.006966651439013248
Proteobacteria	Sphingorhabdus	0.0017702147099132024
Proteobacteria	Curvibacter	0.0013704888076747374
Proteobacteria	Aquabacterium	0.001427592507994518
Proteobacteria	Polynucleobacter	0.0007994518044769301
Actinobacteria	Tetrasphaera	0.006966651439013248
Proteobacteria	Polynucleobacter	5.710370031978072e-05
Proteobacteria	Limnohabitans	0.0002855185015989036
Proteobacteria	Vasilyevaea	0.0005139333028780265
Proteobacteria	Methylotenera	5.710370031978072e-05
Proteobacteria	Limnohabitans	0.0009707629054362723
Firmicutes	Bacillus	0.0007423481041571494
Proteobacteria	Rhodoferax	0.001256281407035176
Proteobacteria	Limnohabitans	0.00022841480127912289
Proteobacteria	Limnohabitans	5.710370031978072e-05
Proteobacteria	Limnohabitans	5.710370031978072e-05
Bacteroidetes	Flavobacterium	0.00011420740063956144
Proteobacteria	Legionella	0.0021699406121516674
Actinobacteria	Rhodoluna	0.003711740520785747
Proteobacteria	Limnohabitans	5.710370031978072e-05
Proteobacteria	Xanthomonas	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Variovorax	0.0
Proteobacteria	Limnohabitans	0.0015989036089538603
Proteobacteria	Polynucleobacter	0.0
Bacteroidetes	Pseudarcicella	0.00017131110095934218
Firmicutes	Clostridiumsensustricto	0.0011991777067153952
Proteobacteria	Rubrivivax	0.0
Proteobacteria	Lentilitoribacter	0.0008565555047967108
Firmicutes	Clostridiumsensustricto	0.00017131110095934218
Actinobacteria	Rhodoluna	0.0
Proteobacteria	Polynucleobacter	5.710370031978072e-05
Actinobacteria	Rhodoluna	0.0
Proteobacteria	Limnohabitans	0.00034262220191868436
Proteobacteria	Methylocystis	0.00017131110095934218
Actinobacteria	Ilumatobacter	0.0007423481041571494
Proteobacteria	Rhodanobacter	0.00022841480127912289
Firmicutes	Romboutsia	0.00017131110095934218
Proteobacteria	Rhodoferax	0.00017131110095934218
Proteobacteria	Shinella	0.00039972590223846506
Proteobacteria	Methylotenera	0.0017131110095934216
Proteobacteria	Polynucleobacter	0.00022841480127912289
Verrucomicrobia	Cerasicoccus	0.0
Proteobacteria	Methylocystis	0.00022841480127912289
Proteobacteria	Methylocystis	0.0
Proteobacteria	Methylotenera	0.0
Proteobacteria	Chelativorans	0.00011420740063956144
Proteobacteria	Chelativorans	0.0
Proteobacteria	Limnohabitans	0.0005139333028780265
Proteobacteria	Mesorhizobium	0.0005139333028780265
Proteobacteria	Methylotenera	0.0
Proteobacteria	Limnohabitans	0.00017131110095934218
Proteobacteria	Limnohabitans	5.710370031978072e-05
Proteobacteria	Limnohabitans	0.00022841480127912289
Proteobacteria	Polynucleobacter	0.00017131110095934218
Bacteroidetes	Flavobacterium	0.00022841480127912289
Firmicutes	Intestinibacter	0.00022841480127912289
Actinobacteria	Streptomyces	5.710370031978072e-05
Proteobacteria	Sphingomonas	0.0
Proteobacteria	Methylocystis	0.00017131110095934218
Proteobacteria	Limnohabitans	0.00011420740063956144
Actinobacteria	Streptomyces	5.710370031978072e-05
Proteobacteria	Curvibacter	0.00011420740063956144
Proteobacteria	Rhodoferax	0.0
Proteobacteria	Polynucleobacter	5.710370031978072e-05
Proteobacteria	Rhodoligotrophos	0.00011420740063956144
Proteobacteria	Methylotenera	0.0
Proteobacteria	Curvibacter	0.00011420740063956144
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Methylotenera	5.710370031978072e-05
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Curvibacter	5.710370031978072e-05
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Devosia	0.0011991777067153952
Proteobacteria	Sphingorhabdus	0.0043969849246231155
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Bradyrhizobium	0.00011420740063956144
Proteobacteria	Curvibacter	0.0
Bacteroidetes	Arcicella	0.0
Bacteroidetes	Pseudarcicella	0.0
Proteobacteria	Polynucleobacter	0.0
Verrucomicrobia	Pelagicoccus	0.0
Proteobacteria	Devosia	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Methylotenera	0.0
Bacteroidetes	Arcicella	5.710370031978072e-05
Proteobacteria	Polynucleobacter	5.710370031978072e-05
Bacteroidetes	Pseudarcicella	5.710370031978072e-05
Bacteroidetes	Pseudarcicella	5.710370031978072e-05
Bacteroidetes	Pseudarcicella	5.710370031978072e-05
Proteobacteria	Limnohabitans	5.710370031978072e-05
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Rubrivivax	0.0
Unmapped	Unmapped	0.935701233439927
