phylum	genus	abundance
Proteobacteria	Rhodoferax	0.004576280531510173
Proteobacteria	Propionivibrio	0.0009924463803275072
Proteobacteria	Limnohabitans	0.0011578541103820917
Bacteroidetes	Solitalea	0.0012129900204002867
Proteobacteria	Curvibacter	0.0009373104703093124
Proteobacteria	Limnohabitans	0.002150300490709599
Proteobacteria	Limnohabitans	0.002260572310745989
Proteobacteria	Limnohabitans	5.513591001819485e-05
Proteobacteria	Herbaspirillum	0.006947124662292551
Bacteroidetes	Mucilaginibacter	0.0002205436400727794
Proteobacteria	Sphingorhabdus	0.0001102718200363897
Proteobacteria	Rhodoferax	0.006616309202183382
Proteobacteria	Sphingorhabdus	0.0019297568506368198
Proteobacteria	Curvibacter	0.0012681259304184816
Proteobacteria	Aquabacterium	0.0024811159508187682
Proteobacteria	Polynucleobacter	0.0008821745602911176
Actinobacteria	Tetrasphaera	0.0075536196724926945
Proteobacteria	Polynucleobacter	5.513591001819485e-05
Proteobacteria	Limnohabitans	0.0006064950102001433
Proteobacteria	Vasilyevaea	0.00038595137012736397
Proteobacteria	Methylotenera	0.0
Proteobacteria	Limnohabitans	0.0005513591001819485
Firmicutes	Bacillus	0.0005513591001819485
Proteobacteria	Rhodoferax	0.0023708441307823784
Proteobacteria	Limnohabitans	0.00027567955009097426
Proteobacteria	Limnohabitans	5.513591001819485e-05
Proteobacteria	Limnohabitans	5.513591001819485e-05
Bacteroidetes	Flavobacterium	0.00038595137012736397
Proteobacteria	Legionella	0.0024259800408005733
Actinobacteria	Rhodoluna	0.00374924188123725
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Xanthomonas	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Variovorax	0.0
Proteobacteria	Limnohabitans	0.002205436400727794
Proteobacteria	Polynucleobacter	5.513591001819485e-05
Bacteroidetes	Pseudarcicella	0.00016540773005458456
Firmicutes	Clostridiumsensustricto	0.0008821745602911176
Proteobacteria	Rubrivivax	0.0
Proteobacteria	Lentilitoribacter	0.001102718200363897
Firmicutes	Clostridiumsensustricto	0.00016540773005458456
Actinobacteria	Rhodoluna	0.0001102718200363897
Proteobacteria	Polynucleobacter	5.513591001819485e-05
Actinobacteria	Rhodoluna	0.0
Proteobacteria	Limnohabitans	0.0001102718200363897
Proteobacteria	Methylocystis	0.00016540773005458456
Actinobacteria	Ilumatobacter	0.0003308154601091691
Proteobacteria	Rhodanobacter	0.0002205436400727794
Firmicutes	Romboutsia	0.0002205436400727794
Proteobacteria	Rhodoferax	0.00027567955009097426
Proteobacteria	Shinella	0.001433533660473066
Proteobacteria	Methylotenera	0.004686552351546562
Proteobacteria	Polynucleobacter	5.513591001819485e-05
Verrucomicrobia	Cerasicoccus	5.513591001819485e-05
Proteobacteria	Methylocystis	0.00016540773005458456
Proteobacteria	Methylocystis	0.0
Proteobacteria	Methylotenera	0.0
Proteobacteria	Chelativorans	0.0001102718200363897
Proteobacteria	Chelativorans	5.513591001819485e-05
Proteobacteria	Limnohabitans	0.0003308154601091691
Proteobacteria	Mesorhizobium	0.000716766830236533
Proteobacteria	Methylotenera	0.0002205436400727794
Proteobacteria	Limnohabitans	0.0001102718200363897
Proteobacteria	Limnohabitans	5.513591001819485e-05
Proteobacteria	Limnohabitans	5.513591001819485e-05
Proteobacteria	Polynucleobacter	5.513591001819485e-05
Bacteroidetes	Flavobacterium	0.0006064950102001433
Firmicutes	Intestinibacter	5.513591001819485e-05
Actinobacteria	Streptomyces	0.0
Proteobacteria	Sphingomonas	5.513591001819485e-05
Proteobacteria	Methylocystis	0.0001102718200363897
Proteobacteria	Limnohabitans	0.0
Actinobacteria	Streptomyces	0.0
Proteobacteria	Curvibacter	0.0
Proteobacteria	Rhodoferax	5.513591001819485e-05
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Rhodoligotrophos	0.0
Proteobacteria	Methylotenera	0.0
Proteobacteria	Curvibacter	0.0001102718200363897
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Methylotenera	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Curvibacter	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Limnohabitans	5.513591001819485e-05
Proteobacteria	Devosia	0.005403319181783096
Proteobacteria	Sphingorhabdus	0.003253018691073496
Proteobacteria	Polynucleobacter	0.00016540773005458456
Proteobacteria	Bradyrhizobium	0.0011578541103820917
Proteobacteria	Curvibacter	0.0001102718200363897
Bacteroidetes	Arcicella	5.513591001819485e-05
Bacteroidetes	Pseudarcicella	5.513591001819485e-05
Proteobacteria	Polynucleobacter	5.513591001819485e-05
Verrucomicrobia	Pelagicoccus	0.0
Proteobacteria	Devosia	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Methylotenera	0.0
Bacteroidetes	Arcicella	0.0
Proteobacteria	Polynucleobacter	0.0
Bacteroidetes	Pseudarcicella	0.0
Bacteroidetes	Pseudarcicella	0.0
Bacteroidetes	Pseudarcicella	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Rubrivivax	0.0
Unmapped	Unmapped	0.9217070077741634
