phylum	genus	abundance
Proteobacteria	Rhodoferax	0.0022954361328652445
Proteobacteria	Propionivibrio	0.006008641641911963
Proteobacteria	Limnohabitans	0.009046718876586552
Bacteroidetes	Solitalea	0.015662975965433434
Proteobacteria	Curvibacter	0.004455846610856063
Proteobacteria	Limnohabitans	0.007156359708344585
Proteobacteria	Limnohabitans	0.0017553335133675399
Proteobacteria	Limnohabitans	0.0002025384823116392
Proteobacteria	Herbaspirillum	0.006346205779098029
Bacteroidetes	Mucilaginibacter	0.002092897650553605
Proteobacteria	Sphingorhabdus	0.00013502565487442613
Proteobacteria	Rhodoferax	0.005130974885228194
Proteobacteria	Sphingorhabdus	0.0022279233054280315
Proteobacteria	Curvibacter	0.004590872265730489
Proteobacteria	Aquabacterium	0.0008101539292465569
Proteobacteria	Polynucleobacter	0.0007426411018093438
Actinobacteria	Tetrasphaera	0.0035781798541722927
Proteobacteria	Polynucleobacter	0.00013502565487442613
Proteobacteria	Limnohabitans	0.001080205238995409
Proteobacteria	Vasilyevaea	0.001080205238995409
Proteobacteria	Methylotenera	0.001080205238995409
Proteobacteria	Limnohabitans	0.000945179584120983
Firmicutes	Bacillus	0.0004725897920604915
Proteobacteria	Rhodoferax	0.001080205238995409
Proteobacteria	Limnohabitans	0.0002025384823116392
Proteobacteria	Limnohabitans	6.751282743721307e-05
Proteobacteria	Limnohabitans	0.00033756413718606535
Bacteroidetes	Flavobacterium	6.751282743721307e-05
Proteobacteria	Legionella	0.001890359168241966
Actinobacteria	Rhodoluna	0.0023629489603024575
Proteobacteria	Limnohabitans	0.00013502565487442613
Proteobacteria	Xanthomonas	6.751282743721307e-05
Proteobacteria	Polynucleobacter	0.0004050769646232784
Proteobacteria	Variovorax	0.00013502565487442613
Proteobacteria	Limnohabitans	0.0011477180664326223
Proteobacteria	Polynucleobacter	6.751282743721307e-05
Bacteroidetes	Pseudarcicella	0.00013502565487442613
Firmicutes	Clostridiumsensustricto	0.0013502565487442614
Proteobacteria	Rubrivivax	6.751282743721307e-05
Proteobacteria	Lentilitoribacter	0.0008101539292465569
Firmicutes	Clostridiumsensustricto	6.751282743721307e-05
Actinobacteria	Rhodoluna	0.00013502565487442613
Proteobacteria	Polynucleobacter	0.00013502565487442613
Actinobacteria	Rhodoluna	0.00013502565487442613
Proteobacteria	Limnohabitans	0.00013502565487442613
Proteobacteria	Methylocystis	0.00013502565487442613
Actinobacteria	Ilumatobacter	0.00013502565487442613
Proteobacteria	Rhodanobacter	0.00027005130974885227
Firmicutes	Romboutsia	0.0004725897920604915
Proteobacteria	Rhodoferax	0.00013502565487442613
Proteobacteria	Shinella	0.00033756413718606535
Proteobacteria	Methylotenera	0.00013502565487442613
Proteobacteria	Polynucleobacter	6.751282743721307e-05
Verrucomicrobia	Cerasicoccus	0.0005401026194977045
Proteobacteria	Methylocystis	0.00013502565487442613
Proteobacteria	Methylocystis	6.751282743721307e-05
Proteobacteria	Methylotenera	0.0002025384823116392
Proteobacteria	Chelativorans	6.751282743721307e-05
Proteobacteria	Chelativorans	0.00013502565487442613
Proteobacteria	Limnohabitans	6.751282743721307e-05
Proteobacteria	Mesorhizobium	0.0002025384823116392
Proteobacteria	Methylotenera	6.751282743721307e-05
Proteobacteria	Limnohabitans	6.751282743721307e-05
Proteobacteria	Limnohabitans	6.751282743721307e-05
Proteobacteria	Limnohabitans	6.751282743721307e-05
Proteobacteria	Polynucleobacter	0.00013502565487442613
Bacteroidetes	Flavobacterium	6.751282743721307e-05
Firmicutes	Intestinibacter	6.751282743721307e-05
Actinobacteria	Streptomyces	0.0
Proteobacteria	Sphingomonas	0.0
Proteobacteria	Methylocystis	0.0
Proteobacteria	Limnohabitans	0.0
Actinobacteria	Streptomyces	0.0
Proteobacteria	Curvibacter	0.0
Proteobacteria	Rhodoferax	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Rhodoligotrophos	0.0
Proteobacteria	Methylotenera	0.0
Proteobacteria	Curvibacter	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Methylotenera	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Curvibacter	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Devosia	0.0
Proteobacteria	Sphingorhabdus	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Bradyrhizobium	0.0
Proteobacteria	Curvibacter	0.0
Bacteroidetes	Arcicella	0.0
Bacteroidetes	Pseudarcicella	0.0
Proteobacteria	Polynucleobacter	0.0
Verrucomicrobia	Pelagicoccus	0.0
Proteobacteria	Devosia	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Methylotenera	0.0
Bacteroidetes	Arcicella	0.0
Proteobacteria	Polynucleobacter	0.0
Bacteroidetes	Pseudarcicella	0.0
Bacteroidetes	Pseudarcicella	0.0
Bacteroidetes	Pseudarcicella	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Rubrivivax	0.0
Unmapped	Unmapped	0.9083850931677019
