phylum	genus	abundance
Proteobacteria	Rhodoferax	0.0016880011253340836
Proteobacteria	Propionivibrio	0.004571669714446476
Proteobacteria	Limnohabitans	0.011675341116894078
Bacteroidetes	Solitalea	0.002532001688001125
Proteobacteria	Curvibacter	0.0071740047826698555
Proteobacteria	Limnohabitans	0.007807005204670136
Proteobacteria	Limnohabitans	0.0015473343648895765
Proteobacteria	Limnohabitans	0.00021100014066676045
Proteobacteria	Herbaspirillum	0.006611337740891827
Bacteroidetes	Mucilaginibacter	0.0011956674637783092
Proteobacteria	Sphingorhabdus	0.00014066676044450696
Proteobacteria	Rhodoferax	0.0047123364748909834
Proteobacteria	Sphingorhabdus	0.002180334786889858
Proteobacteria	Curvibacter	0.005837670558447039
Proteobacteria	Aquabacterium	0.001336334224222816
Proteobacteria	Polynucleobacter	0.0007033338022225348
Actinobacteria	Tetrasphaera	0.0037276691517794344
Proteobacteria	Polynucleobacter	7.033338022225348e-05
Proteobacteria	Limnohabitans	0.0009846673231115486
Proteobacteria	Vasilyevaea	0.0005626670417780279
Proteobacteria	Methylotenera	0.0002813335208890139
Proteobacteria	Limnohabitans	0.0004220002813335209
Firmicutes	Bacillus	0.0012660008440005626
Proteobacteria	Rhodoferax	0.0011253340835560557
Proteobacteria	Limnohabitans	7.033338022225348e-05
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Limnohabitans	0.0002813335208890139
Bacteroidetes	Flavobacterium	0.0
Proteobacteria	Legionella	0.001899001266000844
Actinobacteria	Rhodoluna	0.0021100014066676043
Proteobacteria	Limnohabitans	7.033338022225348e-05
Proteobacteria	Xanthomonas	0.0
Proteobacteria	Polynucleobacter	0.0003516669011112674
Proteobacteria	Variovorax	7.033338022225348e-05
Proteobacteria	Limnohabitans	0.0023913349275566185
Proteobacteria	Polynucleobacter	0.00014066676044450696
Bacteroidetes	Pseudarcicella	0.0
Firmicutes	Clostridiumsensustricto	0.0012660008440005626
Proteobacteria	Rubrivivax	0.0
Proteobacteria	Lentilitoribacter	0.0005626670417780279
Firmicutes	Clostridiumsensustricto	0.0
Actinobacteria	Rhodoluna	0.00014066676044450696
Proteobacteria	Polynucleobacter	0.00014066676044450696
Actinobacteria	Rhodoluna	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Methylocystis	0.00021100014066676045
Actinobacteria	Ilumatobacter	0.0
Proteobacteria	Rhodanobacter	0.00014066676044450696
Firmicutes	Romboutsia	0.0004220002813335209
Proteobacteria	Rhodoferax	0.00021100014066676045
Proteobacteria	Shinella	0.0004923336615557743
Proteobacteria	Methylotenera	0.0002813335208890139
Proteobacteria	Polynucleobacter	0.0002813335208890139
Verrucomicrobia	Cerasicoccus	0.00014066676044450696
Proteobacteria	Methylocystis	7.033338022225348e-05
Proteobacteria	Methylocystis	0.0
Proteobacteria	Methylotenera	0.0
Proteobacteria	Chelativorans	7.033338022225348e-05
Proteobacteria	Chelativorans	0.0
Proteobacteria	Limnohabitans	7.033338022225348e-05
Proteobacteria	Mesorhizobium	0.00021100014066676045
Proteobacteria	Methylotenera	0.00014066676044450696
Proteobacteria	Limnohabitans	7.033338022225348e-05
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Limnohabitans	7.033338022225348e-05
Proteobacteria	Polynucleobacter	7.033338022225348e-05
Bacteroidetes	Flavobacterium	7.033338022225348e-05
Firmicutes	Intestinibacter	0.00014066676044450696
Actinobacteria	Streptomyces	7.033338022225348e-05
Proteobacteria	Sphingomonas	0.0
Proteobacteria	Methylocystis	0.00014066676044450696
Proteobacteria	Limnohabitans	0.0
Actinobacteria	Streptomyces	0.0
Proteobacteria	Curvibacter	0.0
Proteobacteria	Rhodoferax	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Rhodoligotrophos	7.033338022225348e-05
Proteobacteria	Methylotenera	0.00014066676044450696
Proteobacteria	Curvibacter	7.033338022225348e-05
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Methylotenera	7.033338022225348e-05
Proteobacteria	Polynucleobacter	7.033338022225348e-05
Proteobacteria	Curvibacter	0.0
Proteobacteria	Limnohabitans	7.033338022225348e-05
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Devosia	0.00014066676044450696
Proteobacteria	Sphingorhabdus	0.0
Proteobacteria	Polynucleobacter	7.033338022225348e-05
Proteobacteria	Bradyrhizobium	0.0
Proteobacteria	Curvibacter	0.0
Bacteroidetes	Arcicella	0.0
Bacteroidetes	Pseudarcicella	0.0
Proteobacteria	Polynucleobacter	0.0
Verrucomicrobia	Pelagicoccus	0.0
Proteobacteria	Devosia	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Methylotenera	0.0
Bacteroidetes	Arcicella	0.0
Proteobacteria	Polynucleobacter	0.0
Bacteroidetes	Pseudarcicella	0.0
Bacteroidetes	Pseudarcicella	0.0
Bacteroidetes	Pseudarcicella	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Rubrivivax	0.0
Unmapped	Unmapped	0.9180616120410747
