phylum	genus	abundance
Proteobacteria	Rhodoferax	0.001682490085326283
Proteobacteria	Propionivibrio	0.004326403076553299
Proteobacteria	Limnohabitans	0.005888715298641991
Bacteroidetes	Solitalea	0.00024035572647518327
Proteobacteria	Curvibacter	0.005768537435404398
Proteobacteria	Limnohabitans	0.00024035572647518327
Proteobacteria	Limnohabitans	0.004206225213315707
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Herbaspirillum	0.0050474702559788484
Bacteroidetes	Mucilaginibacter	0.0003605335897127749
Proteobacteria	Sphingorhabdus	0.00012017786323759164
Proteobacteria	Rhodoferax	0.005287825982454032
Proteobacteria	Sphingorhabdus	0.00024035572647518327
Proteobacteria	Curvibacter	0.007931738973681048
Proteobacteria	Aquabacterium	0.00048071145295036654
Proteobacteria	Polynucleobacter	0.0006008893161879582
Actinobacteria	Tetrasphaera	0.0014421343588510995
Proteobacteria	Polynucleobacter	0.00012017786323759164
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Vasilyevaea	0.0003605335897127749
Proteobacteria	Methylotenera	0.0008412450426631415
Proteobacteria	Limnohabitans	0.00048071145295036654
Firmicutes	Bacillus	0.0006008893161879582
Proteobacteria	Rhodoferax	0.0010816007691383247
Proteobacteria	Limnohabitans	0.00012017786323759164
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Limnohabitans	0.00012017786323759164
Bacteroidetes	Flavobacterium	0.00024035572647518327
Proteobacteria	Legionella	0.002283379401514241
Actinobacteria	Rhodoluna	0.0008412450426631415
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Xanthomonas	0.0
Proteobacteria	Polynucleobacter	0.0007210671794255498
Proteobacteria	Variovorax	0.00012017786323759164
Proteobacteria	Limnohabitans	0.0021632015382766494
Proteobacteria	Polynucleobacter	0.00012017786323759164
Bacteroidetes	Pseudarcicella	0.0
Firmicutes	Clostridiumsensustricto	0.0009614229059007331
Proteobacteria	Rubrivivax	0.0
Proteobacteria	Lentilitoribacter	0.0003605335897127749
Firmicutes	Clostridiumsensustricto	0.0
Actinobacteria	Rhodoluna	0.0
Proteobacteria	Polynucleobacter	0.0
Actinobacteria	Rhodoluna	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Methylocystis	0.0007210671794255498
Actinobacteria	Ilumatobacter	0.00012017786323759164
Proteobacteria	Rhodanobacter	0.00012017786323759164
Firmicutes	Romboutsia	0.0
Proteobacteria	Rhodoferax	0.00024035572647518327
Proteobacteria	Shinella	0.0009614229059007331
Proteobacteria	Methylotenera	0.0
Proteobacteria	Polynucleobacter	0.00024035572647518327
Verrucomicrobia	Cerasicoccus	0.0
Proteobacteria	Methylocystis	0.00012017786323759164
Proteobacteria	Methylocystis	0.0
Proteobacteria	Methylotenera	0.00012017786323759164
Proteobacteria	Chelativorans	0.0
Proteobacteria	Chelativorans	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Mesorhizobium	0.00024035572647518327
Proteobacteria	Methylotenera	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Polynucleobacter	0.0
Bacteroidetes	Flavobacterium	0.0
Firmicutes	Intestinibacter	0.00024035572647518327
Actinobacteria	Streptomyces	0.0
Proteobacteria	Sphingomonas	0.0
Proteobacteria	Methylocystis	0.00012017786323759164
Proteobacteria	Limnohabitans	0.0
Actinobacteria	Streptomyces	0.0
Proteobacteria	Curvibacter	0.0
Proteobacteria	Rhodoferax	0.00024035572647518327
Proteobacteria	Polynucleobacter	0.00012017786323759164
Proteobacteria	Rhodoligotrophos	0.0
Proteobacteria	Methylotenera	0.001321956495613508
Proteobacteria	Curvibacter	0.0
Proteobacteria	Polynucleobacter	0.00024035572647518327
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Polynucleobacter	0.00012017786323759164
Proteobacteria	Methylotenera	0.00024035572647518327
Proteobacteria	Polynucleobacter	0.00012017786323759164
Proteobacteria	Curvibacter	0.00012017786323759164
Proteobacteria	Limnohabitans	0.00012017786323759164
Proteobacteria	Polynucleobacter	0.00012017786323759164
Proteobacteria	Limnohabitans	0.00012017786323759164
Proteobacteria	Devosia	0.0
Proteobacteria	Sphingorhabdus	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Bradyrhizobium	0.0
Proteobacteria	Curvibacter	0.0
Bacteroidetes	Arcicella	0.0
Bacteroidetes	Pseudarcicella	0.0
Proteobacteria	Polynucleobacter	0.0
Verrucomicrobia	Pelagicoccus	0.0
Proteobacteria	Devosia	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Methylotenera	0.0
Bacteroidetes	Arcicella	0.0
Proteobacteria	Polynucleobacter	0.0
Bacteroidetes	Pseudarcicella	0.0
Bacteroidetes	Pseudarcicella	0.0
Bacteroidetes	Pseudarcicella	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Rubrivivax	0.0
Unmapped	Unmapped	0.9384689340223531
