phylum	genus	abundance
Proteobacteria	Rhodoferax	0.00159060320567723
Proteobacteria	Propionivibrio	0.005138871895264897
Proteobacteria	Limnohabitans	0.010277743790529793
Bacteroidetes	Solitalea	0.0001223540927444023
Proteobacteria	Curvibacter	0.005811819405359109
Proteobacteria	Limnohabitans	0.0002447081854888046
Proteobacteria	Limnohabitans	0.002508258901260247
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Herbaspirillum	0.005138871895264897
Bacteroidetes	Mucilaginibacter	0.0008564786492108161
Proteobacteria	Sphingorhabdus	0.0
Proteobacteria	Rhodoferax	0.0042823932460540805
Proteobacteria	Sphingorhabdus	0.00018353113911660345
Proteobacteria	Curvibacter	0.00746359965740854
Proteobacteria	Aquabacterium	0.001957665483910437
Proteobacteria	Polynucleobacter	0.0009176556955830173
Actinobacteria	Tetrasphaera	0.0022023736693992414
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Vasilyevaea	0.0004894163709776092
Proteobacteria	Methylotenera	0.00030588523186100575
Proteobacteria	Limnohabitans	0.00018353113911660345
Firmicutes	Bacillus	0.0009176556955830173
Proteobacteria	Rhodoferax	0.0008564786492108161
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Limnohabitans	0.0001223540927444023
Bacteroidetes	Flavobacterium	0.0
Proteobacteria	Legionella	0.0027529670867490518
Actinobacteria	Rhodoluna	0.002385904808515845
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Xanthomonas	0.0
Proteobacteria	Polynucleobacter	0.00030588523186100575
Proteobacteria	Variovorax	0.0
Proteobacteria	Limnohabitans	0.0010400097883274196
Proteobacteria	Polynucleobacter	0.0
Bacteroidetes	Pseudarcicella	0.0
Firmicutes	Clostridiumsensustricto	0.00159060320567723
Proteobacteria	Rubrivivax	0.0
Proteobacteria	Lentilitoribacter	0.00030588523186100575
Firmicutes	Clostridiumsensustricto	0.0001223540927444023
Actinobacteria	Rhodoluna	0.0001223540927444023
Proteobacteria	Polynucleobacter	0.0
Actinobacteria	Rhodoluna	0.0
Proteobacteria	Limnohabitans	6.117704637220115e-05
Proteobacteria	Methylocystis	0.0004894163709776092
Actinobacteria	Ilumatobacter	6.117704637220115e-05
Proteobacteria	Rhodanobacter	0.00030588523186100575
Firmicutes	Romboutsia	0.0003670622782332069
Proteobacteria	Rhodoferax	6.117704637220115e-05
Proteobacteria	Shinella	0.002018842530282638
Proteobacteria	Methylotenera	0.0
Proteobacteria	Polynucleobacter	6.117704637220115e-05
Verrucomicrobia	Cerasicoccus	0.0002447081854888046
Proteobacteria	Methylocystis	0.0
Proteobacteria	Methylocystis	0.0
Proteobacteria	Methylotenera	0.0
Proteobacteria	Chelativorans	0.0
Proteobacteria	Chelativorans	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Mesorhizobium	0.0002447081854888046
Proteobacteria	Methylotenera	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Limnohabitans	6.117704637220115e-05
Proteobacteria	Polynucleobacter	0.0
Bacteroidetes	Flavobacterium	6.117704637220115e-05
Firmicutes	Intestinibacter	0.0002447081854888046
Actinobacteria	Streptomyces	0.0
Proteobacteria	Sphingomonas	0.0
Proteobacteria	Methylocystis	0.00018353113911660345
Proteobacteria	Limnohabitans	0.0
Actinobacteria	Streptomyces	0.0001223540927444023
Proteobacteria	Curvibacter	6.117704637220115e-05
Proteobacteria	Rhodoferax	6.117704637220115e-05
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Rhodoligotrophos	0.0
Proteobacteria	Methylotenera	0.0008564786492108161
Proteobacteria	Curvibacter	6.117704637220115e-05
Proteobacteria	Polynucleobacter	6.117704637220115e-05
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Methylotenera	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Curvibacter	6.117704637220115e-05
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Polynucleobacter	6.117704637220115e-05
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Devosia	0.0
Proteobacteria	Sphingorhabdus	0.0
Proteobacteria	Polynucleobacter	6.117704637220115e-05
Proteobacteria	Bradyrhizobium	0.0
Proteobacteria	Curvibacter	0.0
Bacteroidetes	Arcicella	0.0
Bacteroidetes	Pseudarcicella	0.0
Proteobacteria	Polynucleobacter	0.0
Verrucomicrobia	Pelagicoccus	6.117704637220115e-05
Proteobacteria	Devosia	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Methylotenera	0.0
Bacteroidetes	Arcicella	0.0
Proteobacteria	Polynucleobacter	0.0
Bacteroidetes	Pseudarcicella	0.0
Bacteroidetes	Pseudarcicella	0.0
Bacteroidetes	Pseudarcicella	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Rubrivivax	0.0
Unmapped	Unmapped	0.9338676128716505
