phylum	genus	abundance
Proteobacteria	Rhodoferax	0.0007288629737609329
Proteobacteria	Propionivibrio	0.002186588921282799
Proteobacteria	Limnohabitans	0.01282798833819242
Bacteroidetes	Solitalea	0.004810495626822157
Proteobacteria	Curvibacter	0.01967930029154519
Proteobacteria	Limnohabitans	0.0010204081632653062
Proteobacteria	Limnohabitans	0.0007288629737609329
Proteobacteria	Limnohabitans	7.28862973760933e-05
Proteobacteria	Herbaspirillum	0.0018950437317784257
Bacteroidetes	Mucilaginibacter	0.0010932944606413995
Proteobacteria	Sphingorhabdus	0.0001457725947521866
Proteobacteria	Rhodoferax	0.004154518950437318
Proteobacteria	Sphingorhabdus	0.002186588921282799
Proteobacteria	Curvibacter	0.0010204081632653062
Proteobacteria	Aquabacterium	0.0009475218658892129
Proteobacteria	Polynucleobacter	0.0006559766763848397
Actinobacteria	Tetrasphaera	0.00816326530612245
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Limnohabitans	7.28862973760933e-05
Proteobacteria	Vasilyevaea	0.0008746355685131195
Proteobacteria	Methylotenera	0.0001457725947521866
Proteobacteria	Limnohabitans	0.00021865889212827988
Firmicutes	Bacillus	0.0009475218658892129
Proteobacteria	Rhodoferax	0.0011661807580174927
Proteobacteria	Limnohabitans	7.28862973760933e-05
Proteobacteria	Limnohabitans	7.28862973760933e-05
Proteobacteria	Limnohabitans	0.00043731778425655976
Bacteroidetes	Flavobacterium	0.0
Proteobacteria	Legionella	0.004154518950437318
Actinobacteria	Rhodoluna	0.007142857142857143
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Xanthomonas	7.28862973760933e-05
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Variovorax	7.28862973760933e-05
Proteobacteria	Limnohabitans	0.0010204081632653062
Proteobacteria	Polynucleobacter	0.0
Bacteroidetes	Pseudarcicella	0.00021865889212827988
Firmicutes	Clostridiumsensustricto	0.0020408163265306124
Proteobacteria	Rubrivivax	0.0
Proteobacteria	Lentilitoribacter	0.00021865889212827988
Firmicutes	Clostridiumsensustricto	0.00043731778425655976
Actinobacteria	Rhodoluna	0.0001457725947521866
Proteobacteria	Polynucleobacter	7.28862973760933e-05
Actinobacteria	Rhodoluna	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Methylocystis	0.0010204081632653062
Actinobacteria	Ilumatobacter	0.001239067055393586
Proteobacteria	Rhodanobacter	0.00021865889212827988
Firmicutes	Romboutsia	7.28862973760933e-05
Proteobacteria	Rhodoferax	0.0001457725947521866
Proteobacteria	Shinella	0.00043731778425655976
Proteobacteria	Methylotenera	0.00043731778425655976
Proteobacteria	Polynucleobacter	0.0001457725947521866
Verrucomicrobia	Cerasicoccus	0.0
Proteobacteria	Methylocystis	0.0001457725947521866
Proteobacteria	Methylocystis	0.0
Proteobacteria	Methylotenera	0.0
Proteobacteria	Chelativorans	0.0
Proteobacteria	Chelativorans	7.28862973760933e-05
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Mesorhizobium	0.0001457725947521866
Proteobacteria	Methylotenera	7.28862973760933e-05
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Polynucleobacter	0.0
Bacteroidetes	Flavobacterium	0.0
Firmicutes	Intestinibacter	0.00021865889212827988
Actinobacteria	Streptomyces	0.0001457725947521866
Proteobacteria	Sphingomonas	0.0
Proteobacteria	Methylocystis	0.0008746355685131195
Proteobacteria	Limnohabitans	0.0
Actinobacteria	Streptomyces	0.0
Proteobacteria	Curvibacter	0.0
Proteobacteria	Rhodoferax	7.28862973760933e-05
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Rhodoligotrophos	7.28862973760933e-05
Proteobacteria	Methylotenera	0.00043731778425655976
Proteobacteria	Curvibacter	7.28862973760933e-05
Proteobacteria	Polynucleobacter	7.28862973760933e-05
Proteobacteria	Polynucleobacter	7.28862973760933e-05
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Methylotenera	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Curvibacter	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Devosia	0.0
Proteobacteria	Sphingorhabdus	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Bradyrhizobium	0.0
Proteobacteria	Curvibacter	0.0
Bacteroidetes	Arcicella	0.0
Bacteroidetes	Pseudarcicella	0.0
Proteobacteria	Polynucleobacter	0.0
Verrucomicrobia	Pelagicoccus	0.0
Proteobacteria	Devosia	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Methylotenera	0.0
Bacteroidetes	Arcicella	0.0
Proteobacteria	Polynucleobacter	0.0
Bacteroidetes	Pseudarcicella	0.0
Bacteroidetes	Pseudarcicella	0.0
Bacteroidetes	Pseudarcicella	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Rubrivivax	0.0
Unmapped	Unmapped	0.9118804664723033
