phylum	genus	abundance
Proteobacteria	Rhodoferax	0.004580929759077028
Proteobacteria	Propionivibrio	0.020783847980997625
Proteobacteria	Limnohabitans	0.0023752969121140144
Bacteroidetes	Solitalea	0.00016966406515100103
Proteobacteria	Curvibacter	0.0026297930098405156
Proteobacteria	Limnohabitans	0.00033932813030200206
Proteobacteria	Limnohabitans	0.0018663047166610112
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Herbaspirillum	0.0021208008143875127
Bacteroidetes	Mucilaginibacter	0.0013573125212080082
Proteobacteria	Sphingorhabdus	0.00016966406515100103
Proteobacteria	Rhodoferax	0.003817441465897523
Proteobacteria	Sphingorhabdus	0.0005938242280285036
Proteobacteria	Curvibacter	0.0016966406515100101
Proteobacteria	Aquabacterium	0.0014421445537835087
Proteobacteria	Polynucleobacter	0.00033932813030200206
Actinobacteria	Tetrasphaera	0.0023752969121140144
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Vasilyevaea	0.0018663047166610112
Proteobacteria	Methylotenera	0.0008483203257550051
Proteobacteria	Limnohabitans	0.0005089921954530031
Firmicutes	Bacillus	0.007125890736342043
Proteobacteria	Rhodoferax	0.0010179843909060061
Proteobacteria	Limnohabitans	0.00016966406515100103
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Limnohabitans	0.0
Bacteroidetes	Flavobacterium	8.483203257550051e-05
Proteobacteria	Legionella	0.00670173057346454
Actinobacteria	Rhodoluna	0.00500508992195453
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Xanthomonas	0.0
Proteobacteria	Polynucleobacter	0.00016966406515100103
Proteobacteria	Variovorax	8.483203257550051e-05
Proteobacteria	Limnohabitans	0.001526976586359009
Proteobacteria	Polynucleobacter	8.483203257550051e-05
Bacteroidetes	Pseudarcicella	0.0
Firmicutes	Clostridiumsensustricto	0.004750593824228029
Proteobacteria	Rubrivivax	0.0
Proteobacteria	Lentilitoribacter	0.0006786562606040041
Firmicutes	Clostridiumsensustricto	0.00025449609772650153
Actinobacteria	Rhodoluna	0.0
Proteobacteria	Polynucleobacter	0.00016966406515100103
Actinobacteria	Rhodoluna	0.0
Proteobacteria	Limnohabitans	8.483203257550051e-05
Proteobacteria	Methylocystis	0.0029691211401425177
Actinobacteria	Ilumatobacter	0.00033932813030200206
Proteobacteria	Rhodanobacter	0.0008483203257550051
Firmicutes	Romboutsia	0.0006786562606040041
Proteobacteria	Rhodoferax	0.00042416016287750253
Proteobacteria	Shinella	0.0007634882931795045
Proteobacteria	Methylotenera	8.483203257550051e-05
Proteobacteria	Polynucleobacter	0.0
Verrucomicrobia	Cerasicoccus	0.0
Proteobacteria	Methylocystis	0.00033932813030200206
Proteobacteria	Methylocystis	0.0
Proteobacteria	Methylotenera	8.483203257550051e-05
Proteobacteria	Chelativorans	0.0
Proteobacteria	Chelativorans	8.483203257550051e-05
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Mesorhizobium	0.00025449609772650153
Proteobacteria	Methylotenera	0.00016966406515100103
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Limnohabitans	8.483203257550051e-05
Proteobacteria	Polynucleobacter	0.0
Bacteroidetes	Flavobacterium	0.0
Firmicutes	Intestinibacter	0.00025449609772650153
Actinobacteria	Streptomyces	0.0007634882931795045
Proteobacteria	Sphingomonas	8.483203257550051e-05
Proteobacteria	Methylocystis	0.0021208008143875127
Proteobacteria	Limnohabitans	0.0
Actinobacteria	Streptomyces	8.483203257550051e-05
Proteobacteria	Curvibacter	0.0
Proteobacteria	Rhodoferax	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Rhodoligotrophos	0.0
Proteobacteria	Methylotenera	0.0008483203257550051
Proteobacteria	Curvibacter	0.00033932813030200206
Proteobacteria	Polynucleobacter	0.00016966406515100103
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Methylotenera	0.00016966406515100103
Proteobacteria	Polynucleobacter	8.483203257550051e-05
Proteobacteria	Curvibacter	0.0
Proteobacteria	Limnohabitans	8.483203257550051e-05
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Devosia	0.0
Proteobacteria	Sphingorhabdus	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Bradyrhizobium	0.0
Proteobacteria	Curvibacter	0.0
Bacteroidetes	Arcicella	0.0
Bacteroidetes	Pseudarcicella	0.0
Proteobacteria	Polynucleobacter	0.0
Verrucomicrobia	Pelagicoccus	0.0
Proteobacteria	Devosia	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Methylotenera	8.483203257550051e-05
Bacteroidetes	Arcicella	0.0
Proteobacteria	Polynucleobacter	0.0
Bacteroidetes	Pseudarcicella	0.0
Bacteroidetes	Pseudarcicella	0.0
Bacteroidetes	Pseudarcicella	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Rubrivivax	0.0
Unmapped	Unmapped	0.9099932134373939
