phylum	genus	abundance
Proteobacteria	Rhodoferax	0.0009193993257738277
Proteobacteria	Propionivibrio	0.001225865767698437
Proteobacteria	Limnohabitans	0.008989682296455205
Bacteroidetes	Solitalea	0.0023495760547553378
Proteobacteria	Curvibacter	0.0030646644192460926
Proteobacteria	Limnohabitans	0.00143017672898151
Proteobacteria	Limnohabitans	0.00030646644192460924
Proteobacteria	Limnohabitans	0.0004086219225661457
Proteobacteria	Herbaspirillum	0.00143017672898151
Bacteroidetes	Mucilaginibacter	0.001940954132189192
Proteobacteria	Sphingorhabdus	0.0
Proteobacteria	Rhodoferax	0.002451731535396874
Proteobacteria	Sphingorhabdus	0.0009193993257738277
Proteobacteria	Curvibacter	0.00030646644192460924
Proteobacteria	Aquabacterium	0.0013280212483399733
Proteobacteria	Polynucleobacter	0.0008172438451322913
Actinobacteria	Tetrasphaera	0.009193993257738278
Proteobacteria	Polynucleobacter	0.00010215548064153642
Proteobacteria	Limnohabitans	0.00010215548064153642
Proteobacteria	Vasilyevaea	0.010011237102870569
Proteobacteria	Methylotenera	0.0
Proteobacteria	Limnohabitans	0.0006129328838492185
Firmicutes	Bacillus	0.005312084993359893
Proteobacteria	Rhodoferax	0.0004086219225661457
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Limnohabitans	0.00010215548064153642
Proteobacteria	Limnohabitans	0.00030646644192460924
Bacteroidetes	Flavobacterium	0.00010215548064153642
Proteobacteria	Legionella	0.01113494738992747
Actinobacteria	Rhodoluna	0.02390438247011952
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Xanthomonas	0.00010215548064153642
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Variovorax	0.0
Proteobacteria	Limnohabitans	0.0004086219225661457
Proteobacteria	Polynucleobacter	0.00020431096128307284
Bacteroidetes	Pseudarcicella	0.0
Firmicutes	Clostridiumsensustricto	0.019511696802533455
Proteobacteria	Rubrivivax	0.0
Proteobacteria	Lentilitoribacter	0.0010215548064153642
Firmicutes	Clostridiumsensustricto	0.001225865767698437
Actinobacteria	Rhodoluna	0.001225865767698437
Proteobacteria	Polynucleobacter	0.0
Actinobacteria	Rhodoluna	0.00020431096128307284
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Methylocystis	0.007763816528756768
Actinobacteria	Ilumatobacter	0.002247420574113801
Proteobacteria	Rhodanobacter	0.0004086219225661457
Firmicutes	Romboutsia	0.0011237102870569006
Proteobacteria	Rhodoferax	0.0
Proteobacteria	Shinella	0.001736643170906119
Proteobacteria	Methylotenera	0.0
Proteobacteria	Polynucleobacter	0.0
Verrucomicrobia	Cerasicoccus	0.0004086219225661457
Proteobacteria	Methylocystis	0.0009193993257738277
Proteobacteria	Methylocystis	0.00010215548064153642
Proteobacteria	Methylotenera	0.0
Proteobacteria	Chelativorans	0.00010215548064153642
Proteobacteria	Chelativorans	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Mesorhizobium	0.0004086219225661457
Proteobacteria	Methylotenera	0.00010215548064153642
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Polynucleobacter	0.0
Bacteroidetes	Flavobacterium	0.0
Firmicutes	Intestinibacter	0.0020431096128307284
Actinobacteria	Streptomyces	0.001225865767698437
Proteobacteria	Sphingomonas	0.00010215548064153642
Proteobacteria	Methylocystis	0.0010215548064153642
Proteobacteria	Limnohabitans	0.00010215548064153642
Actinobacteria	Streptomyces	0.0004086219225661457
Proteobacteria	Curvibacter	0.00010215548064153642
Proteobacteria	Rhodoferax	0.00010215548064153642
Proteobacteria	Polynucleobacter	0.00010215548064153642
Proteobacteria	Rhodoligotrophos	0.0
Proteobacteria	Methylotenera	0.0
Proteobacteria	Curvibacter	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Methylotenera	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Curvibacter	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Devosia	0.0
Proteobacteria	Sphingorhabdus	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Bradyrhizobium	0.0
Proteobacteria	Curvibacter	0.0
Bacteroidetes	Arcicella	0.0
Bacteroidetes	Pseudarcicella	0.0
Proteobacteria	Polynucleobacter	0.0
Verrucomicrobia	Pelagicoccus	0.0
Proteobacteria	Devosia	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Methylotenera	0.0
Bacteroidetes	Arcicella	0.0
Proteobacteria	Polynucleobacter	0.0
Bacteroidetes	Pseudarcicella	0.0
Bacteroidetes	Pseudarcicella	0.0
Bacteroidetes	Pseudarcicella	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Rubrivivax	0.0
Unmapped	Unmapped	0.8663806313208704
