phylum	genus	abundance
Proteobacteria	Rhodoferax	0.0003151591553734636
Proteobacteria	Propionivibrio	0.0003151591553734636
Proteobacteria	Limnohabitans	0.011450782645235844
Bacteroidetes	Solitalea	0.0017859018804496272
Proteobacteria	Curvibacter	0.0012606366214938543
Proteobacteria	Limnohabitans	0.00042021220716461814
Proteobacteria	Limnohabitans	0.00042021220716461814
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Herbaspirillum	0.001365689673285009
Bacteroidetes	Mucilaginibacter	0.0007353713625380818
Proteobacteria	Sphingorhabdus	0.0005252652589557726
Proteobacteria	Rhodoferax	0.0030465385019434812
Proteobacteria	Sphingorhabdus	0.0009454774661203908
Proteobacteria	Curvibacter	0.00042021220716461814
Proteobacteria	Aquabacterium	0.0006303183107469272
Proteobacteria	Polynucleobacter	0.001575795776867318
Actinobacteria	Tetrasphaera	0.008719403298665827
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Limnohabitans	0.00021010610358230907
Proteobacteria	Vasilyevaea	0.006198130055678117
Proteobacteria	Methylotenera	0.0
Proteobacteria	Limnohabitans	0.0003151591553734636
Firmicutes	Bacillus	0.003151591553734636
Proteobacteria	Rhodoferax	0.0008404244143292363
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Limnohabitans	0.00010505305179115453
Proteobacteria	Limnohabitans	0.00010505305179115453
Bacteroidetes	Flavobacterium	0.00010505305179115453
Proteobacteria	Legionella	0.008719403298665827
Actinobacteria	Rhodoluna	0.024687467170921316
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Xanthomonas	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Variovorax	0.0
Proteobacteria	Limnohabitans	0.0005252652589557726
Proteobacteria	Polynucleobacter	0.0
Bacteroidetes	Pseudarcicella	0.0
Firmicutes	Clostridiumsensustricto	0.013236684525685471
Proteobacteria	Rubrivivax	0.0
Proteobacteria	Lentilitoribacter	0.0008404244143292363
Firmicutes	Clostridiumsensustricto	0.001575795776867318
Actinobacteria	Rhodoluna	0.0007353713625380818
Proteobacteria	Polynucleobacter	0.00021010610358230907
Actinobacteria	Rhodoluna	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Methylocystis	0.002731379346570018
Actinobacteria	Ilumatobacter	0.0012606366214938543
Proteobacteria	Rhodanobacter	0.0006303183107469272
Firmicutes	Romboutsia	0.00042021220716461814
Proteobacteria	Rhodoferax	0.00010505305179115453
Proteobacteria	Shinella	0.0011555835697027
Proteobacteria	Methylotenera	0.00021010610358230907
Proteobacteria	Polynucleobacter	0.00010505305179115453
Verrucomicrobia	Cerasicoccus	0.00010505305179115453
Proteobacteria	Methylocystis	0.0008404244143292363
Proteobacteria	Methylocystis	0.00010505305179115453
Proteobacteria	Methylotenera	0.0
Proteobacteria	Chelativorans	0.00021010610358230907
Proteobacteria	Chelativorans	0.00010505305179115453
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Mesorhizobium	0.0005252652589557726
Proteobacteria	Methylotenera	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Polynucleobacter	0.0
Bacteroidetes	Flavobacterium	0.0
Firmicutes	Intestinibacter	0.00042021220716461814
Actinobacteria	Streptomyces	0.00010505305179115453
Proteobacteria	Sphingomonas	0.0
Proteobacteria	Methylocystis	0.0006303183107469272
Proteobacteria	Limnohabitans	0.0
Actinobacteria	Streptomyces	0.00010505305179115453
Proteobacteria	Curvibacter	0.0
Proteobacteria	Rhodoferax	0.0003151591553734636
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Rhodoligotrophos	0.0003151591553734636
Proteobacteria	Methylotenera	0.0
Proteobacteria	Curvibacter	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Methylotenera	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Curvibacter	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Devosia	0.0
Proteobacteria	Sphingorhabdus	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Bradyrhizobium	0.0
Proteobacteria	Curvibacter	0.0
Bacteroidetes	Arcicella	0.0
Bacteroidetes	Pseudarcicella	0.0
Proteobacteria	Polynucleobacter	0.0
Verrucomicrobia	Pelagicoccus	0.0
Proteobacteria	Devosia	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Methylotenera	0.0
Bacteroidetes	Arcicella	0.0
Proteobacteria	Polynucleobacter	0.0
Bacteroidetes	Pseudarcicella	0.0
Bacteroidetes	Pseudarcicella	0.0
Bacteroidetes	Pseudarcicella	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Polynucleobacter	0.00010505305179115453
Proteobacteria	Rubrivivax	0.00010505305179115453
Unmapped	Unmapped	0.893896417690934
