centroid	identity	tax_id	species	genus	family	order	class	phylum	clade	superkingdom	subspecies	species subgroup	species group	abundance
1683b13a-873b-4d37-a988-29a559c97636	92.1	323423	Limnohabitans curvus	Limnohabitans	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.2840182648401826
af7e5e52-d1e3-4819-aab9-bd54f182bfb8	93.7	576610	Polynucleobacter necessarius	Polynucleobacter	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0452054794520547
9ebdffd0-deaf-4de4-9ac3-890d70ddaa1b	95.2	1581557	Candidatus Methylopumilus planktonicus	Candidatus Methylopumilus	Methylophilaceae	Nitrosomonadales	Betaproteobacteria	Proteobacteria		Bacteria				0.0105022831050228
fa8de26a-a78c-4b8e-b32f-c160d36ff18b	94.2	230310	Curvibacter gracilis	Curvibacter	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0031963470319634
4dbf1631-b7b8-4805-a9de-01bbf62a52c9	90.4	192843	Rhodoferax ferrireducens	Rhodoferax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0130136986301369
7c73ab5b-d3c8-400d-a657-cc90527d9ebf	93.7	1678129	Limnohabitans sp. 103DPR2	Limnohabitans	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.1143835616438356
328d04ed-748f-42dc-b26e-4d14ec4aded2	91.5	946333	Rhizobacter gummiphilus	Rhizobacter		Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0004566210045662
125079b5-7c08-468e-9a76-87839b0aced0	94.3	543913	beta proteobacterium CB				Betaproteobacteria	Proteobacteria		Bacteria				0.0150684931506849
6c74512c-f219-493d-9d36-d83b4290886c	90.4	316277	Syntrophus aciditrophicus	Syntrophus	Syntrophaceae	Syntrophobacterales	Deltaproteobacteria	Proteobacteria		Bacteria				0.0002283105022831
4b31600d-093e-487f-8562-efd2aa109ae4	92.4	55508	Janthinobacterium agaricidamnosum	Janthinobacterium	Oxalobacteraceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0004566210045662
