centroid	identity	tax_id	species	genus	family	order	class	phylum	clade	superkingdom	subspecies	species subgroup	species group	abundance
81f249e8-da77-4288-a926-9e0e9fd73f30	90.9	1678129	Limnohabitans sp. 103DPR2	Limnohabitans	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.1509632224168126
01ff726e-790e-4297-a90a-1d0b4b745877	90.3	323423	Limnohabitans curvus	Limnohabitans	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.3211908931698774
ccae616d-d8b0-4368-9979-0e311a1c025f	93.1	946333	Rhizobacter gummiphilus	Rhizobacter		Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0012259194395796
860b32a5-6683-4034-81a6-4f63ef2f9739	93.8	2516559	Aquirufa antheringensis	Aquirufa	Cytophagaceae	Cytophagales	Cytophagia	Bacteroidetes	FCB group	Bacteria				0.1239929947460595
34a17a55-2984-477a-954f-1a0c318c6f9b	93.9	576610	Polynucleobacter necessarius	Polynucleobacter	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0534150612959719
8a998d37-08fb-4056-bd0f-593a044c5d17	93.0	544681	Limnohabitans australis	Limnohabitans	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0350262697022767
fa8a78af-6033-463a-9d9e-0f0ad10c6efd	91.4	2527691	Rhodoferax sp. Gr-4	Rhodoferax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0040280210157618
0b31e5f7-60e0-46d9-a5df-3c16931e543c	94.1	1637999	Verrucomicrobia bacterium IMCC26134					Verrucomicrobia	PVC group	Bacteria				0.0003502626970227
95a9431a-d293-4a7c-974f-0c273a660489	93.0	192843	Rhodoferax ferrireducens	Rhodoferax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0112084063047285
59841e47-ed8f-481a-bdb4-3d0de24cbb6f	95.0	1484693	Rhodoferax saidenbachensis	Rhodoferax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0108581436077057
e087dc28-644e-4160-9bdc-2a7e317517fc	90.6	2478552	Flavobacterium sp. 140616W15	Flavobacterium	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidetes	FCB group	Bacteria				0.0029772329246935
fe592c3b-7725-4fd3-a337-ff938b243482	93.6	1581680	Candidatus Methylopumilus turicensis	Candidatus Methylopumilus	Methylophilaceae	Nitrosomonadales	Betaproteobacteria	Proteobacteria		Bacteria				0.0145359019264448
b23abc97-4ab2-4a5e-984b-1ebb59cd2f0a	93.6	1581557	Candidatus Methylopumilus planktonicus	Candidatus Methylopumilus	Methylophilaceae	Nitrosomonadales	Betaproteobacteria	Proteobacteria		Bacteria				0.0040280210157618
