centroid	identity	tax_id	species	genus	family	order	class	phylum	clade	superkingdom	subspecies	species subgroup	species group	abundance
57aa425b-f9ae-413c-9951-5868c9462230	92.3	1678129	Limnohabitans sp. 103DPR2	Limnohabitans	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.1217188061848256
40e1bed0-76be-4fc1-80e0-4c623d365b75	90.6	576610	Polynucleobacter necessarius	Polynucleobacter	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.1208198489751887
2e937c87-14d3-411d-a716-668c4b09f80f	94.8	544681	Limnohabitans australis	Limnohabitans	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0413520316432937
2c62f3f5-d01b-4c3b-b20b-270f5c483ff9	90.3	2516559	Aquirufa antheringensis	Aquirufa	Cytophagaceae	Cytophagales	Cytophagia	Bacteroidetes	FCB group	Bacteria				0.0659834591873426
c0bd342a-579c-49d2-8da0-7be6abde2b13	94.9	323423	Limnohabitans curvus	Limnohabitans	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.233009708737864
3fbe1c7d-8c50-47b7-a584-610c252b6b22	91.5	2163011	Bordetella sp. HZ20	Bordetella	Alcaligenaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0001797914419273
7d466d97-cb7b-4ef5-aba3-b0d3c5c109a8	92.9	2603856	Lacisediminimonas profundi	Lacisediminimonas	Oxalobacteraceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0008989572096368
1feb1f5d-69bd-4a1f-8d19-918fa672e377	90.0	2527691	Rhodoferax sp. Gr-4	Rhodoferax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0044947860481841
974048c8-a307-4f23-9857-edd782648487	90.5	1913578	Sphingopyxis sp. LPB0140	Sphingopyxis	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Proteobacteria		Bacteria				0.000539374325782
b3a22827-46dd-41f8-a920-d2f4276f5a34	93.9	543913	beta proteobacterium CB				Betaproteobacteria	Proteobacteria		Bacteria				0.0498022294138799
dc96a817-7f86-4bea-85b0-ac9783ba77ee	90.1	80879	Curvibacter delicatus	Curvibacter	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0050341603739661
ed2ad24d-09b7-4487-b0e6-14b92af3eb8a	93.8	576611	Polynucleobacter asymbioticus	Polynucleobacter	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.1596548004314994
6cb8efa3-75b6-4a1f-9c5a-e5f87e328cb0	92.4	1581557	Candidatus Methylopumilus planktonicus	Candidatus Methylopumilus	Methylophilaceae	Nitrosomonadales	Betaproteobacteria	Proteobacteria		Bacteria				0.0014383315354189
228b87b7-871a-4512-a295-603032cdd1ef	94.0	556053	Polynucleobacter acidiphobus	Polynucleobacter	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0088097806544408
