centroid	identity	tax_id	species	genus	family	order	class	phylum	clade	superkingdom	subspecies	species subgroup	species group	abundance
99f3b472-0b14-4f99-b805-7eac7a071665	93.6	1678129	Limnohabitans sp. 103DPR2	Limnohabitans	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0815243608297153
7dea0950-b71a-46fb-a206-ce4a33463dac	94.7	576610	Polynucleobacter necessarius	Polynucleobacter	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0758964463740151
6492d6fb-6386-4672-b692-283710a702e2	94.0	323423	Limnohabitans curvus	Limnohabitans	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.2215790319987136
808615a3-134b-4b4a-bef3-a436c38a261f	91.9	1462919	Mobilitalea sibirica	Mobilitalea	Lachnospiraceae	Clostridiales	Clostridia	Firmicutes	Terrabacteria group	Bacteria				0.0001607975558771
b4c939b3-1745-43f0-b95b-a8936b524a03	95.3	543913	beta proteobacterium CB				Betaproteobacteria	Proteobacteria		Bacteria				0.0725196977005949
6fc36cf3-c4fb-43ed-9185-3807100641c0	94.6	576611	Polynucleobacter asymbioticus	Polynucleobacter	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.1080559575494452
e119568b-22fa-40d2-864a-98006985d9ed	91.8	1678128	Limnohabitans sp. 63ED37-2	Limnohabitans	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0122206142466634
9bca29db-be1d-46f9-87a9-d63783554cae	91.4	230310	Curvibacter gracilis	Curvibacter	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0024119633381572
3acdec13-4672-41b4-85a8-7f7d1ab44079	92.3	2527691	Rhodoferax sp. Gr-4	Rhodoferax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.004341534008683
8ea7da31-3ab5-485a-b76d-d5a5a19c33ca	90.7	2163011	Bordetella sp. HZ20	Bordetella	Alcaligenaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0003215951117543
0e9bc3ce-6d2d-477a-a284-12d98fc6ef93	92.3	540061	Limnohabitans parvus	Limnohabitans	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0151149702524521
0939835b-6ea5-4d8a-b902-2ac5670524a4	91.3	28068	Rubrivivax gelatinosus	Rubrivivax		Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0004823926676314
ac89c9cf-da9a-4e1e-9e56-32e574c3fbe4	91.9	544681	Limnohabitans australis	Limnohabitans	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0387522109663933
ea1aa7a7-53ef-4f8b-83cc-40528c06ffab	91.1	296591	Polaromonas sp. JS666	Polaromonas	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0014471780028943
100cc58e-bc7c-45ad-a9e9-908606e8a2e9	90.1	556054	Polynucleobacter difficilis	Polynucleobacter	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0088438655732432
0e3463f7-3ee5-47f1-876f-c21afb3394b6	90.2	553814	Acidovorax carolinensis	Acidovorax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0003215951117543
be96bf52-3bed-4960-beb7-b1290bdfff71	90.9	946333	Rhizobacter gummiphilus	Rhizobacter		Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0003215951117543
b2b9b573-a726-4103-81ce-87b0c4bc9fdd	94.8	1925548	Candidatus Fonsibacter ubiquis	Candidatus Fonsibacter		Pelagibacterales	Alphaproteobacteria	Proteobacteria		Bacteria				0.0221900627110467
c91752dd-833f-4d61-a6aa-feca58d81502	91.7	83263	Aminobacter aminovorans	Aminobacter	Phyllobacteriaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria		Bacteria				0.0001607975558771
1d45006f-60c1-4c46-ac85-014e176d7cd6	91.3	1842533	Acidovorax sp. RAC01	Acidovorax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0001607975558771
a9b6fec3-91b8-450e-be8d-bcbef566f7a3	93.7	2527775	Polynucleobacter paneuropaeus	Polynucleobacter	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0082006753497346
2a603756-9401-4286-993a-e8f5c5e3e48c	92.6	1581557	Candidatus Methylopumilus planktonicus	Candidatus Methylopumilus	Methylophilaceae	Nitrosomonadales	Betaproteobacteria	Proteobacteria		Bacteria				0.0049847242321916
413492b8-f73e-4d17-a161-4ff76100cfeb	90.0	2509614	Rhodoferax sediminis	Rhodoferax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0019295706705258
2b2bf27e-3c23-4e3e-ae9e-57d291b65d8f	92.7	28090	Acinetobacter lwoffii	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria		Bacteria				0.0016079755587715
82f0744f-3553-4730-97e0-3e24032397de	92.8	192843	Rhodoferax ferrireducens	Rhodoferax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0048239266763145
e5b7add9-ce3a-4d3b-8443-f1e2ed8347bc	90.4	1743157	Polynucleobacter sinensis	Polynucleobacter	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0065926997909631
68e9412e-8c87-440b-a6d0-790114b16e01	90.7	436515	Variovorax boronicumulans	Variovorax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0009647853352629
0dd8812f-c1b2-4477-b3f4-b00f84bc5815	90.1	1795631	Variovorax sp. PAMC 28711	Variovorax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0009647853352629
3c01ff36-8092-46fa-8486-da414f3aec79	91.2	2268087	Polaromonas sp. SP1	Polaromonas	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0017687731146486
fc1704c4-6532-4bb5-8f08-4c73f3c63ec7	91.6	47421	Hydrogenophaga pseudoflava	Hydrogenophaga	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0001607975558771
4d851523-ea4d-42ac-820a-81093199c574	90.0	34073	Variovorax paradoxus	Variovorax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0073966875703489
356fef1e-3ca8-4ffe-9234-ca691198e1db	96.8	940136	Sphingorhabdus wooponensis	Sphingorhabdus	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Proteobacteria		Bacteria				0.0041807364528059
2db05d77-cc85-46ee-9fa0-d0ef01a8c33d	92.2	1884905	Candidatus Planktophila versatilis	Candidatus Planktophila	Candidatus Nanopelagicaceae	Candidatus Nanopelagicales	Actinobacteria	Actinobacteria	Terrabacteria group	Bacteria				0.0088438655732432
0e132ed9-c470-46b2-b902-501e67dae581	91.0	2478552	Flavobacterium sp. 140616W15	Flavobacterium	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidetes	FCB group	Bacteria				0.0024119633381572
12064bef-b3cc-48a7-94ed-484d4d5dcfb9	90.3	2683345	Achromobacter panacis	Achromobacter	Alcaligenaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.00112558289114
3ec3b50c-e737-429e-9333-9916da27aa24	90.2	1484693	Rhodoferax saidenbachensis	Rhodoferax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0053063193439459
3f05c21e-30d3-43cc-b842-5cf8f3db30cc	95.1	2516559	Aquirufa antheringensis	Aquirufa	Cytophagaceae	Cytophagales	Cytophagia	Bacteroidetes	FCB group	Bacteria				0.1115935037787425
16ec7708-5ef9-4a4f-a150-233e5c3704a9	94.3	1233411	Ideonella paludis	Ideonella		Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0004823926676314
5858374b-20e3-43ef-a186-04e393f2ddd0	90.8	80879	Curvibacter delicatus	Curvibacter	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0062711046792088
9374c38f-9b6a-472c-a3fb-da8bcce5cf34	90.1	55197	Flavobacterium branchiophilum	Flavobacterium	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidetes	FCB group	Bacteria				0.0008039877793857
6243b477-7a57-4922-bbab-4faf6a13d5a0	90.1	2494374	Tabrizicola piscis	Tabrizicola	Rhodobacteraceae	Rhodobacterales	Alphaproteobacteria	Proteobacteria		Bacteria				0.0001607975558771
70db9cf4-3e1e-4b31-98fa-33d70b3851e7	90.0	1743168	Polynucleobacter wuianus	Polynucleobacter	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0008039877793857
feead368-7cb4-4c50-9cc4-428d2006fd1f	93.2	232537	Rhodoluna limnophila	Rhodoluna	Microbacteriaceae	Micrococcales	Actinobacteria	Actinobacteria	Terrabacteria group	Bacteria				0.0016079755587715
e35a4650-b08f-44d1-b1a1-883117a6319d	92.1	169679	Clostridium saccharobutylicum	Clostridium	Clostridiaceae	Clostridiales	Clostridia	Firmicutes	Terrabacteria group	Bacteria				0.0001607975558771
b6ef2ae8-de03-469e-949c-0b478c7c02df	90.1	1078469	Sphingorhabdus planktonica	Sphingorhabdus	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Proteobacteria		Bacteria				0.0147933751406978
fa9bbeac-1922-46ed-903d-e79f0b4444de	90.3	1581680	Candidatus Methylopumilus turicensis	Candidatus Methylopumilus	Methylophilaceae	Nitrosomonadales	Betaproteobacteria	Proteobacteria		Bacteria				0.0027335584499115
f343afed-47b6-4f98-bea0-35768b8861ef	90.3	180195	Herbaspirillum autotrophicum	Herbaspirillum	Oxalobacteraceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0009647853352629
