centroid	identity	tax_id	species	genus	family	order	class	phylum	clade	superkingdom	subspecies	species subgroup	species group	abundance
c992b3e9-fad2-425b-8bee-9521c1681994	91.4	1678129	Limnohabitans sp. 103DPR2	Limnohabitans	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.152317880794702
308e4d0b-ed65-41ab-9da3-7f167fae9a7c	90.8	576610	Polynucleobacter necessarius	Polynucleobacter	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0395067366978762
44d930b3-55f6-4ecf-ab0f-3ba6bab7f0e7	92.9	323423	Limnohabitans curvus	Limnohabitans	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.341858871888559
2688ccfc-536b-4ff8-b5d5-8c245007f57d	90.2	2527691	Rhodoferax sp. Gr-4	Rhodoferax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0066225165562913
1ff15963-6859-4f4d-8103-e57f9b437984	90.8	359408	Methylotenera mobilis	Methylotenera	Methylophilaceae	Nitrosomonadales	Betaproteobacteria	Proteobacteria		Bacteria				0.002055263758849
dbf21e9b-4473-472b-ae34-77198add1c93	97.0	2516559	Aquirufa antheringensis	Aquirufa	Cytophagaceae	Cytophagales	Cytophagia	Bacteroidetes	FCB group	Bacteria				0.0468143411737839
3adbe69e-7de9-4c96-8b2c-8acd19ddf486	91.4	2049319	Polynucleobacter victoriensis	Polynucleobacter	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0392783740580041
efefef45-f43c-4fc2-966b-aa22ae1443be	94.1	543913	beta proteobacterium CB				Betaproteobacteria	Proteobacteria		Bacteria				0.0150719342315597
6a962840-94d6-4ebc-bf44-8f0a7529acfb	90.4	80879	Curvibacter delicatus	Curvibacter	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0114181319936058
89a48afd-cf82-4aa1-8079-2e6340609b0e	91.3	544681	Limnohabitans australis	Limnohabitans	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0687371546015072
0f82f6d8-884f-472f-9eaa-27521c3be085	94.6	540061	Limnohabitans parvus	Limnohabitans	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0369947476592829
3cfbc92d-fc51-47b9-8624-4a2b7fa5c61a	93.7	1678128	Limnohabitans sp. 63ED37-2	Limnohabitans	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.019639187029002
eb5a48f7-25c1-40c3-afe4-40d8aad49af7	90.4	1581557	Candidatus Methylopumilus planktonicus	Candidatus Methylopumilus	Methylophilaceae	Nitrosomonadales	Betaproteobacteria	Proteobacteria		Bacteria				0.0009134505594884
6dd869b1-874f-4f05-b258-44e258505336	94.2	576611	Polynucleobacter asymbioticus	Polynucleobacter	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0484128796528887
7acf7488-6d7a-465f-aed1-8dbeae4fb028	90.0	2509614	Rhodoferax sediminis	Rhodoferax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0015985384791048
63123cd4-788c-4ab6-a191-25aa501c47ff	92.0	2603856	Lacisediminimonas profundi	Lacisediminimonas	Oxalobacteraceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0018269011189769
66473637-7b62-4718-bdc9-a0991109de29	91.3	131080	Limnobacter thiooxidans	Limnobacter	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0018269011189769
d3c741a3-0a56-4d43-a365-6f36a871a95a	93.4	192843	Rhodoferax ferrireducens	Rhodoferax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0022836263987211
48d2d208-32e5-48db-ad2e-5dc49d026be1	91.4	1581680	Candidatus Methylopumilus turicensis	Candidatus Methylopumilus	Methylophilaceae	Nitrosomonadales	Betaproteobacteria	Proteobacteria		Bacteria				0.0095912308746289
0972279d-61b4-4d87-ad32-c794e0ce0b69	91.8	1484693	Rhodoferax saidenbachensis	Rhodoferax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0068508791961635
