centroid	identity	tax_id	species	genus	family	order	class	phylum	clade	superkingdom	subspecies	species subgroup	species group	abundance
6f821652-10dd-459e-9b82-258b534fa63e	94.1	576611	Polynucleobacter asymbioticus	Polynucleobacter	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0909514925373134
a3afcc78-6899-4169-ae99-8e122608834c	90.6	2603856	Lacisediminimonas profundi	Lacisediminimonas	Oxalobacteraceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0023320895522388
16687e9b-d733-414e-8395-684527c9bf18	92.4	1678129	Limnohabitans sp. 103DPR2	Limnohabitans	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0764925373134328
d731a817-0c00-4697-bb15-a65cced6cde9	93.6	351345	Polynucleobacter cosmopolitanus	Polynucleobacter	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0111940298507462
5fc7220e-b613-417b-a0f5-2c3f520d21d5	93.4	576610	Polynucleobacter necessarius	Polynucleobacter	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0333488805970149
5beafc52-b1e0-4d2b-8726-4e0f388033fd	93.1	323423	Limnohabitans curvus	Limnohabitans	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.3915578358208955
82c1c209-f282-4350-b175-26aa09089f3d	90.6	80879	Curvibacter delicatus	Curvibacter	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0181902985074626
3701d1cd-3288-4317-8f5a-36710bd88045	93.9	544681	Limnohabitans australis	Limnohabitans	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0634328358208955
f730bec8-c3b4-49f1-aba8-646baff4b45b	90.5	1938605	Brevundimonas sp. LM2	Brevundimonas	Caulobacteraceae	Caulobacterales	Alphaproteobacteria	Proteobacteria		Bacteria				0.0002332089552238
d3bcbceb-e5fa-472e-b5ce-40b9d3f270a4	92.5	230310	Curvibacter gracilis	Curvibacter	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0046641791044776
f37de59f-aa4d-4809-acda-cfeeae09fda7	93.8	543913	beta proteobacterium CB				Betaproteobacteria	Proteobacteria		Bacteria				0.0275186567164179
0b95db64-f900-4d10-9e52-2834c97632e8	94.0	1678128	Limnohabitans sp. 63ED37-2	Limnohabitans	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0212220149253731
f42968fe-8988-455d-a1e2-3223f77ee182	90.7	376815	Variovorax soli	Variovorax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0004664179104477
57ef43c7-a21f-4304-ade9-d52abcd991a6	93.9	2049319	Polynucleobacter victoriensis	Polynucleobacter	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0461753731343283
d1ba9e1e-c48c-4901-9f7d-96af16a05710	92.9	540061	Limnohabitans parvus	Limnohabitans	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0438432835820895
36f73d8d-e7b1-4a1a-a768-6bd48d920b5a	90.0	1581557	Candidatus Methylopumilus planktonicus	Candidatus Methylopumilus	Methylophilaceae	Nitrosomonadales	Betaproteobacteria	Proteobacteria		Bacteria				0.0004664179104477
3e10a0a1-8fe0-4848-a127-df1c10f85bf1	95.3	2516559	Aquirufa antheringensis	Aquirufa	Cytophagaceae	Cytophagales	Cytophagia	Bacteroidetes	FCB group	Bacteria				0.0221548507462686
666c296b-168c-4414-882c-1442548409fb	90.1	2509614	Rhodoferax sediminis	Rhodoferax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0016324626865671
