centroid	identity	tax_id	species	genus	family	order	class	phylum	clade	superkingdom	subspecies	species subgroup	species group	abundance
4c80a7a7-e07e-4177-82b5-4eccf0544481	94.5	1678129	Limnohabitans sp. 103DPR2	Limnohabitans	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.047782874617737
2d518d92-6238-4f93-ae22-dfff1bd1e256	93.6	576611	Polynucleobacter asymbioticus	Polynucleobacter	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.1288226299694189
cfd65553-4f0b-47d3-a382-ba3f254e4d31	92.1	576610	Polynucleobacter necessarius	Polynucleobacter	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0588685015290519
f191b9ce-c4e6-42e4-a51e-35fe31284312	94.8	2049319	Polynucleobacter victoriensis	Polynucleobacter	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.1869266055045871
8b80d6ba-9bff-4860-9b81-8f75c83b9d5e	90.9	351345	Polynucleobacter cosmopolitanus	Polynucleobacter	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0149082568807339
b5e1f152-8092-4419-9986-9232a1b0f9ce	93.3	543913	beta proteobacterium CB				Betaproteobacteria	Proteobacteria		Bacteria				0.0821865443425076
aef623a9-1a71-4c64-8e29-f9aa207ddfbe	93.5	323423	Limnohabitans curvus	Limnohabitans	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.246177370030581
351eb415-6c4c-43f4-86bf-367b4e626535	94.0	544681	Limnohabitans australis	Limnohabitans	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0619266055045871
e7d7935b-921e-49b4-9708-0dd6bd74e623	91.1	247486	Curvibacter fontanus	Curvibacter	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0011467889908256
1be7544c-8575-483d-8681-c62818454af5	91.9	1827305	Stenotrophomonas sp. MYb57	Stenotrophomonas	Xanthomonadaceae	Xanthomonadales	Gammaproteobacteria	Proteobacteria		Bacteria				0.0003822629969418
