centroid	identity	tax_id	species	genus	family	order	class	phylum	clade	superkingdom	subspecies	species subgroup	species group	abundance
f8584c72-8803-4981-a4d3-c45ea7f7220d	90.1	80879	Curvibacter delicatus	Curvibacter	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0116790154464397
cfa10785-5f50-4695-b740-ebc90a854a51	90.4	576610	Polynucleobacter necessarius	Polynucleobacter	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.1770689438653773
4a1de54c-7141-4f11-a7e4-b276561f6c1f	93.2	576611	Polynucleobacter asymbioticus	Polynucleobacter	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0994600025116162
38bf0f6f-0af7-42a6-aabf-0715a1d0c56a	92.2	2049319	Polynucleobacter victoriensis	Polynucleobacter	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.1275901042320733
982c7e50-4890-4bc3-b4bd-bc49c6538c32	91.8	1678129	Limnohabitans sp. 103DPR2	Limnohabitans	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.1196785131231947
4b5f64f9-9d66-47fc-a1bf-68e61c95d270	94.9	323423	Limnohabitans curvus	Limnohabitans	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.1966595504206957
91ab5d45-e4ac-466c-b035-c004f37f7afe	91.2	2509614	Rhodoferax sediminis	Rhodoferax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0018837121687806
8048fc08-bf65-45e9-8aa5-1aa5c4600d1e	92.1	1324350	Acinetobacter equi	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria		Bacteria				0.000125580811252
cc913bf0-3e34-45a1-a738-320ff46401de	94.3	543913	beta proteobacterium CB				Betaproteobacteria	Proteobacteria		Bacteria				0.0737159362049478
a7b7b001-e25c-4e0f-8b2b-f0b5ad7087d6	92.1	1678128	Limnohabitans sp. 63ED37-2	Limnohabitans	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0016325505462765
fce813f1-9fdb-41b7-a8bb-19a7a0019ac4	92.6	2527691	Rhodoferax sp. Gr-4	Rhodoferax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0045209092050734
36e5959e-4d29-41f9-b5e1-a8aafc91bb56	90.1	436515	Variovorax boronicumulans	Variovorax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0018837121687806
12aed214-e8df-46c2-9307-af997ecb7d62	94.7	654	Aeromonas veronii	Aeromonas	Aeromonadaceae	Aeromonadales	Gammaproteobacteria	Proteobacteria		Bacteria				0.0011302273012683
9fc538a7-5804-498e-b74b-747416e343dd	90.2	34073	Variovorax paradoxus	Variovorax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.006404621373854
bf03443e-2e65-4b78-9072-2e28a10021e3	96.2	28090	Acinetobacter lwoffii	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria		Bacteria				0.0022604546025367
ca4ba8a5-9392-4a84-9386-d04e6cf0924b	91.3	1581557	Candidatus Methylopumilus planktonicus	Candidatus Methylopumilus	Methylophilaceae	Nitrosomonadales	Betaproteobacteria	Proteobacteria		Bacteria				0.0026371970362928
1bc5122b-c62a-4d6c-b0ae-5507c470edca	91.6	1224749	Exiguobacterium sp. ZWU0009	Exiguobacterium		Bacillales	Bacilli	Firmicutes	Terrabacteria group	Bacteria				0.0003767424337561
7a1184c0-b5cd-49f8-8fff-32446fa77ad6	91.3	94132	Ramlibacter tataouinensis	Ramlibacter	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0013813889237724
d75875d1-2f65-4f68-ac10-5c58d58efdf6	92.1	544681	Limnohabitans australis	Limnohabitans	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0413160869019213
51b05c25-e1b4-4046-b2d4-10d5fa2e1c89	92.6	998844	Allopseudarcicella aquatilis	Allopseudarcicella	Cytophagaceae	Cytophagales	Cytophagia	Bacteroidetes	FCB group	Bacteria				0.0005023232450081
278cad42-8f7a-4907-b3d6-049ad74cfc57	92.6	29430	Acinetobacter haemolyticus	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria		Bacteria				0.0005023232450081
2464c437-760e-4e2b-9108-bebfc0ca3248	94.0	2527775	Polynucleobacter paneuropaeus	Polynucleobacter	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0140650508602285
7ab0cb82-0123-4cbb-9862-cf2378db667c	91.6	1581680	Candidatus Methylopumilus turicensis	Candidatus Methylopumilus	Methylophilaceae	Nitrosomonadales	Betaproteobacteria	Proteobacteria		Bacteria				0.0042697475825693
0b0fc4d7-9583-4736-b7d2-e76674070213	91.0	2126319	Variovorax sp. PMC12	Variovorax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.000125580811252
c1f02785-aa65-4495-899a-61924b49c53d	91.3	28068	Rubrivivax gelatinosus	Rubrivivax		Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0005023232450081
95a3cdb9-d6ae-4cba-b889-20735bd530bb	92.0	1608473	Acinetobacter sp. NCu2D-2	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria		Bacteria				0.000251161622504
0131f521-487c-47e8-abaa-34e8e58283cc	93.1	2603856	Lacisediminimonas profundi	Lacisediminimonas	Oxalobacteraceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0020092929800326
d69bf58f-5f61-4a1d-806a-b02ddad93433	91.9	351345	Polynucleobacter cosmopolitanus	Polynucleobacter	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.009418560843903
36fe1dc1-f0a0-483e-a115-1f82f7f54825	94.2	573600	Candidatus Planktophila limnetica	Candidatus Planktophila	Candidatus Nanopelagicaceae	Candidatus Nanopelagicales	Actinobacteria	Actinobacteria	Terrabacteria group	Bacteria				0.000125580811252
234a7d39-5095-496b-8fa9-7440b5e5c1cb	90.2	1795631	Variovorax sp. PAMC 28711	Variovorax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.000251161622504
f0a0fbda-fa2d-49d9-bce9-4ad8be1391a6	90.2	363844	Variovorax ginsengisoli	Variovorax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0006279040562602
9f04db7e-8e24-44bf-8ce3-304d3615a814	92.6	169177	Exiguobacterium undae	Exiguobacterium		Bacillales	Bacilli	Firmicutes	Terrabacteria group	Bacteria				0.0003767424337561
7593a43d-89ab-4ad9-8661-51f0c3fe5697	90.2	76731	Roseateles depolymerans	Roseateles		Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.000251161622504
98eef3fe-0eb1-4183-a2a9-bd16d8e43611	94.2	247486	Curvibacter fontanus	Curvibacter	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0008790656787642
24c2a066-ac40-4e39-9019-2816c1879804	92.6	230310	Curvibacter gracilis	Curvibacter	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0056511365063418
ff470ac4-4c4d-45b4-a53d-b5cca4fec6af	90.2	86182	Curvibacter lanceolatus	Curvibacter	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0007534848675122
323adb0f-ee08-429a-9b5e-e47c95f020db	93.3	285	Comamonas testosteroni	Comamonas	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0003767424337561
4c282e0a-05e5-4316-98df-2c187a8836dc	90.4	131080	Limnobacter thiooxidans	Limnobacter	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0005023232450081
133393e2-7f6b-44e7-a53e-c024e9c1fd29	90.3	964	Herbaspirillum seropedicae	Herbaspirillum	Oxalobacteraceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0007534848675122
48eb7995-809b-4568-b5f5-384f017b8ce2	90.9	328692	Deinococcus aquaticus	Deinococcus	Deinococcaceae	Deinococcales	Deinococci	Deinococcus-Thermus	Terrabacteria group	Bacteria				0.0003767424337561
1cbae59d-1fae-44a1-8700-6fb9d14e4f0f	92.6	2202142	Chromobacterium sp. IIBBL 274-1	Chromobacterium	Chromobacteriaceae	Neisseriales	Betaproteobacteria	Proteobacteria		Bacteria				0.000125580811252
68810c80-f7a7-42da-b9ba-fda94bb8b113	95.9	940136	Sphingorhabdus wooponensis	Sphingorhabdus	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Proteobacteria		Bacteria				0.000251161622504
4a635106-7eaa-4bcb-9fd5-caf9a6ea6e5f	91.3	946333	Rhizobacter gummiphilus	Rhizobacter		Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.000251161622504
6099e00c-f908-4491-8f32-dc6eaf10f29e	94.0	1176536	Novosphingobium ginsenosidimutans	Novosphingobium	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Proteobacteria		Bacteria				0.000125580811252
53cef18b-e658-4552-8d03-47e7d42fb228	91.1	2497863	Janthinobacterium sp. 17J80-10	Janthinobacterium	Oxalobacteraceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.000125580811252
3db836aa-b384-4fc7-9a8d-f668dcc7afce	95.8	2516559	Aquirufa antheringensis	Aquirufa	Cytophagaceae	Cytophagales	Cytophagia	Bacteroidetes	FCB group	Bacteria				0.0105487881451714
a35b481e-b393-4801-ae2e-ea3176fdcf6e	90.5	376	Bradyrhizobium sp.	Bradyrhizobium	Bradyrhizobiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria		Bacteria				0.000125580811252
0509726c-9a67-408a-b537-069dde86d6f6	91.2	1484693	Rhodoferax saidenbachensis	Rhodoferax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0022604546025367
dbd55417-ef7d-4f1f-8a11-0667461ae6d5	94.6	1224511	Noviherbaspirillum suwonense	Noviherbaspirillum	Oxalobacteraceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.000251161622504
f1ea8b0e-94f7-4f71-ba18-8f11b10b147a	90.5	80869	Acidovorax citrulli	Acidovorax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.000125580811252
a3ea2e2e-dae9-4c98-ba8a-bbeded107537	91.6	106649	Acinetobacter guillouiae	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria		Bacteria				0.000125580811252
6e035e1f-a7a1-42c6-b494-53d746c04af4	91.5	56119	Castellaniella denitrificans	Castellaniella	Alcaligenaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.000125580811252
ea17609e-e56f-4617-a164-545e9435c0a0	91.5	666702	Undibacterium oligocarboniphilum	Undibacterium	Oxalobacteraceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.000125580811252
680524a5-4b12-45c0-b514-2ce5decec0d0	92.7	1842533	Acidovorax sp. RAC01	Acidovorax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0008790656787642
d112209a-35a7-4514-96f7-c2de4c3a6978	92.6	2231055	Dechloromonas sp. HYN0024	Dechloromonas	Azonexaceae	Rhodocyclales	Betaproteobacteria	Proteobacteria		Bacteria				0.000125580811252
02306dbd-ec7c-4cbb-8526-f538eb60c7cb	96.6	281	Xanthobacter flavus	Xanthobacter	Xanthobacteraceae	Rhizobiales	Alphaproteobacteria	Proteobacteria		Bacteria				0.000125580811252
ddd1946a-3660-4a48-aff1-cd7272da7a47	91.2	57498	Deinococcus grandis	Deinococcus	Deinococcaceae	Deinococcales	Deinococci	Deinococcus-Thermus	Terrabacteria group	Bacteria				0.0005023232450081
9070bf15-92a0-41f8-8b62-981e847d778a	90.7	346179	Herbaspirillum rhizosphaerae	Herbaspirillum	Oxalobacteraceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.000125580811252
c64388b0-441d-4cda-ae31-ef439631d05a	93.0	1344950	Undibacterium seohonense	Undibacterium	Oxalobacteraceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0003767424337561
9e75a189-622e-492e-93b5-dd9e7ae824bd	90.2	356302	Chitinimonas koreensis	Chitinimonas	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.000125580811252
87b4f09e-6cc1-455b-8f49-bef590d18cc3	91.6	2072590	Massilia armeniaca	Massilia	Oxalobacteraceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.000125580811252
a839d79e-576e-44ce-bb0c-f1c892e8f988	94.1	1884914	Candidatus Planktophila dulcis	Candidatus Planktophila	Candidatus Nanopelagicaceae	Candidatus Nanopelagicales	Actinobacteria	Actinobacteria	Terrabacteria group	Bacteria				0.0013813889237724
