centroid	identity	tax_id	species	genus	family	order	class	phylum	clade	superkingdom	subspecies	species subgroup	species group	abundance
9940a119-11d3-4be0-b020-51543dc87e1f	92.7	576610	Polynucleobacter necessarius	Polynucleobacter	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.2634784862623121
429f6496-96b6-4e36-af9b-f965f6092f31	91.0	1884914	Candidatus Planktophila dulcis	Candidatus Planktophila	Candidatus Nanopelagicaceae	Candidatus Nanopelagicales	Actinobacteria	Actinobacteria	Terrabacteria group	Bacteria				0.0018144116122343
6892488e-7740-4123-8520-9abbe592fb91	93.2	1678129	Limnohabitans sp. 103DPR2	Limnohabitans	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0492483151892172
ffaf5bc8-527d-4f70-8e41-f3f9c6dbb109	94.1	2527775	Polynucleobacter paneuropaeus	Polynucleobacter	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0723172628304821
52bfdad7-ea9a-4614-8fff-64d6cfb5258f	92.9	323423	Limnohabitans curvus	Limnohabitans	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0807413167444271
b24d501d-8b86-4d5a-ba99-e36c74d4a871	91.9	576611	Polynucleobacter asymbioticus	Polynucleobacter	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.1814411612234318
4b182218-901d-48a8-ad59-7d8c25695ae8	96.2	453	Legionella feeleii	Legionella	Legionellaceae	Legionellales	Gammaproteobacteria	Proteobacteria		Bacteria				0.0003888024883359
3b661423-28cd-46c9-912b-b98fe14d10a9	94.0	543913	beta proteobacterium CB				Betaproteobacteria	Proteobacteria		Bacteria				0.1110679108346293
7c0138d4-25f3-4249-891f-6fe7ab04d506	93.6	556053	Polynucleobacter acidiphobus	Polynucleobacter	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0060912389839294
6054b5c4-8508-4702-ac02-a979a4f93f84	90.0	1917811	Tibeticola sediminis	Tibeticola	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0049248315189217
b38ebe4b-7928-48e9-8dd8-2aefef45e2b3	90.6	2516559	Aquirufa antheringensis	Aquirufa	Cytophagaceae	Cytophagales	Cytophagia	Bacteroidetes	FCB group	Bacteria				0.0417314670813893
cd8da112-323f-46b2-a9f4-1a53ab785979	95.6	540061	Limnohabitans parvus	Limnohabitans	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0062208398133748
5357fdf1-6bf1-4b62-867a-78b1117fdcc5	90.7	34073	Variovorax paradoxus	Variovorax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0045360290305857
63eae1ab-296a-42e2-b82e-1ff4aa821a82	90.6	213312	Herbaspirillum lusitanum	Herbaspirillum	Oxalobacteraceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0002592016588906
7b92fc48-8759-46aa-94a8-f53abf9ec5c0	90.0	2527691	Rhodoferax sp. Gr-4	Rhodoferax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0028512182477967
e354ddfd-842d-4477-a077-da27f87fa878	91.6	230310	Curvibacter gracilis	Curvibacter	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0063504406428201
e4d5338e-8321-4b32-9c27-b235a0cea3fd	92.1	54067	Xylophilus ampelinus	Xylophilus		Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0007776049766718
7a8e18d4-e799-476f-a78b-43d5d9b24370	90.4	1484693	Rhodoferax saidenbachensis	Rhodoferax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0028512182477967
28f85ee1-ad3d-4a9a-83f3-02e2db618f4a	91.0	34029	Leptothrix cholodnii	Leptothrix		Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0001296008294453
7d8e14b3-df46-49dd-9e2c-889412c2b16a	95.5	351345	Polynucleobacter cosmopolitanus	Polynucleobacter	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.001684810782789
43d177a3-1902-476f-bd87-38509a7ab118	90.0	998844	Allopseudarcicella aquatilis	Allopseudarcicella	Cytophagaceae	Cytophagales	Cytophagia	Bacteroidetes	FCB group	Bacteria				0.0024624157594608
5e8e8579-7688-4be6-954b-a2dbde5817c2	94.7	2049319	Polynucleobacter victoriensis	Polynucleobacter	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0093312597200622
ebc89efb-50cd-42f5-9e60-51fb6ea50ace	96.0	544681	Limnohabitans australis	Limnohabitans	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.025660964230171
53479cb2-f352-41c0-a2e7-ecaf0448bcb5	93.0	94132	Ramlibacter tataouinensis	Ramlibacter	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0055728356661482
d04eb746-dff7-4a1f-860f-f4e7d3567d94	90.9	1055487	Methylotenera versatilis	Methylotenera	Methylophilaceae	Nitrosomonadales	Betaproteobacteria	Proteobacteria		Bacteria				0.0006480041472265
