centroid	identity	tax_id	species	genus	family	order	class	phylum	clade	superkingdom	subspecies	species subgroup	species group	abundance
9be6e388-f1a1-4d04-b8cb-13a08a1a12d1	92.8	1678129	Limnohabitans sp. 103DPR2	Limnohabitans	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0314465408805031
baf0b879-a149-4be9-97a6-aeed64e5055c	92.7	323423	Limnohabitans curvus	Limnohabitans	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.1983752620545073
73b53464-19a5-4729-9dc9-608b7158fa3d	92.8	576610	Polynucleobacter necessarius	Polynucleobacter	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.1014150943396226
6f46a422-3803-4568-99da-2bdbfc797625	90.2	134	Methylocystis parvus	Methylocystis	Methylocystaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria		Bacteria				0.0078616352201257
2c42dd35-73b3-4394-97a6-96865d2f758d	93.5	576611	Polynucleobacter asymbioticus	Polynucleobacter	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.2552410901467505
9b078f62-dbd4-4a7a-ae42-5bf2d150ce56	93.9	2527775	Polynucleobacter paneuropaeus	Polynucleobacter	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0513626834381551
fa0d4c64-b7c8-4424-840d-9d10451d0e37	91.4	535712	Candidatus Rhodoluna planktonica	Rhodoluna	Microbacteriaceae	Micrococcales	Actinobacteria	Actinobacteria	Terrabacteria group	Bacteria				0.0010482180293501
7aa5ce43-9529-4157-b0ec-26ae108ecf2d	94.7	543913	beta proteobacterium CB				Betaproteobacteria	Proteobacteria		Bacteria				0.065775681341719
1f763cba-043a-40fa-b2a5-0b4849b8f096	93.6	351345	Polynucleobacter cosmopolitanus	Polynucleobacter	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0028825995807127
d8227378-f4c3-43d4-b482-9f0b8f42f001	91.8	2527691	Rhodoferax sp. Gr-4	Rhodoferax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0023584905660377
f70bce80-b155-4e08-9572-3dc104330676	93.8	2049319	Polynucleobacter victoriensis	Polynucleobacter	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0511006289308176
0b0a7fb9-23f1-4b08-8c8d-e0c86b0174ab	91.4	57498	Deinococcus grandis	Deinococcus	Deinococcaceae	Deinococcales	Deinococci	Deinococcus-Thermus	Terrabacteria group	Bacteria				0.000524109014675
4e284048-0367-41c9-816e-06ce0930f23f	96.0	65656	Hydrogenophaga taeniospiralis	Hydrogenophaga	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0002620545073375
88e8455b-98cc-4a37-8fb4-9d0f4f19c46c	93.5	1581680	Candidatus Methylopumilus turicensis	Candidatus Methylopumilus	Methylophilaceae	Nitrosomonadales	Betaproteobacteria	Proteobacteria		Bacteria				0.0044549266247379
95cf76b4-5afc-4446-996a-3c6ed5e9993b	93.9	544681	Limnohabitans australis	Limnohabitans	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.035901467505241
5cbc81b8-25cc-4256-80b7-9831dc8a9f18	94.3	160799	Paenibacillus borealis	Paenibacillus	Paenibacillaceae	Bacillales	Bacilli	Firmicutes	Terrabacteria group	Bacteria				0.0010482180293501
326013a9-ba6d-4910-98ec-c5898488df91	90.0	1768242	Paucibacter sp. KCTC 42545	Paucibacter		Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0007861635220125
e2e0a6a5-fd6b-4b1b-97eb-cc5df33a66fb	93.8	1678128	Limnohabitans sp. 63ED37-2	Limnohabitans	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0036687631027253
0b685087-339f-44b3-929a-78854c9a47dd	91.6	1556	Gottschalkia acidurici	Gottschalkia	Gottschalkiaceae	Tissierellales	Tissierellia	Firmicutes	Terrabacteria group	Bacteria				0.0002620545073375
afa973ef-177c-40ae-9809-a3dee428f881	93.2	1224749	Exiguobacterium sp. ZWU0009	Exiguobacterium		Bacillales	Bacilli	Firmicutes	Terrabacteria group	Bacteria				0.0026205450733752
10fba75a-fe3c-4b7f-a6ff-f98cabb8982c	94.6	41170	Exiguobacterium acetylicum	Exiguobacterium		Bacillales	Bacilli	Firmicutes	Terrabacteria group	Bacteria				0.0075995807127882
4b2ac248-d855-4619-9d30-2b4bdffcb5ff	92.9	232537	Rhodoluna limnophila	Rhodoluna	Microbacteriaceae	Micrococcales	Actinobacteria	Actinobacteria	Terrabacteria group	Bacteria				0.0039308176100628
14a63d2b-8eb1-4acb-bc05-fe6d0dc70108	95.4	59779	Paracoccus marcusii	Paracoccus	Rhodobacteraceae	Rhodobacterales	Alphaproteobacteria	Proteobacteria		Bacteria				0.000524109014675
6be07247-63c8-4ff7-a0c5-645a4e1747b9	95.3	192843	Rhodoferax ferrireducens	Rhodoferax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0083857442348008
1c93c235-9f17-4dea-b6df-9993f93a7c5c	92.1	748811	Sulfuritalea hydrogenivorans	Sulfuritalea	Sterolibacteriaceae	Nitrosomonadales	Betaproteobacteria	Proteobacteria		Bacteria				0.0013102725366876
aa6b984f-7549-4604-b1e3-d425e54d958b	93.2	53453	Lamprocystis roseopersicina	Lamprocystis	Chromatiaceae	Chromatiales	Gammaproteobacteria	Proteobacteria		Bacteria				0.000524109014675
66bd009c-5723-4149-9331-a8328fc0b96f	91.0	281362	Dechloromonas denitrificans	Dechloromonas	Azonexaceae	Rhodocyclales	Betaproteobacteria	Proteobacteria		Bacteria				0.000524109014675
0a1e0e00-6224-461c-af4a-23cba042b76b	95.1	2516559	Aquirufa antheringensis	Aquirufa	Cytophagaceae	Cytophagales	Cytophagia	Bacteroidetes	FCB group	Bacteria				0.0031446540880503
1faddb5a-fcdf-47d9-837f-56f8256b2006	93.5	675874	Tolumonas osonensis	Tolumonas	Aeromonadaceae	Aeromonadales	Gammaproteobacteria	Proteobacteria		Bacteria				0.0007861635220125
ec5bd8f2-7ee6-4029-8737-2758a265b641	92.0	36745	Clostridium saccharoperbutylacetonicum	Clostridium	Clostridiaceae	Clostridiales	Clostridia	Firmicutes	Terrabacteria group	Bacteria				0.0013102725366876
8516d5cd-ddb4-470f-966c-7cc5dde07db0	92.5	1290	Staphylococcus hominis	Staphylococcus	Staphylococcaceae	Bacillales	Bacilli	Firmicutes	Terrabacteria group	Bacteria				0.0002620545073375
15b890fe-bc33-4b39-90f7-719f27eaa6be	91.2	1310417	Ferruginibacter paludis	Ferruginibacter	Chitinophagaceae	Chitinophagales	Chitinophagia	Bacteroidetes	FCB group	Bacteria				0.0002620545073375
dc232e1d-f11a-413b-8059-803f6f8d915d	90.5	230310	Curvibacter gracilis	Curvibacter	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0031446540880503
d8b90e9a-c119-448a-882d-c439756c9c38	91.2	1484693	Rhodoferax saidenbachensis	Rhodoferax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0133647798742138
361970b3-8baf-4f47-96a8-bfd8211486af	90.1	80879	Curvibacter delicatus	Curvibacter	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0081236897274633
9f18ab83-1493-4528-923e-92bfd744ac2b	91.6	217203	Achromobacter spanius	Achromobacter	Alcaligenaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0002620545073375
fa72bad3-db58-453b-a8a0-161557f89d5a	92.1	1399115	Exiguobacterium sp. MH3	Exiguobacterium		Bacillales	Bacilli	Firmicutes	Terrabacteria group	Bacteria				0.0010482180293501
87b91e20-70d2-41ee-8611-10b159035c51	91.9	2579977	Brevundimonas sp. SGAir0440	Brevundimonas	Caulobacteraceae	Caulobacterales	Alphaproteobacteria	Proteobacteria		Bacteria				0.000524109014675
04eeacd8-5999-435d-98cc-6243c19ccb35	91.5	540061	Limnohabitans parvus	Limnohabitans	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0013102725366876
02fffe7f-d1e0-4316-a21e-7e0fad9ea2b2	90.5	1743157	Polynucleobacter sinensis	Polynucleobacter	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0115303983228511
4b3adb41-6bba-4de8-b1f8-fd144b751e68	91.2	426	Methylosinus trichosporium	Methylosinus	Methylocystaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria		Bacteria				0.0026205450733752
85d0564b-ced0-41a6-b00d-29f6a24f6762	90.2	540060	Limnohabitans planktonicus	Limnohabitans	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0018343815513626
20514a50-9bcd-4da3-b552-a20fd957be84	91.8	1849031	Exiguobacterium sp. U13-1	Exiguobacterium		Bacillales	Bacilli	Firmicutes	Terrabacteria group	Bacteria				0.0018343815513626
92410b34-9395-4695-830c-8fd4d23e92e9	92.3	286698	Geobacter psychrophilus	Geobacter	Geobacteraceae	Desulfuromonadales	Deltaproteobacteria	Proteobacteria		Bacteria				0.0007861635220125
b7e4e6ee-bff5-477d-bb5f-28d63af0bde3	91.2	1069	Rhodomicrobium vannielii	Rhodomicrobium	Hyphomicrobiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria		Bacteria				0.0052410901467505
