centroid	identity	tax_id	species	genus	family	order	class	phylum	clade	superkingdom	subspecies	species subgroup	species group	abundance
f050c02a-9771-4460-bdae-3569df51ae50	92.9	576610	Polynucleobacter necessarius	Polynucleobacter	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.2328667953667953
522eb8a8-f143-44f6-baec-428989460c8b	92.1	2516559	Aquirufa antheringensis	Aquirufa	Cytophagaceae	Cytophagales	Cytophagia	Bacteroidetes	FCB group	Bacteria				0.0562258687258687
2b365356-761f-4758-85f6-5f8fdad9eb98	93.4	1678129	Limnohabitans sp. 103DPR2	Limnohabitans	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0634652509652509
7b9ad5fd-2a3d-4333-bf49-c7616b4cc075	95.3	576611	Polynucleobacter asymbioticus	Polynucleobacter	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.2229729729729729
d7b32272-015b-40c6-986c-7d99647c613b	95.0	1848255	Actinobacteria bacterium IMCC25003					Actinobacteria	Terrabacteria group	Bacteria				0.0043436293436293
18f20809-8260-4817-8779-7bcddc0f28e9	93.8	998844	Allopseudarcicella aquatilis	Allopseudarcicella	Cytophagaceae	Cytophagales	Cytophagia	Bacteroidetes	FCB group	Bacteria				0.005550193050193
665346d7-2175-48fe-b8a2-d1d31bcbb30d	90.4	446	Legionella pneumophila	Legionella	Legionellaceae	Legionellales	Gammaproteobacteria	Proteobacteria		Bacteria				0.0007239382239382
48ac4265-074a-462e-ba49-17a42fefbc51	96.0	323423	Limnohabitans curvus	Limnohabitans	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0641891891891891
da11ca03-b8e9-4643-8260-9e9890dcbbc9	92.7	543913	beta proteobacterium CB				Betaproteobacteria	Proteobacteria		Bacteria				0.0938706563706563
409a3c15-0ada-4c6b-8348-0c49af5f1bb0	95.1	1715860	Staphylococcus sp. AntiMn-1	Staphylococcus	Staphylococcaceae	Bacillales	Bacilli	Firmicutes	Terrabacteria group	Bacteria				0.0019305019305019
a23b530f-c305-4008-a687-effbdca3fb1d	90.0	540061	Limnohabitans parvus	Limnohabitans	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0111003861003861
fd36f743-301b-424a-ad81-d898ea557e1a	90.4	238834	Clostridium estertheticum	Clostridium	Clostridiaceae	Clostridiales	Clostridia	Firmicutes	Terrabacteria group	Bacteria				0.0026544401544401
76652911-d089-43d7-b3c7-917041b8cc04	91.1	535712	Candidatus Rhodoluna planktonica	Rhodoluna	Microbacteriaceae	Micrococcales	Actinobacteria	Actinobacteria	Terrabacteria group	Bacteria				0.0036196911196911
c7c9593b-7113-4329-a23f-c356873bdf57	90.1	1484693	Rhodoferax saidenbachensis	Rhodoferax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0050675675675675
9bb8ed2f-75e6-4504-ac3f-1c7e82b4ee47	92.2	1884907	Candidatus Planktophila vernalis	Candidatus Planktophila	Candidatus Nanopelagicaceae	Candidatus Nanopelagicales	Actinobacteria	Actinobacteria	Terrabacteria group	Bacteria				0.0004826254826254
a16d351f-6a4a-48a0-bbd8-d0c8e150b51d	93.0	2527691	Rhodoferax sp. Gr-4	Rhodoferax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0012065637065637
0025bf55-3862-4784-8505-34c6c7228d48	93.2	2527775	Polynucleobacter paneuropaeus	Polynucleobacter	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0275096525096525
6db32613-ec2e-417c-a828-84dcb72db0b1	93.9	500017	Candidatus Planktoluna difficilis	Candidatus Planktoluna	Microbacteriaceae	Micrococcales	Actinobacteria	Actinobacteria	Terrabacteria group	Bacteria				0.004584942084942
41031141-f80b-4796-b264-d8a139744eae	93.4	59779	Paracoccus marcusii	Paracoccus	Rhodobacteraceae	Rhodobacterales	Alphaproteobacteria	Proteobacteria		Bacteria				0.0004826254826254
dd90b0a8-edd0-4af6-bc1b-2c205c785321	93.2	544681	Limnohabitans australis	Limnohabitans	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0125482625482625
b1a5c4b4-2a26-4d8e-9e6a-d5f2051237c9	93.0	1678128	Limnohabitans sp. 63ED37-2	Limnohabitans	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0057915057915057
8c854001-dea1-465b-b1a0-94b1fa24de81	93.2	2026199	Paraburkholderia aromaticivorans	Paraburkholderia	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0002413127413127
ea565869-258f-4d56-87cb-bed57b3f1bb3	90.1	1502	Clostridium perfringens	Clostridium	Clostridiaceae	Clostridiales	Clostridia	Firmicutes	Terrabacteria group	Bacteria				0.0007239382239382
1144caa3-73b4-4076-a242-6ed8e1d0ec3a	91.2	96230	Legionella fallonii	Legionella	Legionellaceae	Legionellales	Gammaproteobacteria	Proteobacteria		Bacteria				0.0002413127413127
9fd6188b-6623-4e03-af00-8bcfeb2a98da	92.9	31998	Methylobacterium radiotolerans	Methylobacterium	Methylobacteriaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria		Bacteria				0.0024131274131274
a72176cd-423c-463b-b9dc-804091feea9a	92.1	426	Methylosinus trichosporium	Methylosinus	Methylocystaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria		Bacteria				0.0033783783783783
474e4c9a-a184-4f8e-92b9-4cf6495e2e9f	91.6	1408	Bacillus pumilus	Bacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	Terrabacteria group	Bacteria				0.0004826254826254
4581e2b5-a83e-4e70-80aa-461c9b04aef9	94.0	1380048	Ferruginibacter profundus	Ferruginibacter	Chitinophagaceae	Chitinophagales	Chitinophagia	Bacteroidetes	FCB group	Bacteria				0.0002413127413127
215af72a-ec8a-4ac8-b833-69dd3c3fd601	95.5	134	Methylocystis parvus	Methylocystis	Methylocystaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria		Bacteria				0.0074806949806949
e3919a37-bf81-488c-92bc-c2350bf9e1b7	94.2	529884	Rhodoluna lacicola	Rhodoluna	Microbacteriaceae	Micrococcales	Actinobacteria	Actinobacteria	Terrabacteria group	Bacteria				0.0086872586872586
de1d54a4-c8e7-484c-9271-e3bd89ae9abb	92.8	1884914	Candidatus Planktophila dulcis	Candidatus Planktophila	Candidatus Nanopelagicaceae	Candidatus Nanopelagicales	Actinobacteria	Actinobacteria	Terrabacteria group	Bacteria				0.0021718146718146
320d5f78-3eb2-466a-a2a1-3978d6012ee1	90.6	46867	Clostridium chauvoei	Clostridium	Clostridiaceae	Clostridiales	Clostridia	Firmicutes	Terrabacteria group	Bacteria				0.0002413127413127
19d37736-528e-499a-af3a-0d7ec5db7d27	93.4	77097	Halomonas aquamarina	Halomonas	Halomonadaceae	Oceanospirillales	Gammaproteobacteria	Proteobacteria		Bacteria				0.0002413127413127
ab45d7d4-6c91-4065-84fc-0442c9cca235	90.1	34073	Variovorax paradoxus	Variovorax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0009652509652509
39873279-717c-447d-ba05-6fd88db52f5b	91.4	748811	Sulfuritalea hydrogenivorans	Sulfuritalea	Sterolibacteriaceae	Nitrosomonadales	Betaproteobacteria	Proteobacteria		Bacteria				0.0004826254826254
77a5b4a0-cf86-4bf3-9ddc-f99067f0a5eb	90.8	29360	Cellulosilyticum lentocellum	Cellulosilyticum	Lachnospiraceae	Clostridiales	Clostridia	Firmicutes	Terrabacteria group	Bacteria				0.0002413127413127
d5a4e736-ca43-4797-8039-ad1cc946401d	90.9	39493	Clostridium tarantellae	Clostridium	Clostridiaceae	Clostridiales	Clostridia	Firmicutes	Terrabacteria group	Bacteria				0.0002413127413127
e890fa22-7555-4612-b9b7-de06511d2cc5	93.2	1886785	Massilia agri	Massilia	Oxalobacteraceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0002413127413127
22c35b55-a9e9-4838-84a7-b56b4b384988	93.7	1743157	Polynucleobacter sinensis	Polynucleobacter	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0096525096525096
c544ae12-b4f5-41e1-8735-626e5cdc4282	91.6	1652029	Fluviicola hefeinensis	Fluviicola	Crocinitomicaceae	Flavobacteriales	Flavobacteriia	Bacteroidetes	FCB group	Bacteria				0.0002413127413127
941989c1-e943-47be-8afc-2e4d592de145	92.5	112901	Sporomusa malonica	Sporomusa	Sporomusaceae	Selenomonadales	Negativicutes	Firmicutes	Terrabacteria group	Bacteria				0.0009652509652509
36744bb7-d359-4e83-afa7-0380dbbf9464	92.8	866564	Polaromonas glacialis	Polaromonas	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0002413127413127
8f632150-4106-4a5d-9bca-f648c5b06361	91.9	192843	Rhodoferax ferrireducens	Rhodoferax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0019305019305019
beb57844-3a1c-4383-884d-4b14c0799d2a	90.7	36745	Clostridium saccharoperbutylacetonicum	Clostridium	Clostridiaceae	Clostridiales	Clostridia	Firmicutes	Terrabacteria group	Bacteria				0.0014478764478764
7b301980-7cb1-4707-922b-e245471f08ab	93.4	47917	Serratia fonticola	Serratia	Yersiniaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria		Bacteria				0.0028957528957528
91d72d66-f1a5-4519-a73e-86a07879c74f	91.1	9	Buchnera aphidicola	Buchnera	Erwiniaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria		Bacteria				0.0002413127413127
ab317a11-acaa-4e77-af06-add8b7027cfa	90.0	477641	Modestobacter marinus	Modestobacter	Geodermatophilaceae	Geodermatophilales	Actinobacteria	Actinobacteria	Terrabacteria group	Bacteria				0.0002413127413127
f12c6aee-5ff5-4129-a7dd-93e17ec9c688	90.6	556054	Polynucleobacter difficilis	Polynucleobacter	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0026544401544401
dbafa780-4fc0-47df-b3aa-68a13142c9e1	93.6	1884916	Candidatus Nanopelagicus abundans	Candidatus Nanopelagicus	Candidatus Nanopelagicaceae	Candidatus Nanopelagicales	Actinobacteria	Actinobacteria	Terrabacteria group	Bacteria				0.0002413127413127
bc1a63b5-c9e8-4210-8981-1a11e366cdfe	91.8	2509614	Rhodoferax sediminis	Rhodoferax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0014478764478764
da30127b-c807-4709-a4a0-4e208079a726	90.6	732238	Povalibacter uvarum	Povalibacter	Steroidobacteraceae	Nevskiales	Gammaproteobacteria	Proteobacteria		Bacteria				0.0002413127413127
f31a583d-4286-44f4-bf6b-5edc6688ad2e	92.4	1446479	Arenimonas maotaiensis	Arenimonas	Xanthomonadaceae	Xanthomonadales	Gammaproteobacteria	Proteobacteria		Bacteria				0.0014478764478764
888abb27-a2e1-4f89-9ac6-d35cf089e304	91.6	80879	Curvibacter delicatus	Curvibacter	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0048262548262548
ea9004e2-6ef5-4633-9609-7c3c946abe61	93.4	396504	Ruminiclostridium sufflavum	Ruminiclostridium	Hungateiclostridiaceae	Clostridiales	Clostridia	Firmicutes	Terrabacteria group	Bacteria				0.0004826254826254
1d68f9c5-cfa3-41ba-8033-b8512d7b4f8e	90.0	169056	Nordella oligomobilis	Nordella		Rhizobiales	Alphaproteobacteria	Proteobacteria		Bacteria				0.0014478764478764
08595f9d-150e-4aaf-87a4-7918ff020518	90.6	408	Methylorubrum extorquens	Methylorubrum	Methylobacteriaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria		Bacteria				0.0009652509652509
c5a040d8-a3b3-40f3-8b24-db83a8b670d6	92.1	117207	Sphingopyxis alaskensis	Sphingopyxis	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Proteobacteria		Bacteria				0.0002413127413127
7bf5c6fb-975d-4d5c-b046-cc7171292b77	90.0	540060	Limnohabitans planktonicus	Limnohabitans	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0014478764478764
5e493a2b-82cc-4f64-92a3-a835f8b7cb07	91.5	84024	Clostridium disporicum	Clostridium	Clostridiaceae	Clostridiales	Clostridia	Firmicutes	Terrabacteria group	Bacteria				0.0004826254826254
