centroid	identity	tax_id	species	genus	family	order	class	phylum	clade	superkingdom	subspecies	species subgroup	species group	abundance
1d329e3d-5178-4c1b-8edb-a6963680dd61	92.5	576610	Polynucleobacter necessarius	Polynucleobacter	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.1551782682512733
043a1c5d-ce22-4d76-97e9-53d85ea11801	90.6	1678129	Limnohabitans sp. 103DPR2	Limnohabitans	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0186757215619694
e1a84f8a-0416-4a86-b8fc-b737bdc918b2	93.7	576611	Polynucleobacter asymbioticus	Polynucleobacter	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.3239388794567063
e1c9766a-1c61-403c-8961-682866278bd9	93.9	2527775	Polynucleobacter paneuropaeus	Polynucleobacter	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0414261460101867
bd4cd12c-1da4-45ae-94dc-e7a80f09fe7f	91.4	535712	Candidatus Rhodoluna planktonica	Rhodoluna	Microbacteriaceae	Micrococcales	Actinobacteria	Actinobacteria	Terrabacteria group	Bacteria				0.0020373514431239
ada40827-4c41-495a-b41f-79d7da02e43b	93.2	323423	Limnohabitans curvus	Limnohabitans	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0529711375212224
9dd7cc9a-dd70-445e-b746-df07819c6204	94.0	543913	beta proteobacterium CB				Betaproteobacteria	Proteobacteria		Bacteria				0.13106960950764
28984376-4105-44f1-b2eb-29c804c0e0f0	93.8	1715860	Staphylococcus sp. AntiMn-1	Staphylococcus	Staphylococcaceae	Bacillales	Bacilli	Firmicutes	Terrabacteria group	Bacteria				0.0006791171477079
f1cc509f-1358-4a97-900d-06627f8ff747	94.8	2500532	Paracoccus sp. Arc7-R13	Paracoccus	Rhodobacteraceae	Rhodobacterales	Alphaproteobacteria	Proteobacteria		Bacteria				0.0003395585738539
4ae56b9c-ecad-437a-bb90-e2f3077c4ded	92.2	1848255	Actinobacteria bacterium IMCC25003					Actinobacteria	Terrabacteria group	Bacteria				0.0020373514431239
5ac78754-6f02-4438-b6e1-de02e8becd71	90.3	1678128	Limnohabitans sp. 63ED37-2	Limnohabitans	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0050933786078098
8bdfca21-30b8-4c08-b704-0d3267d31075	93.2	529884	Rhodoluna lacicola	Rhodoluna	Microbacteriaceae	Micrococcales	Actinobacteria	Actinobacteria	Terrabacteria group	Bacteria				0.0210526315789473
68f4e096-adc6-436c-ab49-fadf66d51d4c	95.5	2516559	Aquirufa antheringensis	Aquirufa	Cytophagaceae	Cytophagales	Cytophagia	Bacteroidetes	FCB group	Bacteria				0.0461799660441426
dd1c31c9-363d-4fe0-9b54-4efe8804a53e	91.6	230310	Curvibacter gracilis	Curvibacter	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0023769100169779
5d20de08-03f0-4c9a-bd48-3887ab4525bc	90.8	1484693	Rhodoferax saidenbachensis	Rhodoferax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0027164685908319
57b770fa-9a74-4f61-aee1-bd21d9016e13	90.2	96232	Legionella lytica	Legionella	Legionellaceae	Legionellales	Gammaproteobacteria	Proteobacteria		Bacteria				0.0006791171477079
669650f1-e506-4671-8293-b0a2b0d04c08	90.1	1743159	Polynucleobacter yangtzensis	Polynucleobacter	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria				0.0047538200339558
